score	target_fraction	called_contacts	called_fraction	threshold	top1_accuracy	top1_recall	same_cross_accuracy	same_cross_recall	baseline_top1_accuracy	baseline_same_cross_accuracy	delta_top1_vs_baseline	score_uses_phase_labels	score_uses_charm_or_reference	eval_uses_phase_labels
n_raw_pairs	0.01	1458	0.0101266174	51	0.563786008	0.00570924523	0.708504801	0.00717475708	0.355660974	0.561207693	0.208125035	0	0	1
n_raw_pairs	0.02	2897	0.0201212694	43	0.544356231	0.0109531383	0.674836037	0.0135785577	0.355660974	0.561207693	0.188695257	0	0	1
n_raw_pairs	0.05	7205	0.0500427152	28	0.574045802	0.0287268105	0.681332408	0.0340957236	0.355660974	0.561207693	0.218384828	0	0	1
n_raw_pairs	0.1	14403	0.100036811	15	0.581823231	0.0582037409	0.687287371	0.0687540371	0.355660974	0.561207693	0.226162258	0	0	1
n_raw_pairs	0.2	28796	0.200004167	3	0.55042367	0.110087028	0.672697597	0.134542323	0.355660974	0.561207693	0.194762696	0	0	1
n_raw_pairs	0.3	43194	0.300006251	2	0.482150299	0.144648104	0.633259249	0.189981733	0.355660974	0.561207693	0.126489325	0	0	1
n_raw_pairs	0.5	71989	0.500003473	1	0.413035325	0.206519097	0.595035353	0.297519743	0.355660974	0.561207693	0.0573743512	0	0	1
n_raw_pairs	0.75	107983	0.750001736	1	0.375920284	0.281940866	0.571756665	0.428818492	0.355660974	0.561207693	0.0202593101	0	0	1
n_raw_pairs	1	143977	1	1	0.355660974	0.355660974	0.561207693	0.561207693	0.355660974	0.561207693	0	0	0	1
pmax	0.01	1441	0.010008543	0.999999881	0.59888966	0.00599401293	0.711311589	0.00711919265	0.355660974	0.561207693	0.243228686	0	0	1
pmax	0.02	2884	0.0200309772	0.999998927	0.613037448	0.0122797391	0.731969487	0.0146620641	0.355660974	0.561207693	0.257376474	0	0	1
pmax	0.05	7199	0.0500010418	0.999966383	0.60883456	0.0304423623	0.711904431	0.0355959632	0.355660974	0.561207693	0.253173587	0	0	1
pmax	0.1	14400	0.100015975	0.998653769	0.600625	0.0600720948	0.707430556	0.0707543566	0.355660974	0.561207693	0.244964026	0	0	1
pmax	0.2	28798	0.200018058	0.968158126	0.538092923	0.107628302	0.668553372	0.133722747	0.355660974	0.561207693	0.182431949	0	0	1
pmax	0.3	43194	0.300006251	0.920486391	0.478932259	0.143682672	0.633097189	0.189933114	0.355660974	0.561207693	0.123271285	0	0	1
pmax	0.5	71989	0.500003473	0.800806463	0.41653586	0.208269376	0.596007723	0.298005932	0.355660974	0.561207693	0.060874886	0	0	1
pmax	0.75	107984	0.750008682	0.613484859	0.3793988	0.284552394	0.574279523	0.430714628	0.355660974	0.561207693	0.0237378262	0	0	1
pmax	1	143977	1	0.257382095	0.355660974	0.355660974	0.561207693	0.561207693	0.355660974	0.561207693	0	0	0	1
margin	0.01	1445	0.0100363252	0.999999777	0.607612457	0.00609819624	0.716955017	0.00719559374	0.355660974	0.561207693	0.251951483	0	0	1
margin	0.02	2886	0.0200448683	0.999998008	0.609494109	0.0122172291	0.728343728	0.0145995541	0.355660974	0.561207693	0.253833136	0	0	1
margin	0.05	7216	0.0501191162	0.999936544	0.606014412	0.0303729068	0.709534368	0.0355612355	0.355660974	0.561207693	0.250353439	0	0	1
margin	0.1	14399	0.100009029	0.997537057	0.601013959	0.0601068226	0.707549135	0.0707613022	0.355660974	0.561207693	0.245352986	0	0	1
margin	0.2	28796	0.200004167	0.945155725	0.535873038	0.107176841	0.667245451	0.133451871	0.355660974	0.561207693	0.180212064	0	0	1
margin	0.3	43194	0.300006251	0.863010321	0.477983053	0.143397904	0.632448951	0.189738639	0.355660974	0.561207693	0.12232208	0	0	1
margin	0.5	71990	0.500010418	0.656367242	0.416557855	0.208283267	0.59609668	0.29805455	0.355660974	0.561207693	0.0608968816	0	0	1
margin	0.75	107985	0.750015627	0.324157059	0.378747048	0.284066205	0.574570542	0.430936886	0.355660974	0.561207693	0.0230860746	0	0	1
margin	1	143977	1	0	0.355660974	0.355660974	0.561207693	0.561207693	0.355660974	0.561207693	0	0	0	1
neg_entropy	0.01	1445	0.0100363252	-2.19690811e-06	0.613148789	0.00615376067	0.72733564	0.00729977705	0.355660974	0.561207693	0.257487815	0	0	1
neg_entropy	0.02	2887	0.0200518138	-1.62302033e-05	0.610322134	0.0122380658	0.729130585	0.0146203908	0.355660974	0.561207693	0.25466116	0	0	1
neg_entropy	0.05	7207	0.0500566063	-0.000395543613	0.610240044	0.0305465456	0.71236298	0.0356584732	0.355660974	0.561207693	0.254579071	0	0	1
neg_entropy	0.1	14398	0.100002084	-0.0105645348	0.599180442	0.0599192927	0.707389915	0.0707404655	0.355660974	0.561207693	0.243519468	0	0	1
neg_entropy	0.2	28796	0.200004167	-0.157896891	0.53879011	0.107760267	0.668356716	0.133674129	0.355660974	0.561207693	0.183129136	0	0	1
neg_entropy	0.3	43194	0.300006251	-0.32332879	0.479094319	0.14373129	0.633490763	0.190051189	0.355660974	0.561207693	0.123433345	0	0	1
neg_entropy	0.5	71989	0.500003473	-0.606810698	0.419230716	0.209616814	0.596938421	0.298471284	0.355660974	0.561207693	0.0635697422	0	0	1
neg_entropy	0.75	107983	0.750001736	-0.850888136	0.382245353	0.286684679	0.57620181	0.432152358	0.355660974	0.561207693	0.0265843798	0	0	1
neg_entropy	1	143977	1	-1.38607232	0.355660974	0.355660974	0.561207693	0.561207693	0.355660974	0.561207693	0	0	0	1
distance_gap	0.01	1447	0.0100502164	3.91799745	0.707671044	0.0071122471	0.808569454	0.00812629795	0.355660974	0.561207693	0.35201007	0	1	1
distance_gap	0.02	2880	0.020003195	3.64659344	0.605555556	0.0121130458	0.708680556	0.0141758753	0.355660974	0.561207693	0.249894582	0	1	1
distance_gap	0.05	7205	0.0500427152	3.22347655	0.561832061	0.0281156018	0.680360861	0.0340471047	0.355660974	0.561207693	0.206171087	0	1	1
distance_gap	0.1	14398	0.100002084	2.81551984	0.528198361	0.0528209367	0.663703292	0.0663717121	0.355660974	0.561207693	0.172537387	0	1	1
distance_gap	0.2	28796	0.200004167	2.30213252	0.482185026	0.0964390146	0.636616197	0.127325892	0.355660974	0.561207693	0.126524052	0	1	1
distance_gap	0.3	43194	0.300006251	1.92076826	0.452007223	0.135604992	0.618280317	0.18548796	0.355660974	0.561207693	0.0963462496	0	1	1
