field	value
n_total_pairs	1703888
n_cis_pairs	1135454
n_trans_pairs	568434
n_unique_read_ids	1
most_common_read_id	.
most_common_read_id_count	1703888
n_non_dot_read_id_pairs	0
n_unique_strand_pairs	1
strand_pair_distribution	+/+:1703888
n_phase0_labeled	902175
n_phase1_labeled	896049
n_both_phase_labeled	496021
n_any_phase_labeled	1302203
phase_pair_distribution	./.:401685;0/0:223939;0/.:209077;./0:206688;1/.:197077;./1:193340;1/1:189530;1/0:41839;0/1:40713
pairs_visible_read_linkage_available	0
pairs_visible_strand_information_available	0
phase_columns_present_eval_only	1
