run_id	config_name	status	strict_pairs_only_candidate	boundary_reasons	model_top1_accuracy_genome_trans	model_top1_accuracy_genome_cis	model_top1_accuracy_genome_all	model_same_cross_accuracy_genome_trans	mean_per_chrom_cis_distance_spearman	input_contact_source	sample	uses_phase_labels	uses_charm_or_reference	uses_charm_for_training	readgroup_mode	fixed_posterior	manifest_path	summary_path
016-20260618_150851-p9016_charm_contacts_condition_sweep_1m	p9016_charm3dg20k_1pr_pcgamma1_common_ieps1_noise0p05	OK	0	input_contact_source=charm3dg_derived_pairs;uses_charm_or_reference=1;uses_charm_for_training=1	0.455277	0.63827	0.616042	0.56259	0.77942	charm3dg_derived_pairs	P9016	0	1	1	NA	NA	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/outputs/1pr/p9016_charm3dg20k_1pr_pcgamma1_common_ieps1_noise0p05/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/summary.tsv
016-20260618_150851-p9016_charm_contacts_condition_sweep_1m	p9016_charm3dg20k_1pr_expected_common_msep1p5_lsep0p5	OK	0	input_contact_source=charm3dg_derived_pairs;uses_charm_or_reference=1;uses_charm_for_training=1	0.455087	0.638008	0.615788	0.575298	0.779509	charm3dg_derived_pairs	P9016	0	1	1	NA	NA	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/outputs/1pr/p9016_charm3dg20k_1pr_expected_common_msep1p5_lsep0p5/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/summary.tsv
016-20260618_150851-p9016_charm_contacts_condition_sweep_1m	p9016_charm3dg20k_1pr_pcgamma1_common_msep1p5_lsep1	OK	0	input_contact_source=charm3dg_derived_pairs;uses_charm_or_reference=1;uses_charm_for_training=1	0.455087	0.638402	0.616134	0.574577	0.78049	charm3dg_derived_pairs	P9016	0	1	1	NA	NA	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/outputs/1pr/p9016_charm3dg20k_1pr_pcgamma1_common_msep1p5_lsep1/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/summary.tsv
018-20260618_214516-p9016_fixed_posterior_graph_semantics_1m	p9016_fixed_pc_same_cross_gated	OK	0	input_contact_source=charm3dg_derived_pairs;uses_charm_or_reference=1;uses_charm_for_training=1;fixed_posterior=1	0.455087	0.638402	0.616134	0.574577	0.784787	charm3dg_derived_pairs	P9016	0	1	1	NA	1	/mnt/ssd/zliu/phase3/test_res/018-20260618_214516-p9016_fixed_posterior_graph_semantics_1m/outputs/p9016_fixed_pc_same_cross_gated/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/018-20260618_214516-p9016_fixed_posterior_graph_semantics_1m/summary.tsv
018-20260618_214516-p9016_fixed_posterior_graph_semantics_1m	p9016_fixed_pc_softall_replay	OK	0	input_contact_source=charm3dg_derived_pairs;uses_charm_or_reference=1;uses_charm_for_training=1;fixed_posterior=1	0.455087	0.638402	0.616134	0.574577	0.779202	charm3dg_derived_pairs	P9016	0	1	1	NA	1	/mnt/ssd/zliu/phase3/test_res/018-20260618_214516-p9016_fixed_posterior_graph_semantics_1m/outputs/p9016_fixed_pc_softall_replay/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/018-20260618_214516-p9016_fixed_posterior_graph_semantics_1m/summary.tsv
018-20260618_214516-p9016_fixed_posterior_graph_semantics_1m	p9016_fixed_pc_softall_trans_dscale0p5	OK	0	input_contact_source=charm3dg_derived_pairs;uses_charm_or_reference=1;uses_charm_for_training=1;fixed_posterior=1	0.455087	0.638402	0.616134	0.574577	0.776702	charm3dg_derived_pairs	P9016	0	1	1	NA	1	/mnt/ssd/zliu/phase3/test_res/018-20260618_214516-p9016_fixed_posterior_graph_semantics_1m/outputs/p9016_fixed_pc_softall_trans_dscale0p5/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/018-20260618_214516-p9016_fixed_posterior_graph_semantics_1m/summary.tsv
018-20260618_214516-p9016_fixed_posterior_graph_semantics_1m	p9016_fixed_pc_softall_trans_dscale0p75	OK	0	input_contact_source=charm3dg_derived_pairs;uses_charm_or_reference=1;uses_charm_for_training=1;fixed_posterior=1	0.455087	0.638402	0.616134	0.574577	0.777715	charm3dg_derived_pairs	P9016	0	1	1	NA	1	/mnt/ssd/zliu/phase3/test_res/018-20260618_214516-p9016_fixed_posterior_graph_semantics_1m/outputs/p9016_fixed_pc_softall_trans_dscale0p75/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/018-20260618_214516-p9016_fixed_posterior_graph_semantics_1m/summary.tsv
018-20260618_214516-p9016_fixed_posterior_graph_semantics_1m	p9016_fixed_pc_top1_only	OK	0	input_contact_source=charm3dg_derived_pairs;uses_charm_or_reference=1;uses_charm_for_training=1;fixed_posterior=1	0.455087	0.638402	0.616134	0.574577	0.779803	charm3dg_derived_pairs	P9016	0	1	1	NA	1	/mnt/ssd/zliu/phase3/test_res/018-20260618_214516-p9016_fixed_posterior_graph_semantics_1m/outputs/p9016_fixed_pc_top1_only/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/018-20260618_214516-p9016_fixed_posterior_graph_semantics_1m/summary.tsv
018-20260618_214516-p9016_fixed_posterior_graph_semantics_1m	p9016_fixed_pc_top2_only	OK	0	input_contact_source=charm3dg_derived_pairs;uses_charm_or_reference=1;uses_charm_for_training=1;fixed_posterior=1	0.455087	0.638402	0.616134	0.574577	0.780691	charm3dg_derived_pairs	P9016	0	1	1	NA	1	/mnt/ssd/zliu/phase3/test_res/018-20260618_214516-p9016_fixed_posterior_graph_semantics_1m/outputs/p9016_fixed_pc_top2_only/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/018-20260618_214516-p9016_fixed_posterior_graph_semantics_1m/summary.tsv
018-20260618_220644-p9016_fixed_posterior_graph_semantics_1m	source_016_before_018_relax	OK	0	manifest_missing;sample=missing;input_contact_source=missing	0.455087	0.638402	0.616134	0.574577	0.78049	NA	NA	NA	NA	NA	NA	NA	NA	/mnt/ssd/zliu/phase3/test_res/018-20260618_220644-p9016_fixed_posterior_graph_semantics_1m/summary.tsv
