scope	bpair_contact_count_bucket	n_1mb_bpairs
all	1	187885
all	10	26898
all	11-20	131564
all	2	208063
all	21-50	75684
all	3	92477
all	4	98878
all	5	58858
all	51-100	19800
all	6	58234
all	7	40500
all	8	38557
all	9	29347
all	>100	22936
cis	1	8743
cis	10	2761
cis	11-20	16772
cis	2	10888
cis	21-50	18783
cis	3	5736
cis	4	6428
cis	5	4361
cis	51-100	10654
cis	6	4445
cis	7	3501
cis	8	3474
cis	9	2745
cis	>100	17891
trans	1	179142
trans	10	24137
trans	11-20	114792
trans	2	197175
trans	21-50	56901
trans	3	86741
trans	4	92450
trans	5	54497
trans	51-100	9146
trans	6	53789
trans	7	36999
trans	8	35083
trans	9	26602
trans	>100	5045
