scope	bpair_contact_count_bucket	n_1mb_bpairs
all	1	168183
all	10	10677
all	11-20	49746
all	2	92273
all	21-50	27897
all	3	56123
all	4	41407
all	5	30346
all	51-100	10227
all	6	23620
all	7	18658
all	8	15132
all	9	12441
all	>100	11952
cis	1	12736
cis	10	1894
cis	11-20	11359
cis	2	8375
cis	21-50	12673
cis	3	5918
cis	4	4679
cis	5	3853
cis	51-100	7728
cis	6	3113
cis	7	2732
cis	8	2350
cis	9	2051
cis	>100	10809
trans	1	155447
trans	10	8783
trans	11-20	38387
trans	2	83898
trans	21-50	15224
trans	3	50205
trans	4	36728
trans	5	26493
trans	51-100	2499
trans	6	20507
trans	7	15926
trans	8	12782
trans	9	10390
trans	>100	1143
