config_name	policy	scope	flip_source	n_eval_contacts	top1_correct_contacts	top1_accuracy	same_cross_correct_contacts	same_cross_accuracy	pmax_threshold	n_called_contacts	called_contact_fraction	pmax_threshold_accuracy	pmax_threshold_recall	delta_top1_vs_cis_selected	target_plus_0p1_met	uses_snp_for_base_gauge	uses_snp_for_pair_decoder_selection	uses_snp_labeled_denominator_for_selection_weight	uses_charm_for_denominator_filter	decoder_selection_denominator	decoder_selection_n_records	decoder_selection_total_weight	eval_only_uses_snp_for_selection	eval_only_uses_snp_for_scoring	eval_only_uses_charm_shared_denominator
p9016_pcgamma1_td0p5_mstep0_sep0	cis_selected_whole_chrom	genome_trans	cis_snp_truth_whole_chrom	143977	49582	0.344374449	77516	0.538391549	0.9	48358	0.335873091	0.446999462	0.150135091	0	0	1	0	0	1	none_cis_snp_gauge_only	0	0	0	1	1
p9016_pcgamma1_td0p5_mstep0_sep0	pair_independent_4state_oracle	genome_trans	snp_truth_oracle	143977	60083	0.417309709	86934	0.603804774	0.9	48358	0.335873091	0.58217875	0.195538176	0.0729352605	0	1	1	1	1	snp_truth_eval_contacts	114605	143977	1	1	1
p9016_pcgamma1_td0p5_mstep0_sep0	blind_geom_nearest_to_posterior_top	genome_trans	blind_posterior_reconstruction_geometry	143977	49582	0.344374449	77516	0.538391549	0.9	48358	0.335873091	0.446999462	0.150135091	0	0	1	0	0	1	raw_posterior_trans_bpair	403163	568434	0	1	1
p9016_pcgamma1_td0p5_mstep0_sep0	blind_geom_nearest_gap_weighted	genome_trans	blind_posterior_reconstruction_geometry	143977	49582	0.344374449	77516	0.538391549	0.9	48358	0.335873091	0.446999462	0.150135091	0	0	1	0	0	1	raw_posterior_trans_bpair	403163	568434	0	1	1
p9016_pcgamma1_td0p5_mstep0_sep0	blind_margin_geom_gap_weighted	genome_trans	blind_posterior_reconstruction_geometry	143977	49582	0.344374449	77516	0.538391549	0.9	48358	0.335873091	0.446999462	0.150135091	0	0	1	0	0	1	raw_posterior_trans_bpair	403163	568434	0	1	1
p9016_pcgamma1_td0p5_mstep0_sep0	blind_pmax_geom_gap_weighted	genome_trans	blind_posterior_reconstruction_geometry	143977	49582	0.344374449	77516	0.538391549	0.9	48358	0.335873091	0.446999462	0.150135091	0	0	1	0	0	1	raw_posterior_trans_bpair	403163	568434	0	1	1
p9016_pcgamma1_td0p5_mstep0_sep0	blind_same_cross_distance_sum	genome_trans	blind_posterior_reconstruction_geometry	143977	42262	0.293532995	70220	0.487716788	0.9	48358	0.335873091	0.32205633	0.108170055	-0.0508414538	0	1	0	0	1	raw_posterior_trans_bpair	403163	568434	0	1	1
p9016_pcgamma1_td0p5_mstep0_sep0	blind_posterior_mass_same_cross	genome_trans	blind_posterior_reconstruction_geometry	143977	41620	0.289073949	70071	0.486681901	0.9	48358	0.335873091	0.314901361	0.105766893	-0.0553004994	0	1	0	0	1	raw_posterior_trans_bpair	403163	568434	0	1	1
p9016_pcgamma1_td0p5_mstep0_sep0	blind_chrom_center_same_closer	genome_trans	blind_reconstruction_geometry	143977	42133	0.292637018	70076	0.486716628	0.9	48358	0.335873091	0.320339964	0.107593574	-0.0517374303	0	1	0	0	1	raw_reconstruction_all_trans_bpair	403163	568434	0	1	1
p9016_pcgamma1_td0p5_mstep0_sep0	blind_chrom_homolog_vector_dot	genome_trans	blind_reconstruction_geometry	143977	40658	0.282392327	68760	0.47757628	0.9	48358	0.335873091	0.297675669	0.099981247	-0.0619821221	0	1	0	0	1	raw_reconstruction_all_trans_bpair	403163	568434	0	1	1
