config_name	policy	scope	flip_source	n_eval_contacts	top1_correct_contacts	top1_accuracy	same_cross_correct_contacts	same_cross_accuracy	pmax_threshold	n_called_contacts	called_contact_fraction	pmax_threshold_accuracy	pmax_threshold_recall	delta_top1_vs_cis_selected	target_plus_0p1_met	uses_snp_for_base_gauge	uses_snp_for_pair_decoder_selection	uses_snp_labeled_denominator_for_selection_weight	uses_charm_for_denominator_filter	decoder_selection_denominator	decoder_selection_n_records	decoder_selection_total_weight	eval_only_uses_snp_for_selection	eval_only_uses_snp_for_scoring	eval_only_uses_charm_shared_denominator
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	cis_selected_whole_chrom	genome_trans	cis_snp_truth_whole_chrom	143977	48562	0.337289984	77149	0.53584253	0.9	60788	0.422206325	0.398220043	0.168131021	0	0	1	0	0	1	none_cis_snp_gauge_only	0	0	0	1	1
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	pair_independent_4state_oracle	genome_trans	snp_truth_oracle	143977	64286	0.446501872	90524	0.628739313	0.9	60788	0.422206325	0.589820359	0.249025886	0.109211888	1	1	1	1	1	snp_truth_eval_contacts	114605	143977	1	1	1
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	blind_geom_nearest_to_posterior_top	genome_trans	blind_posterior_reconstruction_geometry	143977	48562	0.337289984	77149	0.53584253	0.9	60788	0.422206325	0.398220043	0.168131021	0	0	1	0	0	1	raw_posterior_trans_bpair	403163	568434	0	1	1
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	blind_geom_nearest_gap_weighted	genome_trans	blind_posterior_reconstruction_geometry	143977	48562	0.337289984	77149	0.53584253	0.9	60788	0.422206325	0.398220043	0.168131021	0	0	1	0	0	1	raw_posterior_trans_bpair	403163	568434	0	1	1
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	blind_margin_geom_gap_weighted	genome_trans	blind_posterior_reconstruction_geometry	143977	48562	0.337289984	77149	0.53584253	0.9	60788	0.422206325	0.398220043	0.168131021	0	0	1	0	0	1	raw_posterior_trans_bpair	403163	568434	0	1	1
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	blind_pmax_geom_gap_weighted	genome_trans	blind_posterior_reconstruction_geometry	143977	48562	0.337289984	77149	0.53584253	0.9	60788	0.422206325	0.398220043	0.168131021	0	0	1	0	0	1	raw_posterior_trans_bpair	403163	568434	0	1	1
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	blind_same_cross_distance_sum	genome_trans	blind_posterior_reconstruction_geometry	143977	41020	0.284906617	71160	0.494245609	0.9	60788	0.422206325	0.315621504	0.133257395	-0.0523833668	0	1	0	0	1	raw_posterior_trans_bpair	403163	568434	0	1	1
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	blind_posterior_mass_same_cross	genome_trans	blind_posterior_reconstruction_geometry	143977	40509	0.281357439	69416	0.482132563	0.9	60788	0.422206325	0.30160558	0.127339783	-0.0559325448	0	1	0	0	1	raw_posterior_trans_bpair	403163	568434	0	1	1
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	blind_chrom_center_same_closer	genome_trans	blind_reconstruction_geometry	143977	41081	0.285330296	72306	0.502205213	0.9	60788	0.422206325	0.31603277	0.133431034	-0.051959688	0	1	0	0	1	raw_reconstruction_all_trans_bpair	403163	568434	0	1	1
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	blind_chrom_homolog_vector_dot	genome_trans	blind_reconstruction_geometry	143977	41762	0.290060218	73597	0.511171923	0.9	60788	0.422206325	0.326265052	0.137751169	-0.0472297659	0	1	0	0	1	raw_reconstruction_all_trans_bpair	403163	568434	0	1	1
