config_name	policy	scope	flip_source	n_eval_contacts	top1_correct_contacts	top1_accuracy	same_cross_correct_contacts	same_cross_accuracy	pmax_threshold	n_called_contacts	called_contact_fraction	pmax_threshold_accuracy	pmax_threshold_recall	delta_top1_vs_cis_selected	target_plus_0p1_met	uses_snp_for_base_gauge	uses_snp_for_pair_decoder_selection	uses_snp_labeled_denominator_for_selection_weight	uses_charm_for_denominator_filter	decoder_selection_denominator	decoder_selection_n_records	decoder_selection_total_weight	eval_only_uses_snp_for_selection	eval_only_uses_snp_for_scoring	eval_only_uses_charm_shared_denominator
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	cis_selected_whole_chrom	genome_trans	cis_snp_truth_whole_chrom	143977	48332	0.335692506	77340	0.537169131	0.9	67059	0.465761893	0.38513846	0.179382818	0	0	1	0	0	1	none_cis_snp_gauge_only	0	0	0	1	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	pair_independent_4state_oracle	genome_trans	snp_truth_oracle	143977	64008	0.444571008	90777	0.630496538	0.9	67059	0.465761893	0.559850281	0.260756926	0.108878501	1	1	1	1	1	snp_truth_eval_contacts	114605	143977	1	1	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	blind_geom_nearest_to_posterior_top	genome_trans	blind_posterior_reconstruction_geometry	143977	48332	0.335692506	77340	0.537169131	0.9	67059	0.465761893	0.38513846	0.179382818	0	0	1	0	0	1	raw_posterior_trans_bpair	403163	568434	0	1	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	blind_geom_nearest_gap_weighted	genome_trans	blind_posterior_reconstruction_geometry	143977	48332	0.335692506	77340	0.537169131	0.9	67059	0.465761893	0.38513846	0.179382818	0	0	1	0	0	1	raw_posterior_trans_bpair	403163	568434	0	1	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	blind_margin_geom_gap_weighted	genome_trans	blind_posterior_reconstruction_geometry	143977	48332	0.335692506	77340	0.537169131	0.9	67059	0.465761893	0.38513846	0.179382818	0	0	1	0	0	1	raw_posterior_trans_bpair	403163	568434	0	1	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	blind_pmax_geom_gap_weighted	genome_trans	blind_posterior_reconstruction_geometry	143977	48332	0.335692506	77340	0.537169131	0.9	67059	0.465761893	0.38513846	0.179382818	0	0	1	0	0	1	raw_posterior_trans_bpair	403163	568434	0	1	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	blind_same_cross_distance_sum	genome_trans	blind_posterior_reconstruction_geometry	143977	40702	0.282697931	70650	0.490703376	0.9	67059	0.465761893	0.29545624	0.137612258	-0.0529945755	0	1	0	0	1	raw_posterior_trans_bpair	403163	568434	0	1	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	blind_posterior_mass_same_cross	genome_trans	blind_posterior_reconstruction_geometry	143977	38013	0.264021337	66391	0.461122263	0.9	67059	0.465761893	0.264617725	0.123248852	-0.0716711697	0	1	0	0	1	raw_posterior_trans_bpair	403163	568434	0	1	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	blind_chrom_center_same_closer	genome_trans	blind_reconstruction_geometry	143977	42074	0.292227231	72024	0.500246567	0.9	67059	0.465761893	0.316139519	0.147245741	-0.0434652757	0	1	0	0	1	raw_reconstruction_all_trans_bpair	403163	568434	0	1	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	blind_chrom_homolog_vector_dot	genome_trans	blind_reconstruction_geometry	143977	42970	0.298450447	73267	0.508879891	0.9	67059	0.465761893	0.327249139	0.152420178	-0.0372420595	0	1	0	0	1	raw_reconstruction_all_trans_bpair	403163	568434	0	1	1
