config_name	policy	scope	flip_source	objective_score	n_eval_contacts	top1_correct_contacts	top1_accuracy	same_cross_correct_contacts	same_cross_accuracy	pmax_threshold	n_called_contacts	called_contact_fraction	pmax_threshold_accuracy	pmax_threshold_recall	delta_top1_vs_cis_selected	target_plus_0p1_met	uses_snp_for_base_gauge	uses_snp_for_global_gauge_selection	uses_snp_labeled_denominator_for_selection_weight	uses_charm_for_denominator_filter	decoder_selection_denominator	decoder_selection_n_edges	decoder_selection_total_weight	eval_only_uses_snp_for_selection	eval_only_uses_snp_for_scoring	eval_only_uses_charm_shared_denominator
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	cis_selected_whole_chrom	genome_trans	cis_snp_truth_whole_chrom	0	143977	48562	0.337289984	77149	0.53584253	0.9	60788	0.422206325	0.398220043	0.168131021	0	0	1	0	0	1	none_cis_snp_gauge_only	0	0	0	1	1
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	global_chrom_snp_oracle	genome_trans	snp_truth_global_chrom_oracle	49645	143977	49645	0.344812019	78575	0.54574689	0.9	60788	0.422206325	0.417549516	0.176292047	0.00752203477	0	1	1	1	1	snp_truth_eval_contacts	190	143977	1	1	1
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	raw_global_geom_nearest_to_posterior_top	genome_trans	blind_raw_posterior_reconstruction_global_gauge	567824	143977	48562	0.337289984	77149	0.53584253	0.9	60788	0.422206325	0.398220043	0.168131021	0	0	1	0	0	1	raw_posterior_trans_bpair	190	568434	0	1	1
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	raw_global_geom_nearest_gap_weighted	genome_trans	blind_raw_posterior_reconstruction_global_gauge	921431.707	143977	48562	0.337289984	77149	0.53584253	0.9	60788	0.422206325	0.398220043	0.168131021	0	0	1	0	0	1	raw_posterior_trans_bpair	190	568434	0	1	1
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	raw_global_margin_geom_gap_weighted	genome_trans	blind_raw_posterior_reconstruction_global_gauge	759968.181	143977	48562	0.337289984	77149	0.53584253	0.9	60788	0.422206325	0.398220043	0.168131021	0	0	1	0	0	1	raw_posterior_trans_bpair	190	568434	0	1	1
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	raw_global_pmax_geom_gap_weighted	genome_trans	blind_raw_posterior_reconstruction_global_gauge	828363.281	143977	48562	0.337289984	77149	0.53584253	0.9	60788	0.422206325	0.398220043	0.168131021	0	0	1	0	0	1	raw_posterior_trans_bpair	190	568434	0	1	1
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	raw_global_same_cross_distance_sum	genome_trans	blind_raw_posterior_reconstruction_global_gauge	1167867.32	143977	34675	0.240837078	69745	0.48441765	0.9	60788	0.422206325	0.23476673	0.0991199983	-0.0964529057	0	1	0	0	1	raw_posterior_trans_bpair	190	568434	0	1	1
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	raw_global_posterior_same_cross_mass	genome_trans	blind_raw_posterior_reconstruction_global_gauge	314036.736	143977	33144	0.230203435	68577	0.476305243	0.9	60788	0.422206325	0.210337567	0.0888058509	-0.107086549	0	1	0	0	1	raw_posterior_trans_bpair	190	568434	0	1	1
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	raw_global_chrom_center_same_closer	genome_trans	blind_raw_posterior_reconstruction_global_gauge	347.024668	143977	34675	0.240837078	69745	0.48441765	0.9	60788	0.422206325	0.23476673	0.0991199983	-0.0964529057	0	1	0	0	1	raw_reconstruction_chrom_centers	190	NA	0	1	1
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	raw_global_homolog_vector_dot	genome_trans	blind_raw_posterior_reconstruction_global_gauge	1493.11916	143977	34675	0.240837078	69745	0.48441765	0.9	60788	0.422206325	0.23476673	0.0991199983	-0.0964529057	0	1	0	0	1	raw_reconstruction_chrom_centers	190	NA	0	1	1
