experiment	component	configuration	scope	metric	value	n	truth_used_in_inference
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	n_contacts	350034	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	callable_fraction	1.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	exact_top1_accuracy	0.19839215619054149	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	exact_random_tie_expected_accuracy	0.19627807584406087	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	exact_accuracy_ci95_lower	0.19707436770743503	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	exact_accuracy_ci95_upper	0.19971656460997922	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	exact_log_loss	3.3745106678146577	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	exact_brier	1.15663208555737	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	same_cross_accuracy	0.8473691127147649	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	same_cross_random_tie_expected_accuracy	0.847371969580098	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	same_cross_accuracy_ci95_lower	0.8461739204344108	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	same_cross_accuracy_ci95_upper	0.848556680652925	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	same_cross_log_loss	0.4640886304403902	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	same_cross_brier	0.23180111018674943	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	mean_entropy	0.5335511777326613	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	exact_ece	0.5338040471492275	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	same_cross_ece	0.08419150717427118	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	mean_exact_confidence	0.7321538213580555	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	mean_same_cross_confidence	0.931560619889036	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	mean_signal_probability	1.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	exact_coverage_at_precision_0.55	0.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	exact_coverage_at_precision_0.60	0.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	exact_coverage_at_precision_0.70	0.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	exact_coverage_at_precision_0.80	0.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	exact_coverage_at_precision_0.90	0.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	same_cross_coverage_at_precision_0.55	1.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	same_cross_coverage_at_precision_0.60	1.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	same_cross_coverage_at_precision_0.70	1.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	same_cross_coverage_at_precision_0.80	1.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	same_cross_coverage_at_precision_0.90	0.8442065627910431	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	exact_signal_aware_coverage_at_precision_0.55	0.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	exact_signal_aware_coverage_at_precision_0.60	0.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	exact_signal_aware_coverage_at_precision_0.70	0.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	exact_signal_aware_coverage_at_precision_0.80	0.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	exact_signal_aware_coverage_at_precision_0.90	0.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	same_cross_signal_aware_coverage_at_precision_0.55	1.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	same_cross_signal_aware_coverage_at_precision_0.60	1.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	same_cross_signal_aware_coverage_at_precision_0.70	1.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	same_cross_signal_aware_coverage_at_precision_0.80	1.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	same_cross_signal_aware_coverage_at_precision_0.90	0.8442065627910431	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	mean_truth_state_distance_rank	2.201269019580955	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	truth_state_geometrically_nearest_fraction	0.1887016689807276	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	all	posterior_top1_equals_geometrically_nearest_fraction	0.9590239805276058	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	n_contacts	206057	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	callable_fraction	1.0	206057	ORACLE_COORDINATES
