source	split_mode	block_size_bp	seed	n_observations	n_train	n_heldout	heldout_fraction_observed	duplicate_leakage_groups	exact_haploid_bin_pair_leakage_groups	molecule_leakage_groups	neighbor_block_leakage_groups	pass	molecule_atomicity_enforced	n_source_observations_scanned	n_observations_retained	n_nonempty_read_or_molecule_ids	source_scan_is_complete	retained_sample_is_complete	sampling_policy	phase_columns_read	input_sha256	readID_observation	heldout_fit_status
P9016_raw_safe_fields_only	raw_observation	NA	17	1703888	1363110	340778	0.2000002347572141	0	69132	NA_NOT_AUDITABLE_NO_MOLECULE_IDS	66281	False	NA_NOT_AUDITABLE_NO_MOLECULE_IDS	1703888	1703888	0	1	1	all	0	071a6cc76bfad543ea1ace6ee1ce3022b30ac1b1e50a9f0c3a3a1967b9649505	P9016 readID is '.' in inspected rows; no recoverable molecule grouping	NOT_RUN_FOR_P9016; SPLIT_AND_LEAKAGE_AUDIT_ONLY
P9016_raw_safe_fields_only	molecule_or_readchain	NA	17	1703888	1363110	340778	0.2000002347572141	0	68932	NA_NOT_AUDITABLE_NO_MOLECULE_IDS	65835	False	NA_NOT_AUDITABLE_NO_MOLECULE_IDS	1703888	1703888	0	1	1	all	0	071a6cc76bfad543ea1ace6ee1ce3022b30ac1b1e50a9f0c3a3a1967b9649505	P9016 readID is '.' in inspected rows; no recoverable molecule grouping	NOT_RUN_FOR_P9016; SPLIT_AND_LEAKAGE_AUDIT_ONLY
P9016_raw_safe_fields_only	exact_haploid_bin_pair	NA	17	1703888	1363110	340778	0.2000002347572141	0	0	NA_NOT_AUDITABLE_NO_MOLECULE_IDS	57909	False	NA_NOT_AUDITABLE_NO_MOLECULE_IDS	1703888	1703888	0	1	1	all	0	071a6cc76bfad543ea1ace6ee1ce3022b30ac1b1e50a9f0c3a3a1967b9649505	P9016 readID is '.' in inspected rows; no recoverable molecule grouping	NOT_RUN_FOR_P9016; SPLIT_AND_LEAKAGE_AUDIT_ONLY
P9016_raw_safe_fields_only	chromosome_pair	NA	17	1703888	1362548	341340	0.2003300686430094	0	0	NA_NOT_AUDITABLE_NO_MOLECULE_IDS	0	True	NA_NOT_AUDITABLE_NO_MOLECULE_IDS	1703888	1703888	0	1	1	all	0	071a6cc76bfad543ea1ace6ee1ce3022b30ac1b1e50a9f0c3a3a1967b9649505	P9016 readID is '.' in inspected rows; no recoverable molecule grouping	NOT_RUN_FOR_P9016; SPLIT_AND_LEAKAGE_AUDIT_ONLY
P9016_raw_safe_fields_only	genomic_block_1Mb	1000000	17	1703888	1363106	340782	0.20000258232935497	0	0	NA_NOT_AUDITABLE_NO_MOLECULE_IDS	0	True	NA_NOT_AUDITABLE_NO_MOLECULE_IDS	1703888	1703888	0	1	1	all	0	071a6cc76bfad543ea1ace6ee1ce3022b30ac1b1e50a9f0c3a3a1967b9649505	P9016 readID is '.' in inspected rows; no recoverable molecule grouping	NOT_RUN_FOR_P9016; SPLIT_AND_LEAKAGE_AUDIT_ONLY
P9016_raw_safe_fields_only	genomic_block_5Mb	5000000	17	1703888	1363108	340780	0.20000140854328455	0	0	NA_NOT_AUDITABLE_NO_MOLECULE_IDS	0	True	NA_NOT_AUDITABLE_NO_MOLECULE_IDS	1703888	1703888	0	1	1	all	0	071a6cc76bfad543ea1ace6ee1ce3022b30ac1b1e50a9f0c3a3a1967b9649505	P9016 readID is '.' in inspected rows; no recoverable molecule grouping	NOT_RUN_FOR_P9016; SPLIT_AND_LEAKAGE_AUDIT_ONLY
P9016_raw_safe_fields_only	genomic_block_10Mb	10000000	17	1703888	1363108	340780	0.20000140854328455	0	0	NA_NOT_AUDITABLE_NO_MOLECULE_IDS	0	True	NA_NOT_AUDITABLE_NO_MOLECULE_IDS	1703888	1703888	0	1	1	all	0	071a6cc76bfad543ea1ace6ee1ce3022b30ac1b1e50a9f0c3a3a1967b9649505	P9016 readID is '.' in inspected rows; no recoverable molecule grouping	NOT_RUN_FOR_P9016; SPLIT_AND_LEAKAGE_AUDIT_ONLY
synthetic_model_mismatched	raw_observation	NA	17	3000	2400	600	0.2	230	230	0	21	False	1										
synthetic_model_mismatched	molecule_or_readchain	NA	17	3000	2400	600	0.2	203	203	0	21	False	1										
synthetic_model_mismatched	exact_haploid_bin_pair	NA	17	3000	2384	616	0.20533333333333334	0	0	0	9	False	1										
synthetic_model_mismatched	chromosome_pair	NA	17	3000	2700	300	0.1	0	0	0	0	True	1										
synthetic_model_mismatched	genomic_block_1Mb	1000000	17	3000	2298	702	0.234	0	0	0	0	True	1										
synthetic_model_mismatched	genomic_block_5Mb	5000000	17	3000	2018	982	0.3273333333333333	0	0	0	0	True	1										
synthetic_model_mismatched	genomic_block_10Mb	10000000	17	3000	1764	1236	0.412	0	0	0	0	True	1										
