configuration	evidence_scope	truth_used_in_inference	cis_exact	cis_same_cross	trans_exact	trans_same_cross	exact_all	same_cross_all	calibration_ece	callable_fraction	callable_definition	structure_metric	structure_metric_name	heldout_metric	runtime_seconds	n_evaluated_contacts	n_cells	n_chromosomes	copy_swap_policy	notes	exact_log_loss	same_cross_log_loss	structure_metric_sd	heldout_metric_name	runtime_seconds_sd	n_replicates	raw_gauge_cis_exact	raw_gauge_cis_same_cross	raw_gauge_trans_exact	raw_gauge_trans_same_cross	raw_gauge_exact_all	raw_gauge_same_cross_all	callable_fraction_precision_0.55	callable_fraction_precision_0.80	callable_fraction_precision_0.90	cis_exact_sd	cis_same_cross_sd	trans_exact_sd	trans_same_cross_sd	exact_all_sd	same_cross_all_sd	raw_gauge_cis_exact_sd	raw_gauge_cis_same_cross_sd	raw_gauge_trans_exact_sd	raw_gauge_trans_same_cross_sd	raw_gauge_exact_all_sd	raw_gauge_same_cross_all_sd	exact_log_loss_sd	same_cross_log_loss_sd	calibration_ece_sd	callable_fraction_sd	callable_fraction_precision_0.55_sd	callable_fraction_precision_0.80_sd	callable_fraction_precision_0.90_sd	heldout_metric_sd	z2_evidence_status	z2_n_edges	z2_n_components	z2_largest_component	z2_frustrated_edge_fraction	z2_weighted_frustrated_edge_fraction	z2_cycle_inconsistency	z2_unresolved_chromosome_fraction	z2_min_spin_margin
historical_056_approved_pairs_only	P9016_1Mb_historical_not_current_correctness_valid	none; SNP cis used only for evaluation copy alignment	0.5687795124649976	NA_NOT_COMPARABLE_LEGACY_ARGMAX_STATE_PARITY	0.3226557019523952	NA_NOT_COMPARABLE_LEGACY_ARGMAX_STATE_PARITY	0.4675431529508562	NA_NOT_COMPARABLE_LEGACY_ARGMAX_STATE_PARITY	NA	0.34048978099270355	historical arm-specific called-contact fraction; NOT_COMPARABLE to target-precision coverage	0.8009042076870312	mean_per_chrom_cis_distance_spearman	NA	NA	350034	1	20	ORACLE SNP cis top1 for exact-state evaluation	legacy force implementation later invalidated; legacy same/cross used argmax-state parity																																												
current_corrected_078_K1	P9016_1Mb_registered_train_disjoint_reused_final_test	none; phase opened only after blind scorer closure	0.52650755810803485	0.97380397681096598	0.27987200355134656	0.5026265167209234	0.42224689581834673	0.77462233759734778	0.19386280918686752	0.028461514402777346	fixed posterior pmax>=0.9 coverage (recall/accuracy)	0.81248902201358764	mean_per_chrom_cis_distance_spearman	NA_unnormalized_score_only	NA	31973	1	20	phase evaluation uses postclosure SNP cis swap; structure uses geometry swap	best current correctness-audited real-data evidence; callable fraction is pmax>=0.9 coverage; final-test is reused, not model selection	1.2344164236953479																																											
ORACLE_contact_phase_historical_Hickit_joint_partial	P9016_1Mb_ORACLE_phase_historical_083	ORACLE_CONTACT_PHASE	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.9081075775213732	strict_unordered_pair_spearman_mean	NA	NA	NA	1	20	per-chromosome unordered homolog assignment	ORACLE historical full cis+trans phase-known run retained for lineage; current explicit 057B arms are separate rows																																												
oracle_coords_dist2	P9016_1Mb_ORACLE_coordinate_E_step_full	ORACLE_COORDINATES	0.20466181687591298	0.9773946044055771	0.16585982483313308	0.6621613174326455	0.1887016689807276	0.8477319346120663	0.7265709063578486	0.0	eval-only maximum threshold coverage achieving exact precision >=0.70; confidence ties intact	NA		NA	0	350034	1	20	CHARM/3DG reference copy labels for ORACLE coordinate rows	fixed-coordinate E-step or geometry-free prior; not a full reconstruction	12.233863137925418	1.8741817847271989																																										
oracle_coords_fdg_flat	P9016_1Mb_ORACLE_coordinate_E_step_full	ORACLE_COORDINATES	0.2210941632655042	0.9770354804738495	0.16590149815595545	0.6617932030810477	0.19839215619054149	0.8473691127147649	0.5338040471492275	0.0	eval-only maximum threshold coverage achieving exact precision >=0.70; confidence ties intact	NA		NA	0	350034	1	20	CHARM/3DG reference copy labels for ORACLE coordinate rows	fixed-coordinate E-step or geometry-free prior; not a full reconstruction	3.3745106678146577	0.4640886304403902																																										
oracle_coords_logdist2	P9016_1Mb_ORACLE_coordinate_E_step_full	ORACLE_COORDINATES	0.20466181687591298	0.9772393075702355	0.16585982483313308	0.6616681831125805	0.1887016689807276	0.8474376774827588	0.4981562363708486	0.0	eval-only maximum threshold coverage achieving exact precision >=0.70; confidence ties intact	NA		NA	0	350034	1	20	CHARM/3DG reference copy labels for ORACLE coordinate rows	fixed-coordinate E-step or geometry-free prior; not a full reconstruction	1.90706507035265	0.29431534457923614																																										
oracle_coords_monotone_log	P9016_1Mb_ORACLE_coordinate_E_step_full	ORACLE_COORDINATES	0.20466181687591298	0.9772490136224443	0.16585982483313308	0.6616959653277954	0.1887016689807276	0.8474548186747574	0.4932021170134194	0.0	eval-only maximum threshold coverage achieving exact precision >=0.70; confidence ties intact	NA		NA	0	350034	1	20	CHARM/3DG reference copy labels for ORACLE coordinate rows	fixed-coordinate E-step or geometry-free prior; not a full reconstruction	1.8796949242693213	0.2940827745566275																																										
oracle_coords_monotone_logistic	P9016_1Mb_ORACLE_coordinate_E_step_full	ORACLE_COORDINATES	0.20466181687591298	0.9773946044055771	0.16585982483313308	0.6623002285087202	0.1887016689807276	0.8477890719187279	0.7161908351703803	0.0	eval-only maximum threshold coverage achieving exact precision >=0.70; confidence ties intact	NA		NA	0	350034	1	20	CHARM/3DG reference copy labels for ORACLE coordinate rows	fixed-coordinate E-step or geometry-free prior; not a full reconstruction	8.434969850927331	1.0704436457500919																																										
oracle_coords_monotonic_powerlaw	P9016_1Mb_ORACLE_coordinate_E_step_full	ORACLE_COORDINATES	0.20466181687591298	0.9771616591525646	0.16585982483313308	0.661682074220188	0.1887016689807276	0.8473976813680957	0.4514720897410134	0.0	eval-only maximum threshold coverage achieving exact precision >=0.70; confidence ties intact	NA		NA	0	350034	1	20	CHARM/3DG reference copy labels for ORACLE coordinate rows	fixed-coordinate E-step or geometry-free prior; not a full reconstruction	1.6909817035072159	0.2955186308744393																																										
prior_chromosome_pair_unlabeled_gauge_symmetric	P9016_1Mb_prior_only_full	none	0.5338911078002688	0.974963238327259	0.25699938184571147	0.4797988567618439	0.41999920007770675	0.7712907888947931	0.16999920007770675	0.0	eval-only maximum threshold coverage achieving exact precision >=0.70; confidence ties intact	NA		NA	0	350034	1	20	CHARM/3DG reference copy labels for ORACLE coordinate rows	fixed-coordinate E-step or geometry-free prior; not a full reconstruction	1.3862943611198908	0.6931471805599454																																										
