source	scope	copy_swap_policy	n_eval_contacts	top1_correct_contacts	top1_accuracy	same_cross_correct_contacts	same_cross_accuracy	pmax_threshold	n_called_contacts	called_contact_fraction	pmax_threshold_correct_contacts	pmax_threshold_accuracy	pmax_threshold_recall	pmax_threshold_same_cross_correct_contacts	pmax_threshold_same_cross_accuracy	pmax_threshold_same_cross_recall
charm3dg_uniform_prior_fdg	genome_all	charm3dg_reference_copy_labels	308766	66166	0.21429172901161397	254122	0.8230245558124923	0.9	170232	0.5513301334991547	24194	0.1421236900230274	0.07835707299378818	149375	0.877478969876404	0.4837805976046585
charm3dg_uniform_prior_fdg	genome_cis	charm3dg_reference_copy_labels	162953	41625	0.25544175314354445	158272	0.9712739256104521	0.9	93575	0.5742453345443165	14954	0.1598076409297355	0.09176879222843397	91786	0.9808816457387123	0.5632667088056065
charm3dg_uniform_prior_fdg	genome_trans	charm3dg_reference_copy_labels	145813	24541	0.16830460932838637	95850	0.6573487960607078	0.9	76657	0.5257213005699081	9240	0.1205369372660031	0.06336883542619656	57589	0.7512555930965209	0.3949510674631206
charm3dg_uniform_prior_fdg	chr1_cis	charm3dg_reference_copy_labels	14946	3678	0.2460859092733842	14509	0.9707614077345109	0.9	8392	0.5614880235514519	1169	0.13929933269780745	0.07821490699852804	8240	0.9818875119161106	0.5513180784156296
charm3dg_uniform_prior_fdg	chr2_cis	charm3dg_reference_copy_labels	10603	2521	0.2377628972932189	10334	0.9746298217485617	0.9	6055	0.571064792983118	906	0.14962840627580512	0.08544751485428652	5936	0.9803468208092485	0.5598415542770914
charm3dg_uniform_prior_fdg	chr3_cis	charm3dg_reference_copy_labels	11579	2462	0.21262630624406254	11333	0.9787546420243545	0.9	7043	0.6082563261076086	923	0.13105210847650148	0.07971327403057259	6949	0.9866534147380378	0.6001381811900856
charm3dg_uniform_prior_fdg	chr4_cis	charm3dg_reference_copy_labels	9950	2660	0.26733668341708544	9770	0.9819095477386934	0.9	5527	0.5554773869346734	1203	0.21765876605753573	0.12090452261306532	5469	0.9895060611543333	0.5496482412060302
charm3dg_uniform_prior_fdg	chr5_cis	charm3dg_reference_copy_labels	10445	2611	0.24997606510292006	9812	0.9393968405935854	0.9	5499	0.5264719961704165	924	0.16803055100927441	0.08846337960746768	5347	0.972358610656483	0.5119195787458114
charm3dg_uniform_prior_fdg	chr6_cis	charm3dg_reference_copy_labels	10544	2473	0.23454097116843703	10314	0.9781866464339909	0.9	6555	0.6216805766312595	1049	0.16003051106025934	0.09948786039453718	6455	0.984744469870328	0.6121965098634294
charm3dg_uniform_prior_fdg	chr7_cis	charm3dg_reference_copy_labels	9666	2210	0.22863645768673702	8999	0.930995241051107	0.9	5582	0.5774881026277674	838	0.15012540308133285	0.0866956341816677	5380	0.9638122536725188	0.5565901096627354
