config_name	chrom_pair	score_name	n_contacts	top1_accuracy	same_cross_accuracy	contact_weighted_mean_score	eval_only_uses_phase_labels_for_scoring	call_score_uses_phase_labels
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr10__chr11	posterior_nearest_agreement_gap	579	0.208981002	0.478411054	1.05994102	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr10__chr12	posterior_nearest_agreement_gap	954	0.590146751	0.727463312	1.86343406	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr10__chr13	posterior_nearest_agreement_gap	1070	0.489719626	0.623364486	1.54291787	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr10__chr14	posterior_nearest_agreement_gap	523	0.260038241	0.479923518	0.703345505	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr10__chr15	posterior_nearest_agreement_gap	908	0.107929515	0.22907489	0.991845952	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr10__chr16	posterior_nearest_agreement_gap	1086	0.276243094	0.398710866	1.76332164	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr10__chr17	posterior_nearest_agreement_gap	693	0.125541126	0.281385281	1.97464404	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr10__chr18	posterior_nearest_agreement_gap	585	0.34017094	0.574358974	0.997291621	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr10__chr19	posterior_nearest_agreement_gap	365	0.243835616	0.531506849	0.541744451	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr10__chrX	posterior_nearest_agreement_gap	304	0.292763158	0.555921053	2.42516593	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr11__chr12	posterior_nearest_agreement_gap	595	0.231932773	0.460504202	3.09405569	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr11__chr13	posterior_nearest_agreement_gap	1022	0.453033268	0.773972603	1.67292034	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr11__chr14	posterior_nearest_agreement_gap	903	0.222591362	0.357696567	3.01194035	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr11__chr15	posterior_nearest_agreement_gap	544	0.384191176	0.632352941	2.19425818	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr11__chr16	posterior_nearest_agreement_gap	413	0.220338983	0.440677966	1.58093991	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr11__chr17	posterior_nearest_agreement_gap	479	0.252609603	0.607515658	2.77181213	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr11__chr18	posterior_nearest_agreement_gap	424	0.320754717	0.573113208	2.08055439	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr11__chr19	posterior_nearest_agreement_gap	701	0.57489301	0.681883024	3.7455435	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr11__chrX	posterior_nearest_agreement_gap	864	0.141203704	0.25462963	1.42003576	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr12__chr13	posterior_nearest_agreement_gap	1950	0.487692308	0.576410256	2.47229799	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr12__chr14	posterior_nearest_agreement_gap	451	0.274944568	0.465631929	0.984749137	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr12__chr15	posterior_nearest_agreement_gap	928	0.0872844828	0.174568966	2.84540237	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr12__chr16	posterior_nearest_agreement_gap	388	0.242268041	0.430412371	2.31897103	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr12__chr17	posterior_nearest_agreement_gap	798	0.320802005	0.448621554	2.47069055	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr12__chr18	posterior_nearest_agreement_gap	541	0.469500924	0.598890943	1.18423979	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr12__chr19	posterior_nearest_agreement_gap	631	0.155309033	0.228209192	2.69822459	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr12__chrX	posterior_nearest_agreement_gap	320	0.328125	0.596875	1.7379209	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr13__chr14	posterior_nearest_agreement_gap	737	0.464043419	0.611940299	1.30653558	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr13__chr15	posterior_nearest_agreement_gap	395	0.235443038	0.524050633	1.337228	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr13__chr16	posterior_nearest_agreement_gap	798	0.601503759	0.731829574	2.9814429	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr13__chr17	posterior_nearest_agreement_gap	960	0.577083333	0.730208333	1.05998063	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr13__chr18	posterior_nearest_agreement_gap	808	0.548267327	0.653465347	1.68771393	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr13__chr19	posterior_nearest_agreement_gap	833	0.154861945	0.230492197	2.36122469	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr13__chrX	posterior_nearest_agreement_gap	462	0.391774892	0.575757576	1.27972649	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr14__chr15	posterior_nearest_agreement_gap	340	0.314705882	0.526470588	0.950699839	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr14__chr16	posterior_nearest_agreement_gap	334	0.24251497	0.464071856	0.798844593	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr14__chr17	posterior_nearest_agreement_gap	260	0.292307692	0.476923077	1.86236792	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr14__chr18	posterior_nearest_agreement_gap	681	0.606461087	0.723935389	1.68550891	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr14__chr19	posterior_nearest_agreement_gap	431	0.313225058	0.598607889	1.88217411	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr14__chrX	posterior_nearest_agreement_gap	244	0.258196721	0.491803279	0.944564643	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr15__chr16	posterior_nearest_agreement_gap	331	0.181268882	0.459214502	0.96868678	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr15__chr17	posterior_nearest_agreement_gap	904	0.275442478	0.841814159	2.19449888	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr15__chr18	posterior_nearest_agreement_gap	830	0.118072289	0.827710843	2.85474757	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr15__chr19	posterior_nearest_agreement_gap	390	0.638461538	0.764102564	2.33513124	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr15__chrX	posterior_nearest_agreement_gap	257	0.182879377	0.494163424	2.75320496	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr16__chr17	posterior_nearest_agreement_gap	310	0.203225806	0.525806452	1.26502466	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr16__chr18	posterior_nearest_agreement_gap	1135	0.0863436123	0.165638767	2.44465248	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	chr16__chr19	posterior_nearest_agreement_gap	534	0.541198502	0.741573034	1.27388649	1	0
