chrom	copy_swap	n_points	n_pairwise_distances	cis_distance_pearson	cis_distance_spearman	selected_for_eval
chr1	0	98	4753	0.7214819372414815	0.696761840100633	0
chr1	1	98	4753	0.7355027624399977	0.7035375085385526	1
chr2	0	92	4186	0.8661540898240189	0.7978134404019508	0
chr2	1	92	4186	0.8707810639311064	0.8291179458731063	1
chr3	0	80	3160	0.812382806895122	0.7313573645761693	0
chr3	1	80	3160	0.856701266056805	0.7861034347716045	1
chr4	0	77	2926	0.8695550860793826	0.817578407902253	1
chr4	1	77	2926	0.8360972345730642	0.7543725052631244	0
chr5	0	76	2850	0.4967504638859395	0.5308684710534477	0
chr5	1	76	2850	0.5303343726912285	0.5604065290225272	1
chr6	0	74	2701	0.5109255095850518	0.49882462530059946	0
chr6	1	74	2701	0.5131382805348822	0.5050771776004227	1
chr7	0	68	2278	0.46690998063796557	0.5291574044556874	0
chr7	1	68	2278	0.5357600570213626	0.6009946887672337	1
chr8	0	64	2016	0.8341396199833796	0.7848965393470165	0
chr8	1	64	2016	0.8640156955570782	0.8300253718964834	1
chr9	0	62	1891	0.7463766198928713	0.6770510578819212	0
chr9	1	62	1891	0.8214230384263507	0.7844925872018709	1
chr10	0	66	2145	0.8069171010246862	0.7316795164260426	0
chr10	1	66	2145	0.8577863187247631	0.8004785495971808	1
chr11	0	62	1891	0.8812394516875974	0.8192908563525807	1
chr11	1	62	1891	0.8394497461838887	0.7479590392949879	0
chr12	0	59	1711	0.7646555231288655	0.7162477531982755	1
chr12	1	59	1711	0.7604843541351527	0.7046350356464911	0
chr13	0	60	1770	0.6451589048839684	0.6371522079882683	0
chr13	1	60	1770	0.6551880440449874	0.657000219989023	1
chr14	0	58	1653	0.30648956459162996	0.3165710529602281	0
chr14	1	58	1653	0.31306771696718555	0.3330748978287639	1
chr15	0	52	1326	0.6092921532299775	0.539279267119003	0
chr15	1	52	1326	0.6555067483180876	0.6518124490973548	1
chr16	0	48	1128	0.7098956925705489	0.637559042547757	0
chr16	1	48	1128	0.7685616926556231	0.6976417561679918	1
chr17	0	48	1128	0.5922100694121065	0.5878990152854585	1
chr17	1	48	1128	0.535597072072163	0.511473930445906	0
chr18	0	46	1035	0.23890157576184565	0.24478275264584243	1
chr18	1	46	1035	0.2276136809889613	0.19515693114213006	0
chr19	0	30	435	0.811251808797613	0.7705481698756591	1
chr19	1	30	435	0.751713767223885	0.7097816563328702	0
chrX	0	75	2775	0.7212607575756589	0.6901803843990347	0
chrX	1	75	2775	0.7908016169828731	0.7725048090170916	1
