component	configuration	chromosome	n_contacts	exact_top1_accuracy	same_cross_accuracy	exact_log_loss	same_cross_log_loss	structure_metric	truth_used_in_inference	n_bins	geometry_selected_copy_flip_eval_only	procrustes_rmsd	rigid_rmsd	distance_pearson	distance_spearman	copy0_distance_spearman	copy1_distance_spearman	chromosome_shape_preservation	homolog_separation_spearman	truth_mean_homolog_separation	reconstruction_mean_homolog_separation
057A	oracle_coords_fdg_flat	chr1	37429	0.20155494402735846	0.7994068770204922	3.3768164717280293	0.5620853555268419	NA	ORACLE_COORDINATES												
057A	oracle_coords_fdg_flat	chr10	27600	0.1904710144927536	0.8046739130434782	3.9651595384615863	0.5108046013385089	NA	ORACLE_COORDINATES												
057A	oracle_coords_fdg_flat	chr11	26371	0.2045807895036214	0.7979219597284897	3.445975844497345	0.6348692301411801	NA	ORACLE_COORDINATES												
057A	oracle_coords_fdg_flat	chr12	23349	0.19067197738661185	0.802903764615187	4.3007048820482	0.5215124858899987	NA	ORACLE_COORDINATES												
057A	oracle_coords_fdg_flat	chr13	25500	0.17776470588235294	0.7915686274509804	4.044473742939673	0.4919971459266534	NA	ORACLE_COORDINATES												
057A	oracle_coords_fdg_flat	chr14	21176	0.19876275028333962	0.7636475255005667	4.076913147736309	0.49012298215829186	NA	ORACLE_COORDINATES												
057A	oracle_coords_fdg_flat	chr15	19479	0.1893834385748755	0.8076903331793214	3.763881945100171	0.7240921153780738	NA	ORACLE_COORDINATES												
057A	oracle_coords_fdg_flat	chr16	19091	0.1857943533602221	0.7932009847572155	3.737799095696629	0.5160416722345664	NA	ORACLE_COORDINATES												
057A	oracle_coords_fdg_flat	chr17	17330	0.17749567224466242	0.7907674552798615	4.001875597955366	0.5903108895084849	NA	ORACLE_COORDINATES												
057A	oracle_coords_fdg_flat	chr18	19918	0.17290892659905613	0.8027914449241892	4.403142762564416	0.5808449838093042	NA	ORACLE_COORDINATES												
057A	oracle_coords_fdg_flat	chr19	12853	0.18626001711662646	0.7755387847195208	3.6625678789573226	0.46785522984626443	NA	ORACLE_COORDINATES												
057A	oracle_coords_fdg_flat	chr2	31932	0.18007014906676688	0.7935613178003257	4.109873387938881	0.6781325606205499	NA	ORACLE_COORDINATES												
057A	oracle_coords_fdg_flat	chr3	30400	0.19875	0.8016447368421052	3.193840874929846	0.5350167135943236	NA	ORACLE_COORDINATES												
