config_name	policy	chrom1	chrom2	all_score0	all_score1	all_score2	all_score3	split_a_score0	split_a_score1	split_a_score2	split_a_score3	split_b_score0	split_b_score1	split_b_score2	split_b_score3	all_selected_swap_code	split_a_selected_swap_code	split_b_selected_swap_code	split_agree
p9016_multiseed_best035_seed71_noise0p05	geom_nearest_gap	chr1	chr10	2384.56957	0	0	0	1196.84996	0	0	0	1187.71961	0	0	0	0	0	0	1
p9016_multiseed_best035_seed71_noise0p05	geom_nearest_gap	chr1	chr11	10652.3378	1.42879997	0	0	5290.97269	0.0945614961	0	0	5361.36509	1.33423848	0	0	0	0	0	1
p9016_multiseed_best035_seed71_noise0p05	geom_nearest_gap	chr1	chr12	3200.52574	0	0	0	1590.15165	0	0	0	1610.37409	0	0	0	0	0	0	1
p9016_multiseed_best035_seed71_noise0p05	geom_nearest_gap	chr1	chr13	3071.88938	0	0	0.419371675	1538.56931	0	0	0	1533.32008	0	0	0.419371675	0	0	0	1
p9016_multiseed_best035_seed71_noise0p05	geom_nearest_gap	chr1	chr14	1392.01084	0	0	0	688.793627	0	0	0	703.217213	0	0	0	0	0	0	1
p9016_multiseed_best035_seed71_noise0p05	geom_nearest_gap	chr1	chr15	4150.81454	0	0	15.9674827	2008.80746	0	0	8.5332279	2142.00708	0	0	7.4342548	0	0	0	1
p9016_multiseed_best035_seed71_noise0p05	geom_nearest_gap	chr1	chr16	2697.01406	0	0	0	1335.00862	0	0	0	1362.00544	0	0	0	0	0	0	1
p9016_multiseed_best035_seed71_noise0p05	geom_nearest_gap	chr1	chr17	4707.01295	0	0	0.999899936	2257.90292	0	0	0.151711601	2449.11003	0	0	0.848188335	0	0	0	1
p9016_multiseed_best035_seed71_noise0p05	geom_nearest_gap	chr1	chr18	5747.75939	0	0	0	2685.17467	0	0	0	3062.58472	0	0	0	0	0	0	1
p9016_multiseed_best035_seed71_noise0p05	geom_nearest_gap	chr1	chr19	857.848148	0	0	0	401.415098	0	0	0	456.43305	0	0	0	0	0	0	1
p9016_multiseed_best035_seed71_noise0p05	geom_nearest_gap	chr1	chr2	6530.11536	0	0	0	2954.73697	0	0	0	3575.3784	0	0	0	0	0	0	1
p9016_multiseed_best035_seed71_noise0p05	geom_nearest_gap	chr1	chr3	4439.4933	0	0	0	2192.92856	0	0	0	2246.56474	0	0	0	0	0	0	1
p9016_multiseed_best035_seed71_noise0p05	geom_nearest_gap	chr1	chr4	5269.88273	0	0	0	2546.2451	0	0	0	2723.63763	0	0	0	0	0	0	1
p9016_multiseed_best035_seed71_noise0p05	geom_nearest_gap	chr1	chr5	3121.78062	0	0	0	1575.10049	0	0	0	1546.68014	0	0	0	0	0	0	1
p9016_multiseed_best035_seed71_noise0p05	geom_nearest_gap	chr1	chr6	17109.5925	0	0	0	8074.1196	0	0	0	9035.47292	0	0	0	0	0	0	1
p9016_multiseed_best035_seed71_noise0p05	geom_nearest_gap	chr1	chr7	4511.47181	0	0	0	2312.8128	0	0	0	2198.65901	0	0	0	0	0	0	1
p9016_multiseed_best035_seed71_noise0p05	geom_nearest_gap	chr1	chr8	12330.0524	0	0	0	6554.29234	0	0	0	5775.76011	0	0	0	0	0	0	1
p9016_multiseed_best035_seed71_noise0p05	geom_nearest_gap	chr1	chr9	5330.69082	0	0.0728719302	0	2562.537	0	0	0	2768.15382	0	0.0728719302	0	0	0	0	1
p9016_multiseed_best035_seed71_noise0p05	geom_nearest_gap	chr1	chrX	10334.3627	0	0	0.904222594	5169.325	0	0	0.859785241	5165.03775	0	0	0.0444373528	0	0	0	1
p9016_multiseed_best035_seed71_noise0p05	geom_nearest_gap	chr10	chr11	1932.42829	0	0	0	957.504483	0	0	0	974.923802	0	0	0	0	0	0	1
p9016_multiseed_best035_seed71_noise0p05	geom_nearest_gap	chr10	chr12	6271.0187	0.941341733	0	0	3659.45697	0.296119849	0	0	2611.56173	0.645221884	0	0	0	0	0	1
p9016_multiseed_best035_seed71_noise0p05	geom_nearest_gap	chr10	chr13	3826.84786	0.106206972	0	0	1954.46795	0	0	0	1872.37991	0.106206972	0	0	0	0	0	1
