source	chrom	n_points	convex_hull_volume	volume_fraction_of_source_genome
charm3dg	chr1	379	28.17843988891688	0.08020045491710204
charm3dg	chr2	349	39.74540545359526	0.11312193332238923
charm3dg	chr3	313	24.97974701475238	0.07109645112344325
charm3dg	chr4	296	41.24319070177874	0.1173848754421794
charm3dg	chr5	289	23.363310349696288	0.0664958076388062
charm3dg	chr6	293	33.5479763359769	0.09548303505446273
charm3dg	chr7	260	16.21893779565608	0.04616175326283461
charm3dg	chr8	247	36.42675041172763	0.10367649755234849
charm3dg	chr9	240	19.625232790576607	0.055856626692712595
charm3dg	chr10	254	20.027374781859205	0.0570011886616958
charm3dg	chr11	238	25.542154048403454	0.07269715365080832
charm3dg	chr12	225	23.331155105185992	0.06640428854662571
charm3dg	chr13	228	16.256572070499494	0.04626886657268482
charm3dg	chr14	221	11.867858963222991	0.03377787029710098
charm3dg	chr15	199	29.631559536921294	0.08433627142356416
charm3dg	chr16	187	15.51370989169097	0.04415455914771676
charm3dg	chr17	181	12.014423569982494	0.0341950171719172
charm3dg	chr18	174	20.550869371362467	0.058491140000035025
charm3dg	chr19	116	6.117045358840707	0.01741011292539765
charm3dg	chrX	258	39.25557099256068	0.11172778422244213
charm3dg	genome	4947	351.35012535830487	1.0
reconstruction	chr1	390	72.47417931129173	0.07105685372044675
reconstruction	chr2	364	78.88238511955754	0.07733973883974767
reconstruction	chr3	320	53.85096105052021	0.05279783639407299
reconstruction	chr4	314	64.47154091252861	0.06321071718627361
reconstruction	chr5	304	66.71217377818678	0.06540753160058312
reconstruction	chr6	300	52.66673921876996	0.05163677354009009
reconstruction	chr7	290	59.35942080742879	0.05819857115079809
reconstruction	chr8	258	89.81961257273151	0.08806307477307851
reconstruction	chr9	250	46.86706452388294	0.045950518927248184
reconstruction	chr10	262	57.44041984492392	0.05631709871498867
reconstruction	chr11	244	66.78214373691425	0.06547613320696721
reconstruction	chr12	240	56.3488927205047	0.0552469178043692
reconstruction	chr13	240	105.6465387595959	0.10358048510585219
reconstruction	chr14	250	54.31533928578117	0.053253133116953656
reconstruction	chr15	208	61.17744500652987	0.05998104155340713
reconstruction	chr16	196	54.76446889446446	0.05369347941971969
reconstruction	chr17	190	18.845443873268454	0.018476897031810748
reconstruction	chr18	182	49.13686492433856	0.04817593046777815
reconstruction	chr19	122	54.36221343751912	0.053299090584495404
reconstruction	chrX	342	111.5165308939832	0.10933568201041852
reconstruction	genome	5266	1019.9463600854191	1.0
