chrom	reference_copy	reconstruction_copy	reference_copy_index	reconstruction_copy_index	selected_by_geometry_swap	n_points	n_pairwise_distances	cis_distance_pearson	cis_distance_spearman
chr1	copy0	copy0	0	0	1	949	449826	0.28909492431144346	0.2915661940508911
chr1	copy0	copy1	0	1	0	949	449826	0.34660095864627694	0.34097285196691896
chr1	copy1	copy0	1	0	0	949	449826	0.46706762696334075	0.4378843606626535
chr1	copy1	copy1	1	1	1	949	449826	0.31856463051079253	0.3221813816372758
chr2	copy0	copy0	0	0	0	878	385003	0.26140692978526375	0.20194417380395757
chr2	copy0	copy1	0	1	1	878	385003	0.468415904980811	0.45442479136303693
chr2	copy1	copy0	1	0	1	870	378015	0.3002987762592725	0.28673965718237177
chr2	copy1	copy1	1	1	0	870	378015	0.308843535731886	0.2866084077205385
chr3	copy0	copy0	0	0	0	781	304590	0.19789541396766283	0.18998985221272202
chr3	copy0	copy1	0	1	1	781	304590	0.11002137686668488	0.16439372211851697
chr3	copy1	copy0	1	0	1	783	306153	0.18642301093168395	0.18205560516082694
chr3	copy1	copy1	1	1	0	783	306153	0.09603937597248122	0.18201003236213603
chr4	copy0	copy0	0	0	1	733	268278	0.27166973730808863	0.259621922656029
chr4	copy0	copy1	0	1	0	733	268278	0.4332308877728494	0.4051539683836013
chr4	copy1	copy0	1	0	0	740	273430	0.2516029127413517	0.2316490725042714
chr4	copy1	copy1	1	1	1	740	273430	0.3755134704680839	0.35129490432192556
chr5	copy0	copy0	0	0	0	719	258121	0.28452689497611033	0.28589810996481296
chr5	copy0	copy1	0	1	1	719	258121	0.3230607911120403	0.34476330766848323
chr5	copy1	copy0	1	0	1	723	261003	0.26035623373687056	0.25008253237588407
chr5	copy1	copy1	1	1	0	723	261003	0.3580217519991188	0.39797568976072173
chr6	copy0	copy0	0	0	1	727	263901	0.27330812799795956	0.26120199639168895
chr6	copy0	copy1	0	1	0	727	263901	0.22137313468863423	0.20645699957899363
chr6	copy1	copy0	1	0	0	732	267546	0.08668555199772833	0.07504222969682636
chr6	copy1	copy1	1	1	1	732	267546	0.2912629977153361	0.29698858304650655
chr7	copy0	copy0	0	0	0	641	205120	0.3750684542514089	0.3394162036725805
chr7	copy0	copy1	0	1	1	641	205120	0.18609002718432555	0.16576889972353512
chr7	copy1	copy0	1	0	1	655	214185	0.2735868110902873	0.2494241350306897
chr7	copy1	copy1	1	1	0	655	214185	0.19320194050323203	0.1728874041607901
chr8	copy0	copy0	0	0	1	620	191890	0.3231957867142742	0.2926333374064835
chr8	copy0	copy1	0	1	0	620	191890	0.20935246499006574	0.19462233549662977
chr8	copy1	copy0	1	0	0	621	192510	0.41032093912308926	0.40142365345549835
chr8	copy1	copy1	1	1	1	621	192510	0.23141568441373628	0.22750880552084193
chr9	copy0	copy0	0	0	1	602	180901	0.19503210752907588	0.19951806820690327
chr9	copy0	copy1	0	1	0	602	180901	0.2333910629513249	0.22044960785727144
chr9	copy1	copy0	1	0	0	603	181503	0.17423683899104	0.17315695058024216
chr9	copy1	copy1	1	1	1	603	181503	0.1961328911111856	0.18884810527919274
chr10	copy0	copy0	0	0	0	635	201295	0.27599020926792744	0.2696854830703936
chr10	copy0	copy1	0	1	1	635	201295	0.25316237114373163	0.2508942926397894
chr10	copy1	copy0	1	0	1	637	202566	0.17837764572999965	0.1766837724581065
chr10	copy1	copy1	1	1	0	637	202566	0.3336715964533951	0.32022281233390903
chr11	copy0	copy0	0	0	1	594	176121	0.30510295937885656	0.2782529218382411
chr11	copy0	copy1	0	1	0	594	176121	0.3405989632324175	0.3619471233884342
chr11	copy1	copy0	1	0	0	594	176121	0.40086914217871256	0.37644282680358204
chr11	copy1	copy1	1	1	1	594	176121	0.3838106155797289	0.38719253472129117
chr12	copy0	copy0	0	0	0	548	149878	0.1096966064788695	0.15052376280780272
chr12	copy0	copy1	0	1	1	548	149878	0.2752215672113477	0.28409758923018824
chr12	copy1	copy0	1	0	1	569	161596	0.05119569028089557	0.05690323534884706
chr12	copy1	copy1	1	1	0	569	161596	0.2744637495261184	0.2763945851938727
chr13	copy0	copy0	0	0	0	559	155961	0.3961797511571188	0.3693678021058618
chr13	copy0	copy1	0	1	1	559	155961	0.3549647584018328	0.35064898004598505
chr13	copy1	copy0	1	0	1	578	166753	0.3766121283179407	0.33227876590762956
chr13	copy1	copy1	1	1	0	578	166753	0.3088878549427069	0.30177235472576674
chr14	copy0	copy0	0	0	0	551	151525	0.14351295604355918	0.16734574840955402
chr14	copy0	copy1	0	1	1	551	151525	0.23717746290844532	0.22543100041933878
chr14	copy1	copy0	1	0	1	563	158203	0.21899263913962572	0.26654327874689865
chr14	copy1	copy1	1	1	0	563	158203	0.2670496215628451	0.2592036609192113
chr15	copy0	copy0	0	0	1	485	117370	0.3047707037951406	0.31581221465748094
chr15	copy0	copy1	0	1	0	485	117370	0.3238720751310107	0.311618742913756
chr15	copy1	copy0	1	0	0	501	125250	0.2010947206529875	0.22718034218732436
chr15	copy1	copy1	1	1	1	501	125250	0.16034307515198445	0.155579441819308
chr16	copy0	copy0	0	0	0	472	111156	0.1612660299767796	0.16966081069713645
chr16	copy0	copy1	0	1	1	472	111156	0.15233138768849133	0.15902674109419296
chr16	copy1	copy0	1	0	1	473	111628	0.1511530511345744	0.14390848312017931
chr16	copy1	copy1	1	1	0	473	111628	0.20497224833763938	0.20866448733022286
chr17	copy0	copy0	0	0	1	447	99681	0.3021356644145208	0.2793102917513298
chr17	copy0	copy1	0	1	0	447	99681	0.08515371020592803	0.08233281581465626
chr17	copy1	copy0	1	0	0	460	105570	0.16587989927673963	0.16238549687079482
chr17	copy1	copy1	1	1	1	460	105570	0.13274703119374612	0.14350643400853436
chr18	copy0	copy0	0	0	0	437	95266	0.0429710453259538	0.04131012727160549
chr18	copy0	copy1	0	1	1	437	95266	0.33666914213586835	0.35305210204567067
chr18	copy1	copy0	1	0	1	437	95266	0.15995089479987687	0.1481409586235998
chr18	copy1	copy1	1	1	0	437	95266	0.12111778260215923	0.09300416066965941
chr19	copy0	copy0	0	0	1	288	41328	0.07736969954371649	0.07052508977460545
chr19	copy0	copy1	0	1	0	288	41328	0.1519729657076138	0.12787562271736566
chr19	copy1	copy0	1	0	0	291	42195	0.09310085415344384	0.10860755339186681
chr19	copy1	copy1	1	1	1	291	42195	0.15428034014000425	0.17609782789399128
chrX	copy0	copy0	0	0	1	643	206403	0.5416052439851031	0.47828758017271866
chrX	copy0	copy1	0	1	0	643	206403	0.2720544443367821	0.2919280073162129
chrX	copy1	copy0	1	0	0	669	223446	0.3855136576270225	0.3726068942187098
chrX	copy1	copy1	1	1	1	669	223446	0.19313604282826022	0.18556847203782714
