source	chrom	n_points	convex_hull_volume	volume_fraction_of_source_genome
charm3dg	chr1	1898	346.445438815031	0.10441843244337455
charm3dg	chr2	1748	465.03915157461154	0.14016250119587664
charm3dg	chr3	1564	288.72832502856363	0.08702253146874371
charm3dg	chr4	1473	500.0524985502747	0.1507155014555992
charm3dg	chr5	1442	273.3049311459625	0.08237393047204307
charm3dg	chr6	1459	388.5154393353845	0.11709830354299852
charm3dg	chr7	1296	217.04670653478067	0.06541773775656255
charm3dg	chr8	1241	450.08363978929964	0.13565491956238182
charm3dg	chr9	1205	245.3086668387976	0.07393587441558756
charm3dg	chr10	1272	261.88336150309516	0.07893147672743543
charm3dg	chr11	1188	363.0882797924091	0.10943457401015674
charm3dg	chr12	1117	335.6557391842596	0.10116642391402707
charm3dg	chr13	1137	231.80109298431566	0.06986470034320742
charm3dg	chr14	1114	166.6663187320513	0.05023312127483427
charm3dg	chr15	986	369.45198664484525	0.11135259116267962
charm3dg	chr16	945	200.3815227764405	0.060394862089968075
charm3dg	chr17	907	214.72106884034926	0.06471679205118872
charm3dg	chr18	874	295.19586790124634	0.08897184473098703
charm3dg	chr19	579	101.5337617834542	0.030602210500360365
charm3dg	chrX	1312	488.59480445955757	0.14726215982564297
charm3dg	genome	24757	3317.8571130428163	1.0
reconstruction	chr1	1954	1157.0344506925671	0.16627183873293774
reconstruction	chr2	1822	1772.1300053684372	0.25466425333320786
reconstruction	chr3	1600	1039.238675189547	0.14934397614757064
reconstruction	chr4	1566	748.4910372202157	0.10756203582290493
reconstruction	chr5	1518	934.7748373528278	0.13433198200356403
reconstruction	chr6	1498	760.4349598569099	0.10927843932091517
reconstruction	chr7	1454	847.8117750591352	0.12183493987939543
reconstruction	chr8	1294	1193.037336441976	0.17144563974609073
reconstruction	chr9	1246	876.858604457962	0.12600911959428115
reconstruction	chr10	1306	1424.789035055781	0.20474955825511504
reconstruction	chr11	1220	1411.6233943582108	0.20285758754882202
reconstruction	chr12	1202	731.3762107255237	0.10510254667877073
reconstruction	chr13	1204	1059.300597652576	0.1522269782348886
reconstruction	chr14	1250	1610.896248198795	0.23149412797145263
reconstruction	chr15	1040	1687.5913489148556	0.24251561087564283
reconstruction	chr16	982	665.6813643967392	0.09566185726124606
reconstruction	chr17	950	1160.292922592486	0.16674009800899892
reconstruction	chr18	908	1490.429888309631	0.21418248858833344
reconstruction	chr19	614	824.0211390056651	0.11841610235137816
reconstruction	chrX	1710	1254.4835457557667	0.18027577803597267
reconstruction	genome	26338	6958.691619156091	1.0
