config_name	chrom_pair	score_name	n_contacts	top1_accuracy	same_cross_accuracy	contact_weighted_mean_score	eval_only_uses_phase_labels_for_scoring	call_score_uses_phase_labels
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr10__chr11	posterior_nearest_agreement_gap	579	0.208981002	0.487046632	1.54123518	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr10__chr12	posterior_nearest_agreement_gap	954	0.623689727	0.769392034	2.43637726	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr10__chr13	posterior_nearest_agreement_gap	1070	0.486915888	0.600934579	1.39854983	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr10__chr14	posterior_nearest_agreement_gap	523	0.290630975	0.520076482	0.769428663	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr10__chr15	posterior_nearest_agreement_gap	908	0.645374449	0.77092511	1.27421585	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr10__chr16	posterior_nearest_agreement_gap	1086	0.273480663	0.395948435	1.74612054	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr10__chr17	posterior_nearest_agreement_gap	693	0.116883117	0.278499278	1.33246859	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr10__chr18	posterior_nearest_agreement_gap	585	0.352136752	0.558974359	0.802085063	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr10__chr19	posterior_nearest_agreement_gap	365	0.276712329	0.493150685	0.385014683	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr10__chrX	posterior_nearest_agreement_gap	304	0.286184211	0.546052632	1.12067777	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr11__chr12	posterior_nearest_agreement_gap	595	0.233613445	0.458823529	3.92931185	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr11__chr13	posterior_nearest_agreement_gap	1022	0.111545988	0.230919765	1.03440648	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr11__chr14	posterior_nearest_agreement_gap	903	0.531561462	0.642303433	3.04698414	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr11__chr15	posterior_nearest_agreement_gap	544	0.180147059	0.367647059	3.14657837	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr11__chr16	posterior_nearest_agreement_gap	413	0.222760291	0.455205811	1.72473611	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr11__chr17	posterior_nearest_agreement_gap	479	0.252609603	0.607515658	2.19278091	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr11__chr18	posterior_nearest_agreement_gap	424	0.318396226	0.573113208	1.82580462	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr11__chr19	posterior_nearest_agreement_gap	701	0.57489301	0.681883024	2.73659206	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr11__chrX	posterior_nearest_agreement_gap	864	0.107638889	0.224537037	1.26617941	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr12__chr13	posterior_nearest_agreement_gap	1950	0.491794872	0.549230769	2.21435631	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr12__chr14	posterior_nearest_agreement_gap	451	0.241685144	0.532150776	2.90312344	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr12__chr15	posterior_nearest_agreement_gap	928	0.118534483	0.827586207	3.32039308	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr12__chr16	posterior_nearest_agreement_gap	388	0.244845361	0.427835052	2.84564307	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr12__chr17	posterior_nearest_agreement_gap	798	0.327067669	0.452380952	2.68861943	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr12__chr18	posterior_nearest_agreement_gap	541	0.52310536	0.641404806	1.78434145	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr12__chr19	posterior_nearest_agreement_gap	631	0.156893819	0.229793978	1.26781352	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr12__chrX	posterior_nearest_agreement_gap	320	0.340625	0.603125	1.10845842	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr13__chr14	posterior_nearest_agreement_gap	737	0.198100407	0.369063772	1.72539332	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr13__chr15	posterior_nearest_agreement_gap	395	0.303797468	0.506329114	0.630174637	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr13__chr16	posterior_nearest_agreement_gap	798	0.604010025	0.731829574	2.4145843	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr13__chr17	posterior_nearest_agreement_gap	960	0.628125	0.729166667	1.29490783	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr13__chr18	posterior_nearest_agreement_gap	808	0.408415842	0.521039604	1.05595117	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr13__chr19	posterior_nearest_agreement_gap	833	0.697478992	0.783913565	1.22240109	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr13__chrX	posterior_nearest_agreement_gap	462	0.422077922	0.606060606	2.23735008	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr14__chr15	posterior_nearest_agreement_gap	340	0.205882353	0.541176471	1.27189491	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr14__chr16	posterior_nearest_agreement_gap	334	0.22754491	0.48502994	0.541301815	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr14__chr17	posterior_nearest_agreement_gap	260	0.230769231	0.523076923	1.82649965	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr14__chr18	posterior_nearest_agreement_gap	681	0.174743025	0.276064611	1.84337176	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr14__chr19	posterior_nearest_agreement_gap	431	0.157772622	0.401392111	1.31296406	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr14__chrX	posterior_nearest_agreement_gap	244	0.237704918	0.483606557	0.741827262	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr15__chr16	posterior_nearest_agreement_gap	331	0.29305136	0.516616314	1.55012142	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr15__chr17	posterior_nearest_agreement_gap	904	0.0951327434	0.154867257	2.17321223	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr15__chr18	posterior_nearest_agreement_gap	830	0.112048193	0.172289157	2.31306816	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr15__chr19	posterior_nearest_agreement_gap	390	0.115384615	0.233333333	1.71792396	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr15__chrX	posterior_nearest_agreement_gap	257	0.260700389	0.525291829	1.86766122	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr16__chr17	posterior_nearest_agreement_gap	310	0.209677419	0.525806452	1.71216808	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr16__chr18	posterior_nearest_agreement_gap	1135	0.0863436123	0.162114537	2.20932023	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr16__chr19	posterior_nearest_agreement_gap	534	0.513108614	0.621722846	1.54252347	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr16__chrX	posterior_nearest_agreement_gap	222	0.189189189	0.481981982	0.556497237	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr17__chr18	posterior_nearest_agreement_gap	282	0.255319149	0.489361702	0.421953212	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr17__chr19	posterior_nearest_agreement_gap	426	0.605633803	0.755868545	1.86650481	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr17__chrX	posterior_nearest_agreement_gap	550	0.590909091	0.721818182	2.33462521	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr18__chr19	posterior_nearest_agreement_gap	450	0.564444444	0.671111111	0.940902505	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr18__chrX	posterior_nearest_agreement_gap	209	0.267942584	0.444976077	0.726304942	1	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	chr19__chrX	posterior_nearest_agreement_gap	143	0.181818182	0.41958042	0.711024299	1	0
