config_name	policy	flip_source	chrom	copy_swap
p9016_pcgamma1_td0p5_mstep0_sep0	cis_selected_whole_chrom	cis_snp_truth_whole_chrom	chr1	0
p9016_pcgamma1_td0p5_mstep0_sep0	cis_selected_whole_chrom	cis_snp_truth_whole_chrom	chr2	0
p9016_pcgamma1_td0p5_mstep0_sep0	cis_selected_whole_chrom	cis_snp_truth_whole_chrom	chr3	0
p9016_pcgamma1_td0p5_mstep0_sep0	cis_selected_whole_chrom	cis_snp_truth_whole_chrom	chr4	0
p9016_pcgamma1_td0p5_mstep0_sep0	cis_selected_whole_chrom	cis_snp_truth_whole_chrom	chr5	0
p9016_pcgamma1_td0p5_mstep0_sep0	cis_selected_whole_chrom	cis_snp_truth_whole_chrom	chr6	0
p9016_pcgamma1_td0p5_mstep0_sep0	cis_selected_whole_chrom	cis_snp_truth_whole_chrom	chr7	0
p9016_pcgamma1_td0p5_mstep0_sep0	cis_selected_whole_chrom	cis_snp_truth_whole_chrom	chr8	0
p9016_pcgamma1_td0p5_mstep0_sep0	cis_selected_whole_chrom	cis_snp_truth_whole_chrom	chr9	0
p9016_pcgamma1_td0p5_mstep0_sep0	cis_selected_whole_chrom	cis_snp_truth_whole_chrom	chr10	0
p9016_pcgamma1_td0p5_mstep0_sep0	cis_selected_whole_chrom	cis_snp_truth_whole_chrom	chr11	0
p9016_pcgamma1_td0p5_mstep0_sep0	cis_selected_whole_chrom	cis_snp_truth_whole_chrom	chr12	0
p9016_pcgamma1_td0p5_mstep0_sep0	cis_selected_whole_chrom	cis_snp_truth_whole_chrom	chr13	0
p9016_pcgamma1_td0p5_mstep0_sep0	cis_selected_whole_chrom	cis_snp_truth_whole_chrom	chr14	0
p9016_pcgamma1_td0p5_mstep0_sep0	cis_selected_whole_chrom	cis_snp_truth_whole_chrom	chr15	0
p9016_pcgamma1_td0p5_mstep0_sep0	cis_selected_whole_chrom	cis_snp_truth_whole_chrom	chr16	0
p9016_pcgamma1_td0p5_mstep0_sep0	cis_selected_whole_chrom	cis_snp_truth_whole_chrom	chr17	0
p9016_pcgamma1_td0p5_mstep0_sep0	cis_selected_whole_chrom	cis_snp_truth_whole_chrom	chr18	0
p9016_pcgamma1_td0p5_mstep0_sep0	cis_selected_whole_chrom	cis_snp_truth_whole_chrom	chr19	0
p9016_pcgamma1_td0p5_mstep0_sep0	cis_selected_whole_chrom	cis_snp_truth_whole_chrom	chrX	0
p9016_pcgamma1_td0p5_mstep0_sep0	global_chrom_snp_oracle	snp_truth_global_chrom_oracle	chr1	0
p9016_pcgamma1_td0p5_mstep0_sep0	global_chrom_snp_oracle	snp_truth_global_chrom_oracle	chr2	0
p9016_pcgamma1_td0p5_mstep0_sep0	global_chrom_snp_oracle	snp_truth_global_chrom_oracle	chr3	0
p9016_pcgamma1_td0p5_mstep0_sep0	global_chrom_snp_oracle	snp_truth_global_chrom_oracle	chr4	0
p9016_pcgamma1_td0p5_mstep0_sep0	global_chrom_snp_oracle	snp_truth_global_chrom_oracle	chr5	0
p9016_pcgamma1_td0p5_mstep0_sep0	global_chrom_snp_oracle	snp_truth_global_chrom_oracle	chr6	0
p9016_pcgamma1_td0p5_mstep0_sep0	global_chrom_snp_oracle	snp_truth_global_chrom_oracle	chr7	1
p9016_pcgamma1_td0p5_mstep0_sep0	global_chrom_snp_oracle	snp_truth_global_chrom_oracle	chr8	0
p9016_pcgamma1_td0p5_mstep0_sep0	global_chrom_snp_oracle	snp_truth_global_chrom_oracle	chr9	0
p9016_pcgamma1_td0p5_mstep0_sep0	global_chrom_snp_oracle	snp_truth_global_chrom_oracle	chr10	0
p9016_pcgamma1_td0p5_mstep0_sep0	global_chrom_snp_oracle	snp_truth_global_chrom_oracle	chr11	0
p9016_pcgamma1_td0p5_mstep0_sep0	global_chrom_snp_oracle	snp_truth_global_chrom_oracle	chr12	1
p9016_pcgamma1_td0p5_mstep0_sep0	global_chrom_snp_oracle	snp_truth_global_chrom_oracle	chr13	0
p9016_pcgamma1_td0p5_mstep0_sep0	global_chrom_snp_oracle	snp_truth_global_chrom_oracle	chr14	0
p9016_pcgamma1_td0p5_mstep0_sep0	global_chrom_snp_oracle	snp_truth_global_chrom_oracle	chr15	0
p9016_pcgamma1_td0p5_mstep0_sep0	global_chrom_snp_oracle	snp_truth_global_chrom_oracle	chr16	0
p9016_pcgamma1_td0p5_mstep0_sep0	global_chrom_snp_oracle	snp_truth_global_chrom_oracle	chr17	0
p9016_pcgamma1_td0p5_mstep0_sep0	global_chrom_snp_oracle	snp_truth_global_chrom_oracle	chr18	0
p9016_pcgamma1_td0p5_mstep0_sep0	global_chrom_snp_oracle	snp_truth_global_chrom_oracle	chr19	0
p9016_pcgamma1_td0p5_mstep0_sep0	global_chrom_snp_oracle	snp_truth_global_chrom_oracle	chrX	0
p9016_pcgamma1_td0p5_mstep0_sep0	raw_global_geom_nearest_to_posterior_top	blind_raw_posterior_reconstruction_global_gauge	chr1	0
p9016_pcgamma1_td0p5_mstep0_sep0	raw_global_geom_nearest_to_posterior_top	blind_raw_posterior_reconstruction_global_gauge	chr2	0
