key	value
bin_size_bp	1000000
charm3dg_genome_volume	351.35
charm3dg_mean_copy01_separation	4.65535
charm3dg_median_copy01_separation	4.60667
charm3dg_pmax90_accuracy_genome_all	0.0507824
charm3dg_pmax90_accuracy_genome_cis	0.0118652
charm3dg_pmax90_accuracy_genome_trans	0.0883842
charm3dg_pmax90_recall_genome_all	0.0144815
charm3dg_pmax90_recall_genome_cis	0.00282446
charm3dg_pmax90_recall_genome_trans	0.0311647
charm3dg_pmax90_same_cross_accuracy_genome_all	0.900699
charm3dg_pmax90_same_cross_accuracy_genome_cis	0.99103
charm3dg_pmax90_same_cross_accuracy_genome_trans	0.813422
charm3dg_pmax90_same_cross_recall_genome_all	0.256849
charm3dg_pmax90_same_cross_recall_genome_cis	0.23591
charm3dg_pmax90_same_cross_recall_genome_trans	0.286817
charm3dg_posterior_top1_contact_distance_genome_cis_mean	0.871871
charm3dg_posterior_top1_contact_distance_genome_cis_median	0.676999
charm3dg_posterior_top1_contact_distance_genome_cis_n	676442
charm3dg_posterior_top1_contact_distance_genome_cis_p90	1.70015
charm3dg_posterior_top1_contact_distance_genome_trans_mean	2.34973
charm3dg_posterior_top1_contact_distance_genome_trans_median	2.28405
charm3dg_posterior_top1_contact_distance_genome_trans_n	545353
charm3dg_posterior_top1_contact_distance_genome_trans_p90	4.01166
charm3dg_probability_baseline	uniform_prior_fdg_energy_from_charm3dg_distances
charm3dg_same_cross_accuracy_genome_all	0.847503
charm3dg_same_cross_accuracy_genome_cis	0.977244
charm3dg_same_cross_accuracy_genome_trans	0.661821
charm3dg_snp_truth_contact_distance_genome_cis_mean	1.05109
charm3dg_snp_truth_contact_distance_genome_cis_median	0.890171
charm3dg_snp_truth_contact_distance_genome_cis_n	207084
charm3dg_snp_truth_contact_distance_genome_cis_p90	1.8662
charm3dg_snp_truth_contact_distance_genome_trans_mean	2.26114
charm3dg_snp_truth_contact_distance_genome_trans_median	2.18208
charm3dg_snp_truth_contact_distance_genome_trans_n	143977
charm3dg_snp_truth_contact_distance_genome_trans_p90	3.95021
charm3dg_top1_accuracy_genome_all	0.198369
charm3dg_top1_accuracy_genome_cis	0.221055
charm3dg_top1_accuracy_genome_trans	0.165901
charm_3dg_used_eval_only	1
chr1_shared_points_per_chrom_best	379
chromosomes_in_pairs_header	20
contact_copy_swap_source	whole_chrom_snp_oracle_swaps.tsv
contact_eval_per_chrom_copy_swaps_json	{"chr1": 0, "chr10": 0, "chr11": 0, "chr12": 0, "chr13": 0, "chr14": 1, "chr15": 0, "chr16": 1, "chr17": 1, "chr18": 0, "chr19": 1, "chr2": 1, "chr3": 0, "chr4": 0, "chr5": 0, "chr6": 0, "chr7": 0, "chr8": 0, "chr9": 0, "chrX": 1}
contact_geometry_per_chrom_copy_swaps_json	{"chr1": 1, "chr10": 0, "chr11": 0, "chr12": 0, "chr13": 1, "chr14": 0, "chr15": 1, "chr16": 0, "chr17": 0, "chr18": 1, "chr19": 0, "chr2": 0, "chr3": 1, "chr4": 1, "chr5": 0, "chr6": 1, "chr7": 0, "chr8": 1, "chr9": 0, "chrX": 0}
contact_whole_chrom_snp_copy_swaps_json	{"chr1": 0, "chr10": 0, "chr11": 0, "chr12": 0, "chr13": 0, "chr14": 1, "chr15": 0, "chr16": 1, "chr17": 1, "chr18": 0, "chr19": 1, "chr2": 1, "chr3": 0, "chr4": 0, "chr5": 0, "chr6": 0, "chr7": 0, "chr8": 0, "chr9": 0, "chrX": 1}
copy_swap_policy	structure uses per-chrom cis distance Spearman geometry gauge; contact identity headline metrics use eval-only whole-chromosome SNP cis-top1 gauge
created_at	2026-06-16T21:35:27
distance_per_chrom_copy_swaps_json	{"chr1": 1, "chr10": 0, "chr11": 0, "chr12": 0, "chr13": 1, "chr14": 0, "chr15": 1, "chr16": 0, "chr17": 0, "chr18": 1, "chr19": 0, "chr2": 0, "chr3": 1, "chr4": 1, "chr5": 0, "chr6": 1, "chr7": 0, "chr8": 1, "chr9": 0, "chrX": 0}
label	P9016 softall baseline 1000000bp
mean_cis_distance_spearman_charm_copy0_reconstruction_copy0	0.421359
mean_cis_distance_spearman_charm_copy0_reconstruction_copy1	0.485375
mean_cis_distance_spearman_charm_copy1_reconstruction_copy0	0.515308
mean_cis_distance_spearman_charm_copy1_reconstruction_copy1	0.43656
mean_per_chrom_cis_distance_spearman	0.791783
model_contact_copy_swap_policy	whole_chrom_snp_cis_top1_oracle_eval_only
model_geometry_pmax90_accuracy_genome_all	0.275023
model_geometry_pmax90_accuracy_genome_cis	0.405339
model_geometry_pmax90_accuracy_genome_trans	0.162067
model_geometry_pmax90_recall_genome_all	0.0936966
model_geometry_pmax90_recall_genome_cis	0.108921
model_geometry_pmax90_recall_genome_trans	0.0719073
model_geometry_pmax90_same_cross_accuracy_genome_all	0.698957
model_geometry_pmax90_same_cross_accuracy_genome_cis	0.969388
model_geometry_pmax90_same_cross_accuracy_genome_trans	0.464551
model_geometry_pmax90_same_cross_recall_genome_all	0.238125
model_geometry_pmax90_same_cross_recall_genome_cis	0.260491
model_geometry_pmax90_same_cross_recall_genome_trans	0.206116
model_geometry_same_cross_accuracy_genome_all	0.768814
model_geometry_same_cross_accuracy_genome_cis	0.969353
model_geometry_same_cross_accuracy_genome_trans	0.481806
model_geometry_top1_accuracy_genome_all	0.347909
model_geometry_top1_accuracy_genome_cis	0.452782
model_geometry_top1_accuracy_genome_trans	0.197816
model_pmax90_accuracy_genome_all	0.504797
model_pmax90_accuracy_genome_cis	0.62921
model_pmax90_accuracy_genome_trans	0.396957
model_pmax90_recall_genome_all	0.171978
model_pmax90_recall_genome_cis	0.169079
model_pmax90_recall_genome_trans	0.176125
model_pmax90_same_cross_accuracy_genome_all	0.753589
model_pmax90_same_cross_accuracy_genome_cis	0.969388
model_pmax90_same_cross_accuracy_genome_trans	0.566538
model_pmax90_same_cross_recall_genome_all	0.256738
model_pmax90_same_cross_recall_genome_cis	0.260491
model_pmax90_same_cross_recall_genome_trans	0.251367
model_same_cross_accuracy_genome_all	0.789626
model_same_cross_accuracy_genome_cis	0.969324
model_same_cross_accuracy_genome_trans	0.532446
model_top1_accuracy_genome_all	0.471046
model_top1_accuracy_genome_cis	0.569406
model_top1_accuracy_genome_trans	0.330275
pairs_cis	1135454
pairs_path	/shared/zliu/CHARM/CHARM_mesc/data/pairs/P9016.pairs.gz
pairs_phase_columns_present	1
pairs_total	1703888
pairs_trans	568434
pairs_with_any_phase	1302203
pairs_with_both_phases	496021
phase0_labeled	902175
phase1_labeled	896049
phase_used_eval_only	1
pmax_threshold	0.9
posterior_bpair_rows	489556
posterior_path	test_res/003-20260616_125639-p9016_softall_1m_direct_gpu_baseline/outputs/minimal_soft_sep_off/p9016_full.bpair_posterior.tsv
reconstruction_genome_volume	1020.16
reconstruction_mean_copy01_separation	4.97718
reconstruction_median_copy01_separation	4.87374
reconstruction_path	test_res/003-20260616_125639-p9016_softall_1m_direct_gpu_baseline/outputs/minimal_soft_sep_off/p9016_full.coords.tsv
reconstruction_points	5266
reconstruction_posterior_top1_contact_distance_genome_cis_mean	0.50286
reconstruction_posterior_top1_contact_distance_genome_cis_median	0.453858
reconstruction_posterior_top1_contact_distance_genome_cis_n	676442
reconstruction_posterior_top1_contact_distance_genome_cis_p90	0.84551
reconstruction_posterior_top1_contact_distance_genome_trans_mean	2.11215
reconstruction_posterior_top1_contact_distance_genome_trans_median	2.08821
reconstruction_posterior_top1_contact_distance_genome_trans_n	545353
reconstruction_posterior_top1_contact_distance_genome_trans_p90	3.30539
reconstruction_snp_truth_contact_distance_genome_cis_mean	0.812624
reconstruction_snp_truth_contact_distance_genome_cis_median	0.548243
reconstruction_snp_truth_contact_distance_genome_cis_n	207084
reconstruction_snp_truth_contact_distance_genome_cis_p90	1.51394
reconstruction_snp_truth_contact_distance_genome_trans_mean	2.05238
reconstruction_snp_truth_contact_distance_genome_trans_median	2.0241
reconstruction_snp_truth_contact_distance_genome_trans_n	143977
reconstruction_snp_truth_contact_distance_genome_trans_p90	3.25721
reference_3dg_path	/shared/zliu/CHARM/CHARM_mesc/data/tdg/P9016.1m.3dg.gz
reference_points_aggregated	4947
shared_points_per_chrom_best	4947
snp_contact_distance_genome_cis_posterior_matched_contacts	209923
snp_contact_distance_genome_cis_snp_contacts_used	207084
snp_contact_distance_genome_cis_snp_missing_coord_skipped	2839
snp_contact_distance_genome_cis_top1_candidate_contacts	696559
snp_contact_distance_genome_cis_top1_contacts_used	676442
snp_contact_distance_genome_cis_top1_is_reconstruction_min_contacts	634702
snp_contact_distance_genome_cis_top1_min_check_contacts	696559
snp_contact_distance_genome_cis_top1_missing_coord_skipped	20117
snp_contact_distance_genome_trans_posterior_matched_contacts	146847
snp_contact_distance_genome_trans_snp_contacts_used	143977
