config_name	policy	chrom1	chrom2	all_score0	all_score1	all_score2	all_score3	split_a_score0	split_a_score1	split_a_score2	split_a_score3	split_b_score0	split_b_score1	split_b_score2	split_b_score3	all_selected_swap_code	split_a_selected_swap_code	split_b_selected_swap_code	split_agree
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	geom_nearest_gap	chr1	chr10	3037.11537	0	0	0	1507.8123	0	0	0	1529.30307	0	0	0	0	0	0	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	geom_nearest_gap	chr1	chr11	15127.9861	0	0	0	7345.19094	0	0	0	7782.79515	0	0	0	0	0	0	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	geom_nearest_gap	chr1	chr12	6888.10392	0	0	0	3646.24079	0	0	0	3241.86313	0	0	0	0	0	0	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	geom_nearest_gap	chr1	chr13	6341.55405	0	0	0	3120.77188	0	0	0	3220.78217	0	0	0	0	0	0	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	geom_nearest_gap	chr1	chr14	5459.48068	0	0	0	2720.71456	0	0	0	2738.76612	0	0	0	0	0	0	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	geom_nearest_gap	chr1	chr15	7423.99775	0	0	0	3712.92282	0	0	0	3711.07493	0	0	0	0	0	0	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	geom_nearest_gap	chr1	chr16	2112.1994	0	0	0	1058.03849	0	0	0	1054.1609	0	0	0	0	0	0	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	geom_nearest_gap	chr1	chr17	7114.09362	0	0.113890199	0	3356.5768	0	0.113890199	0	3757.51682	0	0	0	0	0	0	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	geom_nearest_gap	chr1	chr18	2675.61647	0	0	0	1240.33461	0	0	0	1435.28186	0	0	0	0	0	0	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	geom_nearest_gap	chr1	chr19	3270.68021	0	0	0	1658.02844	0	0	0	1612.65177	0	0	0	0	0	0	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	geom_nearest_gap	chr1	chr2	6392.1997	0	0	0.00913927387	3029.68864	0	0	0	3362.51107	0	0	0.00913927387	0	0	0	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	geom_nearest_gap	chr1	chr3	10117.4188	0	0	0	5127.04141	0	0	0	4990.37739	0	0	0	0	0	0	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	geom_nearest_gap	chr1	chr4	8352.00603	0	0	0	4116.50508	0	0	0	4235.50095	0	0	0	0	0	0	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	geom_nearest_gap	chr1	chr5	3320.64186	0	0	0	1695.63373	0	0	0	1625.00813	0	0	0	0	0	0	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	geom_nearest_gap	chr1	chr6	11189.3147	0	0.351064677	0	5401.54682	0	0.351064677	0	5787.76786	0	0	0	0	0	0	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	geom_nearest_gap	chr1	chr7	9746.93647	0	0	0	4998.44941	0	0	0	4748.48706	0	0	0	0	0	0	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	geom_nearest_gap	chr1	chr8	20563.0262	0	0	0	10837.4547	0	0	0	9725.57151	0	0	0	0	0	0	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	geom_nearest_gap	chr1	chr9	6441.002	0	0	1.84691443	3182.84264	0	0	0.182088937	3258.15937	0	0	1.6648255	0	0	0	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	geom_nearest_gap	chr1	chrX	10414.071	0.248616746	0	0	5355.59395	0.0643751103	0	0	5058.47708	0.184241635	0	0	0	0	0	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	geom_nearest_gap	chr10	chr11	1894.5168	0	0	0	939.016824	0	0	0	955.499977	0	0	0	0	0	0	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	geom_nearest_gap	chr10	chr12	6635.02915	0	0	0	3764.44556	0	0	0	2870.58358	0	0	0	0	0	0	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	geom_nearest_gap	chr10	chr13	3971.45283	0	0	0	1962.88513	0	0	0	2008.5677	0	0	0	0	0	0	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	geom_nearest_gap	chr10	chr14	1315.77261	0	0	0.0567728421	665.241496	0	0	0.0567728421	650.531116	0	0	0	0	0	0	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	geom_nearest_gap	chr10	chr15	5898.27383	0	0	0.41103633	2827.43563	0	0	0	3070.8382	0	0	0.41103633	0	0	0	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	geom_nearest_gap	chr10	chr16	8143.30203	0	0	0	3868.08644	0	0	0	4275.21559	0	0	0	0	0	0	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	geom_nearest_gap	chr10	chr17	5660.40019	0	0	0	2983.4494	0	0	0	2676.95079	0	0	0	0	0	0	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	geom_nearest_gap	chr10	chr18	2581.58374	0	0	0	1294.29977	0	0	0	1287.28397	0	0	0	0	0	0	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	geom_nearest_gap	chr10	chr19	780.455906	0	0	0.514943108	365.071379	0	0	0.380666775	415.384527	0	0	0.134276333	0	0	0	1
