chrom	reference_copy	reconstruction_copy	reference_copy_index	reconstruction_copy_index	selected_by_geometry_swap	n_points	n_pairwise_distances	cis_distance_pearson	cis_distance_spearman
chr1	copy0	copy0	0	0	0	189	17766	0.2728814671941201	0.29270477075085577
chr1	copy0	copy1	0	1	1	189	17766	0.2160653524425157	0.23110471596296608
chr1	copy1	copy0	1	0	1	190	17955	0.11581263732868541	0.18301874292242332
chr1	copy1	copy1	1	1	0	190	17955	0.3901924110274063	0.3874978833595457
chr2	copy0	copy0	0	0	1	175	15225	0.10748215466102821	0.14852424877689613
chr2	copy0	copy1	0	1	0	175	15225	0.37915845763727046	0.2945256380319448
chr2	copy1	copy0	1	0	0	174	15051	0.20275615926168017	0.23577995590439405
chr2	copy1	copy1	1	1	1	174	15051	0.18446450585562316	0.1749355146337794
chr3	copy0	copy0	0	0	1	156	12090	0.1805053893989471	0.1954722784510394
chr3	copy0	copy1	0	1	0	156	12090	0.1569352072587763	0.15557979717266143
chr3	copy1	copy0	1	0	0	157	12246	0.11403700949962535	0.12092655959879922
chr3	copy1	copy1	1	1	1	157	12246	0.23826939020726842	0.21550527771992734
chr4	copy0	copy0	0	0	0	148	10878	0.3049527136169585	0.2938683176568968
chr4	copy0	copy1	0	1	1	148	10878	0.31896462664914715	0.32295394663809746
chr4	copy1	copy0	1	0	1	148	10878	0.264723963830814	0.2835864291731602
chr4	copy1	copy1	1	1	0	148	10878	0.3030881025886869	0.2717248524704132
chr5	copy0	copy0	0	0	1	144	10296	0.06534430501628523	0.11054100721882133
chr5	copy0	copy1	0	1	0	144	10296	0.12543750430349648	0.20075782244401447
chr5	copy1	copy0	1	0	0	145	10440	0.08734764953387943	0.09041179120016515
chr5	copy1	copy1	1	1	1	145	10440	0.17543569811433762	0.2968018250952201
chr6	copy0	copy0	0	0	0	146	10585	0.34379786081636193	0.37787223221838967
chr6	copy0	copy1	0	1	1	146	10585	0.050226335124100595	0.07075294908508745
chr6	copy1	copy0	1	0	1	147	10731	0.15052117497484743	0.15834526251296616
chr6	copy1	copy1	1	1	0	147	10731	0.12126595143876617	0.13442443517510339
chr7	copy0	copy0	0	0	0	129	8256	0.01544586537804725	0.1442040234506128
chr7	copy0	copy1	0	1	1	129	8256	0.0779568506158815	0.12724689886431395
chr7	copy1	copy0	1	0	1	131	8515	0.21976388577608313	0.32958002100124656
chr7	copy1	copy1	1	1	0	131	8515	0.0877573666933561	0.12167153942014175
chr8	copy0	copy0	0	0	1	124	7626	0.2598570324975196	0.24395989056764192
chr8	copy0	copy1	0	1	0	124	7626	0.1940928980563834	0.18751213118461005
