chrom1	chrom2	policy	selected_swap_code	selected_swap1	selected_swap2	flip_source	n_eval_contacts	top1_accuracy	same_cross_accuracy	pmax_threshold_accuracy	pmax_threshold_recall
chr1	chr2	cis_selected_whole_chrom	0	0	0	cis_snp_truth_whole_chrom	1440	0.413194444	0.611805556	0.672932331	0.124305556
chr1	chr2	pair_independent_4state_oracle	0	0	0	snp_truth_oracle	1440	0.413194444	0.611805556	0.672932331	0.124305556
chr1	chr2	blind_geom_nearest_to_posterior_top	0	0	0	blind_posterior_reconstruction_geometry	1440	0.413194444	0.611805556	0.672932331	0.124305556
chr1	chr2	blind_geom_nearest_gap_weighted	0	0	0	blind_posterior_reconstruction_geometry	1440	0.413194444	0.611805556	0.672932331	0.124305556
chr1	chr2	blind_margin_geom_gap_weighted	0	0	0	blind_posterior_reconstruction_geometry	1440	0.413194444	0.611805556	0.672932331	0.124305556
chr1	chr2	blind_pmax_geom_gap_weighted	0	0	0	blind_posterior_reconstruction_geometry	1440	0.413194444	0.611805556	0.672932331	0.124305556
chr1	chr2	blind_same_cross_distance_sum	0	0	0	blind_posterior_reconstruction_geometry	1440	0.413194444	0.611805556	0.672932331	0.124305556
chr1	chr2	blind_posterior_mass_same_cross	0	0	0	blind_posterior_reconstruction_geometry	1440	0.413194444	0.611805556	0.672932331	0.124305556
chr1	chr2	blind_chrom_center_same_closer	0	0	0	blind_reconstruction_geometry	1440	0.413194444	0.611805556	0.672932331	0.124305556
chr1	chr2	blind_chrom_homolog_vector_dot	0	0	0	blind_reconstruction_geometry	1440	0.413194444	0.611805556	0.672932331	0.124305556
chr1	chr3	cis_selected_whole_chrom	0	0	0	cis_snp_truth_whole_chrom	1036	0.344594595	0.558880309	0.363748459	0.284749035
chr1	chr3	pair_independent_4state_oracle	0	0	0	snp_truth_oracle	1036	0.344594595	0.558880309	0.363748459	0.284749035
chr1	chr3	blind_geom_nearest_to_posterior_top	0	0	0	blind_posterior_reconstruction_geometry	1036	0.344594595	0.558880309	0.363748459	0.284749035
chr1	chr3	blind_geom_nearest_gap_weighted	0	0	0	blind_posterior_reconstruction_geometry	1036	0.344594595	0.558880309	0.363748459	0.284749035
chr1	chr3	blind_margin_geom_gap_weighted	0	0	0	blind_posterior_reconstruction_geometry	1036	0.344594595	0.558880309	0.363748459	0.284749035
chr1	chr3	blind_pmax_geom_gap_weighted	0	0	0	blind_posterior_reconstruction_geometry	1036	0.344594595	0.558880309	0.363748459	0.284749035
chr1	chr3	blind_same_cross_distance_sum	0	0	0	blind_posterior_reconstruction_geometry	1036	0.344594595	0.558880309	0.363748459	0.284749035
chr1	chr3	blind_posterior_mass_same_cross	1	0	1	blind_posterior_reconstruction_geometry	1036	0.198841699	0.441119691	0.182490752	0.142857143
chr1	chr3	blind_chrom_center_same_closer	0	0	0	blind_reconstruction_geometry	1036	0.344594595	0.558880309	0.363748459	0.284749035
chr1	chr3	blind_chrom_homolog_vector_dot	0	0	0	blind_reconstruction_geometry	1036	0.344594595	0.558880309	0.363748459	0.284749035
chr1	chr4	cis_selected_whole_chrom	0	0	0	cis_snp_truth_whole_chrom	1167	0.476435304	0.611825193	0.535493827	0.297343616
chr1	chr4	pair_independent_4state_oracle	0	0	0	snp_truth_oracle	1167	0.476435304	0.611825193	0.535493827	0.297343616
chr1	chr4	blind_geom_nearest_to_posterior_top	0	0	0	blind_posterior_reconstruction_geometry	1167	0.476435304	0.611825193	0.535493827	0.297343616
chr1	chr4	blind_geom_nearest_gap_weighted	0	0	0	blind_posterior_reconstruction_geometry	1167	0.476435304	0.611825193	0.535493827	0.297343616
chr1	chr4	blind_margin_geom_gap_weighted	0	0	0	blind_posterior_reconstruction_geometry	1167	0.476435304	0.611825193	0.535493827	0.297343616
chr1	chr4	blind_pmax_geom_gap_weighted	0	0	0	blind_posterior_reconstruction_geometry	1167	0.476435304	0.611825193	0.535493827	0.297343616
chr1	chr4	blind_same_cross_distance_sum	0	0	0	blind_posterior_reconstruction_geometry	1167	0.476435304	0.611825193	0.535493827	0.297343616
chr1	chr4	blind_posterior_mass_same_cross	0	0	0	blind_posterior_reconstruction_geometry	1167	0.476435304	0.611825193	0.535493827	0.297343616
chr1	chr4	blind_chrom_center_same_closer	0	0	0	blind_reconstruction_geometry	1167	0.476435304	0.611825193	0.535493827	0.297343616
chr1	chr4	blind_chrom_homolog_vector_dot	0	0	0	blind_reconstruction_geometry	1167	0.476435304	0.611825193	0.535493827	0.297343616
chr1	chr5	cis_selected_whole_chrom	0	0	0	cis_snp_truth_whole_chrom	865	0.27283237	0.536416185	0.209302326	0.0208092486
chr1	chr5	pair_independent_4state_oracle	0	0	0	snp_truth_oracle	865	0.27283237	0.536416185	0.209302326	0.0208092486
chr1	chr5	blind_geom_nearest_to_posterior_top	0	0	0	blind_posterior_reconstruction_geometry	865	0.27283237	0.536416185	0.209302326	0.0208092486
chr1	chr5	blind_geom_nearest_gap_weighted	0	0	0	blind_posterior_reconstruction_geometry	865	0.27283237	0.536416185	0.209302326	0.0208092486
chr1	chr5	blind_margin_geom_gap_weighted	0	0	0	blind_posterior_reconstruction_geometry	865	0.27283237	0.536416185	0.209302326	0.0208092486
chr1	chr5	blind_pmax_geom_gap_weighted	0	0	0	blind_posterior_reconstruction_geometry	865	0.27283237	0.536416185	0.209302326	0.0208092486
chr1	chr5	blind_same_cross_distance_sum	1	0	1	blind_posterior_reconstruction_geometry	865	0.221965318	0.463583815	0.244186047	0.0242774566
chr1	chr5	blind_posterior_mass_same_cross	1	0	1	blind_posterior_reconstruction_geometry	865	0.221965318	0.463583815	0.244186047	0.0242774566
chr1	chr5	blind_chrom_center_same_closer	1	0	1	blind_reconstruction_geometry	865	0.221965318	0.463583815	0.244186047	0.0242774566
chr1	chr5	blind_chrom_homolog_vector_dot	1	0	1	blind_reconstruction_geometry	865	0.221965318	0.463583815	0.244186047	0.0242774566
chr1	chr6	cis_selected_whole_chrom	0	0	0	cis_snp_truth_whole_chrom	1600	0.593125	0.70875	0.763193505	0.3525
chr1	chr6	pair_independent_4state_oracle	0	0	0	snp_truth_oracle	1600	0.593125	0.70875	0.763193505	0.3525
chr1	chr6	blind_geom_nearest_to_posterior_top	0	0	0	blind_posterior_reconstruction_geometry	1600	0.593125	0.70875	0.763193505	0.3525
