source	chrom	n_bins	mean_copy01_separation	median_copy01_separation
charm3dg	chr1	49	3.9705185704023576	3.856102657963691
charm3dg	chr2	46	5.9960741160626245	6.197270762018333
charm3dg	chr3	40	4.456449791632156	4.486788040503148
charm3dg	chr4	38	7.138323003581941	7.221532996891288
charm3dg	chr5	38	3.7681377426515525	4.274487812055328
charm3dg	chr6	38	5.819757739892128	5.8720731200733525
charm3dg	chr7	34	2.638420639627933	2.681621189360431
charm3dg	chr8	33	6.497024674206506	6.555993903216396
charm3dg	chr9	31	3.9993340099280625	3.963337832483897
charm3dg	chr10	33	3.6800090949099538	3.6357224805138
charm3dg	chr11	31	5.485468762710782	5.545209422640126
charm3dg	chr12	29	4.519464173987396	4.587199021201896
charm3dg	chr13	30	2.99743594578423	2.982614064732889
charm3dg	chr14	29	2.283228663485317	2.3459287285857053
charm3dg	chr15	26	6.72292616743198	6.667860290720537
charm3dg	chr16	24	3.6050413107226853	3.4975131158441526
charm3dg	chr17	24	4.5305093965862	4.511450931831638
charm3dg	chr18	23	5.146525127839418	5.036057635095211
charm3dg	chr19	16	2.4373938605411745	2.502242784748427
charm3dg	chrX	37	5.217930739292266	5.229557764566473
charm3dg	genome	649	4.640198305945012	4.583788000416301
reconstruction	chr1	49	3.76207059474804	3.61759755708144
reconstruction	chr2	46	3.4092953997141326	3.5130418593967767
reconstruction	chr3	40	3.5246136874468887	3.500246718933121
reconstruction	chr4	39	3.110230882949117	3.140473071098387
reconstruction	chr5	38	3.1036692481325048	3.195071986061323
reconstruction	chr6	37	2.6511094963377277	2.7127559955191205
reconstruction	chr7	36	3.0030224790416753	2.957834239264327
reconstruction	chr8	32	2.977244494574487	3.0759344722373605
reconstruction	chr9	31	3.195274020719256	3.3245599428008403
reconstruction	chr10	33	3.4689901604178663	3.5509047183259668
reconstruction	chr11	31	3.3877555151921537	3.4182744613188576
reconstruction	chr12	30	3.2067804384005254	3.282390027179806
reconstruction	chr13	30	2.941995444338463	3.1816888397088583
reconstruction	chr14	31	2.2736546738356735	2.3389026265760324
reconstruction	chr15	26	2.9027383258517694	3.1872843325785
reconstruction	chr16	25	3.507548082163496	3.6192411250077376
reconstruction	chr17	24	3.1651654282976147	3.003738366475159
reconstruction	chr18	23	2.5342125784539884	2.384404794170407
reconstruction	chr19	15	2.964938295784699	2.9893761893354744
reconstruction	chrX	43	3.4791234738162924	3.671536208671235
reconstruction	genome	659	3.1682064029235484	3.2384684908057544
