coarse_chr	coarse_bid	coarse_start	coarse_end	fine_bid	fine_start	fine_end	child_index	n_children_for_coarse	child_offset_bp
chr1	0	0	1000000	0	0	200000	0	5	0
chr1	0	0	1000000	1	200000	400000	1	5	200000
chr1	0	0	1000000	2	400000	600000	2	5	400000
chr1	0	0	1000000	3	600000	800000	3	5	600000
chr1	0	0	1000000	4	800000	1000000	4	5	800000
chr1	1	1000000	2000000	5	1000000	1200000	0	5	0
chr1	1	1000000	2000000	6	1200000	1400000	1	5	200000
chr1	1	1000000	2000000	7	1400000	1600000	2	5	400000
chr1	1	1000000	2000000	8	1600000	1800000	3	5	600000
chr1	1	1000000	2000000	9	1800000	2000000	4	5	800000
chr1	2	2000000	3000000	10	2000000	2200000	0	5	0
chr1	2	2000000	3000000	11	2200000	2400000	1	5	200000
chr1	2	2000000	3000000	12	2400000	2600000	2	5	400000
chr1	2	2000000	3000000	13	2600000	2800000	3	5	600000
chr1	2	2000000	3000000	14	2800000	3000000	4	5	800000
chr1	3	3000000	4000000	15	3000000	3200000	0	5	0
chr1	3	3000000	4000000	16	3200000	3400000	1	5	200000
chr1	3	3000000	4000000	17	3400000	3600000	2	5	400000
chr1	3	3000000	4000000	18	3600000	3800000	3	5	600000
chr1	3	3000000	4000000	19	3800000	4000000	4	5	800000
chr1	4	4000000	5000000	20	4000000	4200000	0	5	0
chr1	4	4000000	5000000	21	4200000	4400000	1	5	200000
chr1	4	4000000	5000000	22	4400000	4600000	2	5	400000
chr1	4	4000000	5000000	23	4600000	4800000	3	5	600000
chr1	4	4000000	5000000	24	4800000	5000000	4	5	800000
chr1	5	5000000	6000000	25	5000000	5200000	0	5	0
chr1	5	5000000	6000000	26	5200000	5400000	1	5	200000
chr1	5	5000000	6000000	27	5400000	5600000	2	5	400000
chr1	5	5000000	6000000	28	5600000	5800000	3	5	600000
chr1	5	5000000	6000000	29	5800000	6000000	4	5	800000
chr1	6	6000000	7000000	30	6000000	6200000	0	5	0
chr1	6	6000000	7000000	31	6200000	6400000	1	5	200000
chr1	6	6000000	7000000	32	6400000	6600000	2	5	400000
chr1	6	6000000	7000000	33	6600000	6800000	3	5	600000
chr1	6	6000000	7000000	34	6800000	7000000	4	5	800000
chr1	7	7000000	8000000	35	7000000	7200000	0	5	0
chr1	7	7000000	8000000	36	7200000	7400000	1	5	200000
chr1	7	7000000	8000000	37	7400000	7600000	2	5	400000
chr1	7	7000000	8000000	38	7600000	7800000	3	5	600000
chr1	7	7000000	8000000	39	7800000	8000000	4	5	800000
chr1	8	8000000	9000000	40	8000000	8200000	0	5	0
chr1	8	8000000	9000000	41	8200000	8400000	1	5	200000
chr1	8	8000000	9000000	42	8400000	8600000	2	5	400000
chr1	8	8000000	9000000	43	8600000	8800000	3	5	600000
chr1	8	8000000	9000000	44	8800000	9000000	4	5	800000
chr1	9	9000000	10000000	45	9000000	9200000	0	5	0
chr1	9	9000000	10000000	46	9200000	9400000	1	5	200000
chr1	9	9000000	10000000	47	9400000	9600000	2	5	400000
chr1	9	9000000	10000000	48	9600000	9800000	3	5	600000
chr1	9	9000000	10000000	49	9800000	10000000	4	5	800000
chr1	10	10000000	11000000	50	10000000	10200000	0	5	0
chr1	10	10000000	11000000	51	10200000	10400000	1	5	200000
chr1	10	10000000	11000000	52	10400000	10600000	2	5	400000
chr1	10	10000000	11000000	53	10600000	10800000	3	5	600000
chr1	10	10000000	11000000	54	10800000	11000000	4	5	800000
chr1	11	11000000	12000000	55	11000000	11200000	0	5	0
chr1	11	11000000	12000000	56	11200000	11400000	1	5	200000
chr1	11	11000000	12000000	57	11400000	11600000	2	5	400000
chr1	11	11000000	12000000	58	11600000	11800000	3	5	600000
chr1	11	11000000	12000000	59	11800000	12000000	4	5	800000
chr1	12	12000000	13000000	60	12000000	12200000	0	5	0
chr1	12	12000000	13000000	61	12200000	12400000	1	5	200000
chr1	12	12000000	13000000	62	12400000	12600000	2	5	400000
chr1	12	12000000	13000000	63	12600000	12800000	3	5	600000
chr1	12	12000000	13000000	64	12800000	13000000	4	5	800000
chr1	13	13000000	14000000	65	13000000	13200000	0	5	0
chr1	13	13000000	14000000	66	13200000	13400000	1	5	200000
chr1	13	13000000	14000000	67	13400000	13600000	2	5	400000
chr1	13	13000000	14000000	68	13600000	13800000	3	5	600000
chr1	13	13000000	14000000	69	13800000	14000000	4	5	800000
chr1	14	14000000	15000000	70	14000000	14200000	0	5	0
chr1	14	14000000	15000000	71	14200000	14400000	1	5	200000
chr1	14	14000000	15000000	72	14400000	14600000	2	5	400000
chr1	14	14000000	15000000	73	14600000	14800000	3	5	600000
chr1	14	14000000	15000000	74	14800000	15000000	4	5	800000
chr1	15	15000000	16000000	75	15000000	15200000	0	5	0
chr1	15	15000000	16000000	76	15200000	15400000	1	5	200000
chr1	15	15000000	16000000	77	15400000	15600000	2	5	400000
chr1	15	15000000	16000000	78	15600000	15800000	3	5	600000
chr1	15	15000000	16000000	79	15800000	16000000	4	5	800000
chr1	16	16000000	17000000	80	16000000	16200000	0	5	0
chr1	16	16000000	17000000	81	16200000	16400000	1	5	200000
chr1	16	16000000	17000000	82	16400000	16600000	2	5	400000
chr1	16	16000000	17000000	83	16600000	16800000	3	5	600000
chr1	16	16000000	17000000	84	16800000	17000000	4	5	800000
chr1	17	17000000	18000000	85	17000000	17200000	0	5	0
chr1	17	17000000	18000000	86	17200000	17400000	1	5	200000
chr1	17	17000000	18000000	87	17400000	17600000	2	5	400000
chr1	17	17000000	18000000	88	17600000	17800000	3	5	600000
chr1	17	17000000	18000000	89	17800000	18000000	4	5	800000
chr1	18	18000000	19000000	90	18000000	18200000	0	5	0
chr1	18	18000000	19000000	91	18200000	18400000	1	5	200000
chr1	18	18000000	19000000	92	18400000	18600000	2	5	400000
chr1	18	18000000	19000000	93	18600000	18800000	3	5	600000
chr1	18	18000000	19000000	94	18800000	19000000	4	5	800000
chr1	19	19000000	20000000	95	19000000	19200000	0	5	0
chr1	19	19000000	20000000	96	19200000	19400000	1	5	200000
chr1	19	19000000	20000000	97	19400000	19600000	2	5	400000
chr1	19	19000000	20000000	98	19600000	19800000	3	5	600000
chr1	19	19000000	20000000	99	19800000	20000000	4	5	800000
