chrom	reference_copy	reconstruction_copy	reference_copy_index	reconstruction_copy_index	selected_by_geometry_swap	n_points	n_pairwise_distances	cis_distance_pearson	cis_distance_spearman
chr1	copy0	copy0	0	0	0	49	1176	0.18921378150017473	0.29971860426594393
chr1	copy0	copy1	0	1	1	49	1176	0.06443921374590972	0.27812662070196936
chr1	copy1	copy0	1	0	1	49	1176	0.18478362110453384	0.28590387256694105
chr1	copy1	copy1	1	1	0	49	1176	0.004226681547218171	0.22247091544367342
chr2	copy0	copy0	0	0	0	46	1035	0.4540506588870231	0.44461817320281705
chr2	copy0	copy1	0	1	1	46	1035	0.45700573174980397	0.44948042098828417
chr2	copy1	copy0	1	0	1	46	1035	0.408630798367752	0.44683211630482683
chr2	copy1	copy1	1	1	0	46	1035	0.35173848594566115	0.4011059162770542
chr3	copy0	copy0	0	0	0	40	780	0.5008648224348775	0.4786242631511937
chr3	copy0	copy1	0	1	1	40	780	0.13313131087124333	0.16288457966665854
chr3	copy1	copy0	1	0	1	40	780	0.26303284388808806	0.2642103922944293
chr3	copy1	copy1	1	1	0	40	780	0.39521529750795586	0.3895483568665149
chr4	copy0	copy0	0	0	1	39	741	0.10482768210316643	0.17250048590664283
chr4	copy0	copy1	0	1	0	39	741	0.5221066789234807	0.5710644732491804
chr4	copy1	copy0	1	0	0	38	703	0.22811401449146868	0.2993493240203766
chr4	copy1	copy1	1	1	1	38	703	0.43526524879338147	0.46408309072782755
chr5	copy0	copy0	0	0	0	38	703	0.44401278835967956	0.4441089622010674
chr5	copy0	copy1	0	1	1	38	703	0.6977562427766719	0.6793174523437681
chr5	copy1	copy0	1	0	1	38	703	0.5468326921448328	0.5222278314383577
chr5	copy1	copy1	1	1	0	38	703	0.5580688687265396	0.5991544659307817
chr6	copy0	copy0	0	0	0	37	666	-0.0153831556218614	0.08931216163915605
chr6	copy0	copy1	0	1	1	37	666	0.04652148879828361	0.10247932323210476
chr6	copy1	copy0	1	0	1	37	666	-0.012805380351143087	0.08656198216681135
chr6	copy1	copy1	1	1	0	37	666	0.15141430052516391	0.19226279971170687
chr7	copy0	copy0	0	0	0	34	561	0.24991097826851574	0.2523761041135963
chr7	copy0	copy1	0	1	1	34	561	0.05085966269630268	0.14825836190186198
chr7	copy1	copy0	1	0	1	34	561	0.4137121533528443	0.34429599080007284
chr7	copy1	copy1	1	1	0	34	561	0.6220033933821335	0.556509410622871
chr8	copy0	copy0	0	0	0	32	496	0.35098167499882965	0.3813631544890064
chr8	copy0	copy1	0	1	1	32	496	0.1737909504463955	0.19906988362235975
chr8	copy1	copy0	1	0	1	32	496	0.567406285762004	0.5760173946907249
chr8	copy1	copy1	1	1	0	32	496	0.28302035968083966	0.3024063245553477
chr9	copy0	copy0	0	0	0	31	465	0.19252234650232902	0.17463645824879337
chr9	copy0	copy1	0	1	1	31	465	0.5400706881870545	0.555338549747693
