source	scope	copy_swap_policy	n_eval_contacts	top1_correct_contacts	top1_accuracy	same_cross_correct_contacts	same_cross_accuracy	pmax_threshold	n_called_contacts	called_contact_fraction	pmax_threshold_correct_contacts	pmax_threshold_accuracy	pmax_threshold_recall	pmax_threshold_same_cross_correct_contacts	pmax_threshold_same_cross_accuracy	pmax_threshold_same_cross_recall
charm3dg_uniform_prior_fdg	genome_all	charm3dg_reference_copy_labels	410016	78523	0.19151203855459298	356354	0.8691221805978303	0.9	161506	0.39390170139701863	11274	0.06980545614404418	0.027496487941933972	138719	0.8589092665287977	0.33832582143135875
charm3dg_uniform_prior_fdg	genome_cis	charm3dg_reference_copy_labels	265206	54703	0.20626607241163472	260295	0.9814823194045383	0.9	76220	0.2873992292783723	653	0.008567305169246918	0.002462236902634179	75159	0.9860797690894778	0.28339856564331123
charm3dg_uniform_prior_fdg	genome_trans	charm3dg_reference_copy_labels	144810	23820	0.16449140252744976	96059	0.6633450728540846	0.9	85286	0.5889510392928665	10621	0.1245339211593931	0.07334438229404047	63560	0.7452571348169688	0.4389199640908777
charm3dg_uniform_prior_fdg	chr1_cis	charm3dg_reference_copy_labels	22915	4550	0.1985598952651102	22441	0.9793148592624918	0.9	6874	0.2999781802312895	78	0.011347105033459412	0.0034038839188304604	6760	0.9834157695664824	0.2950032729653066
charm3dg_uniform_prior_fdg	chr2_cis	charm3dg_reference_copy_labels	17189	3616	0.21036709523532493	16884	0.9822560940136134	0.9	5445	0.3167723544127058	55	0.010101010101010102	0.0031997207516434928	5343	0.981267217630854	0.3108383268369306
charm3dg_uniform_prior_fdg	chr3_cis	charm3dg_reference_copy_labels	17468	3267	0.18702770780856423	17185	0.9837989466452942	0.9	5552	0.31783833295168307	38	0.006844380403458214	0.0021754064575223264	5472	0.9855907780979827	0.313258529883215
charm3dg_uniform_prior_fdg	chr4_cis	charm3dg_reference_copy_labels	15888	3126	0.1967522658610272	15668	0.9861530715005036	0.9	4520	0.28449144008056393	46	0.010176991150442478	0.0028952668680765356	4470	0.9889380530973452	0.28134441087613293
charm3dg_uniform_prior_fdg	chr5_cis	charm3dg_reference_copy_labels	17244	3661	0.2123057295291116	16696	0.968220830433774	0.9	4040	0.23428438877290653	35	0.008663366336633664	0.0020296914868939923	3979	0.9849009900990099	0.23074692646717698
charm3dg_uniform_prior_fdg	chr6_cis	charm3dg_reference_copy_labels	16424	3116	0.18972235752557234	16152	0.9834388699464198	0.9	5574	0.33938139308329274	61	0.010943667025475421	0.003714076960545543	5494	0.9856476498026552	0.3345104724792986
charm3dg_uniform_prior_fdg	chr7_cis	charm3dg_reference_copy_labels	15809	2950	0.18660256815737872	15250	0.964640394711873	0.9	4562	0.28856980201151244	26	0.005699254712845244	0.001644632804098931	4506	0.9877246821569488	0.2850275159719147
charm3dg_uniform_prior_fdg	chr8_cis	charm3dg_reference_copy_labels	14409	3084	0.21403289610660003	14213	0.986397390519814	0.9	3888	0.26983135540287323	46	0.011831275720164609	0.0031924491637171214	3837	0.9868827160493827	0.26629190089527377
charm3dg_uniform_prior_fdg	chr9_cis	charm3dg_reference_copy_labels	13531	2659	0.19651171384228808	13324	0.9847017958761363	0.9	4353	0.32170571280762694	30	0.006891798759476223	0.0022171310324440173	4300	0.9878244888582587	0.31778878131697585
charm3dg_uniform_prior_fdg	chr10_cis	charm3dg_reference_copy_labels	15252	3091	0.20266194597429846	15023	0.9849855756622082	0.9	4320	0.2832415420928403	31	0.007175925925925926	0.0020325203252032522	4262	0.986574074074074	0.27943876212955676
charm3dg_uniform_prior_fdg	chr11_cis	charm3dg_reference_copy_labels	13376	3016	0.22547846889952153	13196	0.9865430622009569	0.9	3538	0.26450358851674644	23	0.006500847936687394	0.0017194976076555025	3492	0.9869983041266253	0.2610645933014354
charm3dg_uniform_prior_fdg	chr12_cis	charm3dg_reference_copy_labels	11469	2525	0.22015868863893975	11324	0.9873572238207341	0.9	3696	0.3222600052314936	37	0.01001082251082251	0.003226087714709216	3658	0.9897186147186147	0.31894672595692736
charm3dg_uniform_prior_fdg	chr13_cis	charm3dg_reference_copy_labels	12549	2715	0.2163519005498446	12313	0.9811937206151885	0.9	3558	0.2835285680133875	30	0.008431703204047217	0.0023906287353573988	3500	0.983698707138842	0.27890668579169653
charm3dg_uniform_prior_fdg	chr14_cis	charm3dg_reference_copy_labels	11838	2665	0.22512248690657205	11460	0.968068930562595	0.9	2508	0.21186011150532186	12	0.004784688995215311	0.0010136847440446021	2477	0.9876395534290271	0.20924142591653996
