chrom	copy_swap	n_points	n_pairwise_distances	cis_distance_pearson	cis_distance_spearman	selected_for_eval
chr1	0	379	71631	0.7397356477728703	0.7154956876270945	0
chr1	1	379	71631	0.781761678258273	0.7727499690016435	1
chr2	0	349	60726	0.9319292440111225	0.8733727699805437	1
chr2	1	349	60726	0.9238300009223545	0.8343485128041837	0
chr3	0	313	48828	0.8580433839016781	0.8027101565029104	0
chr3	1	313	48828	0.8618669072126688	0.8210850856235467	1
chr4	0	296	43660	0.9484234423630575	0.8155363779772794	0
chr4	1	296	43660	0.9638709396217118	0.8634542425859889	1
chr5	0	289	41616	0.7036043117984444	0.7194742276341085	1
chr5	1	289	41616	0.7023769524110482	0.715262632355882	0
chr6	0	293	42778	0.9333482898338203	0.830313316890794	0
chr6	1	293	42778	0.9306517961927453	0.840188367372031	1
chr7	0	260	33670	0.7511541603013686	0.7495600606419462	1
chr7	1	260	33670	0.7125847305748444	0.7241433653952479	0
chr8	0	247	30381	0.9103773463930339	0.8346718490682346	0
chr8	1	247	30381	0.9034761111765012	0.8348416794352986	1
chr9	0	240	28680	0.9190043542505388	0.8569664913089173	1
chr9	1	240	28680	0.8839143484240278	0.7996667160025287	0
chr10	0	254	32131	0.8619787473024981	0.8410592406477554	1
chr10	1	254	32131	0.8333629822141209	0.7920172330115829	0
chr11	0	238	28203	0.9059885652916305	0.8478508440041269	1
chr11	1	238	28203	0.8866629482987631	0.8004463581746074	0
chr12	0	225	25200	0.8089968634553976	0.7154856747062952	1
chr12	1	225	25200	0.7933170186609724	0.7129954112596509	0
chr13	0	228	25878	0.7354707014052441	0.7126358182099294	0
chr13	1	228	25878	0.8404245540190192	0.8347621048356829	1
chr14	0	221	24310	0.7199571460189277	0.7065685004958224	1
chr14	1	221	24310	0.7039138585337511	0.6852239844803406	0
chr15	0	199	19701	0.9572722359407827	0.819580600103519	0
chr15	1	199	19701	0.9610471028197365	0.8487297315355984	1
chr16	0	187	17391	0.8743665655595732	0.8059959947173968	1
chr16	1	187	17391	0.8507875321335382	0.768970840457443	0
chr17	0	181	16290	0.8251840607746201	0.7933352628312806	1
chr17	1	181	16290	0.8365048882417894	0.7878876070469291	0
chr18	0	174	15051	0.9165287298062798	0.7422538505657137	0
chr18	1	174	15051	0.9527789068906114	0.8822634358902064	1
chr19	0	116	6670	0.4791631622028941	0.4938853313764273	1
chr19	1	116	6670	0.30862713501945255	0.3053595542949971	0
chrX	0	258	33153	0.7779992538267726	0.7344607541288978	1
chrX	1	258	33153	0.7642452437644646	0.73033044201409	0
