source	chrom	n_points	convex_hull_volume	volume_fraction_of_source_genome
charm3dg	chr1	98	20.229260126031797	0.0671999037956469
charm3dg	chr2	92	25.391785978019527	0.08434938125724145
charm3dg	chr3	80	16.0732017741063	0.05339382687150417
charm3dg	chr4	77	25.032696584884903	0.0831565164405183
charm3dg	chr5	76	13.849537852243843	0.04600700201028666
charm3dg	chr6	76	20.168161262690063	0.06699693850116714
charm3dg	chr7	70	9.539880816347038	0.031690683153334565
charm3dg	chr8	66	22.585017562407725	0.07502553222219657
charm3dg	chr9	62	11.76941379541689	0.03909700452985966
charm3dg	chr10	66	10.953472379132021	0.03638651564714129
charm3dg	chr11	62	12.72188037550725	0.04226101854480013
charm3dg	chr12	59	12.687067649145703	0.04214537359052176
charm3dg	chr13	60	9.768835926584705	0.03245125280766878
charm3dg	chr14	59	7.2450324733416505	0.024067389621352454
charm3dg	chr15	52	16.558305838703102	0.055005301847291
charm3dg	chr16	48	8.16622132021188	0.02712750163245078
charm3dg	chr17	48	5.522505805373708	0.018345300644705912
charm3dg	chr18	46	11.191364830358427	0.03717677439790763
charm3dg	chr19	32	3.1655699664903443	0.010515757663959062
charm3dg	chrX	75	28.65261590540808	0.09518158451377555
charm3dg	genome	1304	301.0310875972149	1.0
reconstruction	chr1	98	18.882231047263826	0.07331133035251115
reconstruction	chr2	92	10.987914357379776	0.04266119916246324
reconstruction	chr3	80	9.858106977947953	0.038274658090017594
reconstruction	chr4	78	6.017620747657526	0.023363753015381798
reconstruction	chr5	76	23.693615440618554	0.09199180247634198
reconstruction	chr6	74	23.45814245862363	0.09107756530124808
reconstruction	chr7	72	21.401685764829203	0.08309325583818584
reconstruction	chr8	64	4.852241216875345	0.018839101052731063
reconstruction	chr9	62	4.920272096551486	0.019103234792098276
reconstruction	chr10	66	4.491366017154253	0.017437982672357518
reconstruction	chr11	62	7.607560484872026	0.02953678400010791
reconstruction	chr12	60	6.149276448743887	0.02387491372361454
reconstruction	chr13	60	8.093458947777828	0.031423312273313554
reconstruction	chr14	62	12.925105513370488	0.05018245342724344
reconstruction	chr15	52	5.692597899145005	0.02210183341701588
reconstruction	chr16	50	11.943932723223766	0.04637299455708706
reconstruction	chr17	48	19.717005490787532	0.07655238935903508
reconstruction	chr18	46	12.317290438418636	0.04782257701001844
reconstruction	chr19	30	4.3602990057732605	0.016929107585212523
reconstruction	chrX	86	11.973115387746313	0.04648629790318127
reconstruction	genome	1318	257.56224796999675	1.0
