config_name	chrom_pair	score_name	n_contacts	top1_accuracy	same_cross_accuracy	contact_weighted_mean_score	eval_only_uses_phase_labels_for_scoring	call_score_uses_phase_labels
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	chr10__chr11	posterior_nearest_agreement_gap	579	0.233160622	0.525043178	1.04133434	1	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	chr10__chr12	posterior_nearest_agreement_gap	954	0.176100629	0.43081761	0.936246763	1	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	chr10__chr13	posterior_nearest_agreement_gap	1070	0.413084112	0.555140187	1.35752603	1	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	chr10__chr14	posterior_nearest_agreement_gap	523	0.271510516	0.514340344	0.52758776	1	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	chr10__chr15	posterior_nearest_agreement_gap	908	0.25	0.77092511	1.01473919	1	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	chr10__chr16	posterior_nearest_agreement_gap	1086	0.126151013	0.586556169	1.92941148	1	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	chr10__chr17	posterior_nearest_agreement_gap	693	0.375180375	0.519480519	1.33180212	1	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	chr10__chr18	posterior_nearest_agreement_gap	585	0.299145299	0.524786325	0.98721274	1	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	chr10__chr19	posterior_nearest_agreement_gap	365	0.301369863	0.564383562	0.714899903	1	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	chr10__chrX	posterior_nearest_agreement_gap	304	0.299342105	0.5625	2.18919443	1	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	chr11__chr12	posterior_nearest_agreement_gap	595	0.257142857	0.539495798	3.08078598	1	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	chr11__chr13	posterior_nearest_agreement_gap	1022	0.351272016	0.772015656	1.90581284	1	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	chr11__chr14	posterior_nearest_agreement_gap	903	0.222591362	0.357696567	3.189004	1	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	chr11__chr15	posterior_nearest_agreement_gap	544	0.180147059	0.367647059	1.9811632	1	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	chr11__chr16	posterior_nearest_agreement_gap	413	0.295399516	0.561743341	1.71993062	1	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	chr11__chr17	posterior_nearest_agreement_gap	479	0.252609603	0.607515658	2.74477247	1	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	chr11__chr18	posterior_nearest_agreement_gap	424	0.330188679	0.580188679	1.8138325	1	0
