chrom	copy_swap	n_points	n_pairwise_distances	cis_distance_pearson	cis_distance_spearman	selected_for_eval
chr1	0	379	71631	0.03485772682442841	0.06742187866860773	0
chr1	1	379	71631	0.1346006859767531	0.12875312524167243	1
chr2	0	349	60726	0.012434636074734759	0.023639962376057623	1
chr2	1	349	60726	-0.017922797727150785	0.012994913228576092	0
chr3	0	313	48828	0.10025684661260768	0.10630678197547817	1
chr3	1	313	48828	-0.0027894592736107658	0.017384910059610802	0
chr4	0	296	43660	0.008642613381852635	0.034111615723698197	0
chr4	1	296	43660	0.006957151511655182	0.041937125794212465	1
chr5	0	289	41616	0.16515493174973359	0.20067123436238488	1
chr5	1	289	41616	0.15174963641289943	0.16574043989166118	0
chr6	0	293	42778	0.019722724251103326	0.047015886211305896	0
chr6	1	293	42778	0.03109044876913044	0.05482288458794849	1
chr7	0	260	33670	0.05624433836029373	0.11557463998749415	0
chr7	1	260	33670	0.16333199281378155	0.21567174795195157	1
chr8	0	247	30381	0.026904895841329587	0.05163826424623721	1
chr8	1	247	30381	0.005032238718834945	0.012189206987733393	0
chr9	0	240	28680	0.10814006795142936	0.141919372823758	1
chr9	1	240	28680	0.05251892943300163	0.07342218558882894	0
chr10	0	254	32131	0.11084918809750297	0.14024353268297987	1
chr10	1	254	32131	0.03235044358201906	0.0544044703299251	0
chr11	0	238	28203	0.1030285786976638	0.11619591285001943	1
chr11	1	238	28203	0.07090718786888553	0.0731235021257519	0
chr12	0	225	25200	0.08177732292524352	0.10868522351890769	1
chr12	1	225	25200	-0.015114373037759638	-0.00453622056317867	0
chr13	0	228	25878	0.18371140271168107	0.17914290623762827	1
chr13	1	228	25878	0.09275715023654298	0.09424459723385806	0
chr14	0	221	24310	0.10461319994617362	0.14339379679578607	0
chr14	1	221	24310	0.20600492039885815	0.2414138337938214	1
chr15	0	199	19701	0.048701505778295844	0.09289696991692807	1
chr15	1	199	19701	0.047456418906528304	0.08828936758525718	0
chr16	0	187	17391	0.04988202319276359	0.052467349466483466	1
chr16	1	187	17391	0.014974949104033462	0.03054044663541901	0
chr17	0	181	16290	-0.019352956129066796	0.007368832537509747	0
chr17	1	181	16290	-0.028226360759505693	0.013700025084747216	1
chr18	0	174	15051	0.5398177082600701	0.5074076540882957	0
chr18	1	174	15051	0.5464889661028325	0.5187593062392947	1
chr19	0	116	6670	0.37081224430100324	0.39396701893752367	0
chr19	1	116	6670	0.4106936803958834	0.4243672048760226	1
chrX	0	258	33153	0.0009823499515407637	0.023364220526165876	0
chrX	1	258	33153	0.06775377154424517	0.10378828018826143	1
