chr1	chr2	n_bpair	n_contacts	whole_chrom_top1_accuracy	chr_pair_oracle_top1_accuracy	best_relative_flip_chr2	nearest_geometry_state_accuracy	same_cross_accuracy	pmax90_accuracy	pmax90_recall	truth_state_distance_rank_mean	truth_state_is_nearest_fraction	posterior_top1_distance_rank_mean	posterior_top1_is_nearest_fraction	posterior_top1_distance_gap_mean
chr1	chr2	36	160	1	1	0	1	1	1	0.91875	1	1	1	1	4.98229622
chr1	chr4	19	55	0.636363636	0.636363636	0	0.636363636	1	1	0.218181818	1.36363636	0.636363636	1.01818182	0.981818182	1.73244661
chr1	chr6	123	398	0	0.00502512563	1	0	0.261306533	0	0	3.61809045	0	1	1	2.51119226
chr1	chr8	100	407	0.970515971	0.970515971	0	0.970515971	0.972972973	0.978461538	0.781326781	1.02702703	0.98034398	1	1	2.88135128
chr1	chr9	36	132	0.00757575758	0.909090909	1	0.00757575758	0.0833333333	0.00854700855	0.00757575758	2.82575758	0	1	1	5.65023079
chr1	chr11	67	283	0.392226148	0.586572438	1	0.392226148	0.399293286	0.304347826	0.197879859	1.70318021	0.392226148	1	1	2.46709707
chr1	chr12	4	26	0	0	0	0	1	0	0	4	0	1	1	2.61354495
chr1	chr13	4	13	0.0769230769	0.0769230769	0	0.0769230769	0.0769230769	0	0	2.61538462	0	1	1	2.71053841
chr1	chr15	63	203	0	0.00985221675	1	0	0.990147783	0	0	2.08866995	0	1	1	5.65645248
chr1	chr17	63	240	0.983333333	0.983333333	0	0.983333333	0.991666667	0.983050847	0.725	1.02083333	0.991666667	1	1	4.71674586
chr1	chrX	108	286	0.671328671	0.671328671	0	0.667832168	0.961538462	0.626168224	0.468531469	1.9020979	0.671328671	1	1	4.49688576
chr2	chr3	124	400	0.3025	0.6725	1	0.3075	0.3175	0.206081081	0.1525	1.695	0.3075	1.005	0.995	2.80071675
chr2	chr4	110	391	0.989769821	0.989769821	0	0.989769821	0.992327366	0.991477273	0.89258312	1.02046036	0.989769821	1	1	4.47196278
chr2	chr6	121	509	0.00196463654	0.589390963	1	0.00196463654	0.410609037	0	0	3.82121807	0.00196463654	1.02750491	0.972495088	1.52579078
chr2	chr7	59	243	0.567901235	0.567901235	0	0.567901235	0.572016461	0.56846473	0.563786008	1.85596708	0.572016461	1	1	5.47221086
chr2	chr8	111	459	0.973856209	0.973856209	0	0.973856209	0.976034858	0.981081081	0.790849673	1.01525054	0.989106754	1	1	2.69636451
chr2	chr9	155	556	0.451438849	0.544964029	1	0.447841727	0.455035971	0.459923664	0.433453237	2.27697842	0.442446043	1.00359712	0.996402878	5.36912702
chr2	chr11	17	68	0	0	0	0	0.5	0	0	3.02941176	0	1	1	2.32907396
chr2	chr16	89	271	0.487084871	0.505535055	1	0.498154982	0.498154982	0.432	0.199261993	1.64944649	0.494464945	1.01107011	0.988929889	1.29105302
chr2	chr17	17	61	0.31147541	0.31147541	0	0.31147541	0.327868852	0	0	2.78688525	0.31147541	1	1	2.96987187
chr2	chr18	1	2	1	1	0	1	1	NA	0	1	1	1	1	1.82219948
chr2	chrX	28	56	0.0178571429	0.0357142857	1	0.0178571429	0.0535714286	0	0	2.875	0.0178571429	1	1	1.73592895
chr3	chr4	2	12	0	0	0	0	0	NA	0	2	0	1	1	0.859002077
chr3	chr7	158	738	0.134146341	0.303523035	1	0.140921409	0.414634146	0.0162412993	0.00948509485	2.48915989	0.142276423	1.00135501	0.998644986	2.05508349
chr3	chr8	33	148	0.425675676	0.425675676	0	0.439189189	0.851351351	0.511363636	0.304054054	2.43243243	0.439189189	1.02702703	0.972972973	1.90863122
chr3	chr11	1	5	0	0	0	0	0	NA	0	2	0	1	1	0.997890447
chr3	chr12	118	457	0.00437636761	0.531728665	1	0.00437636761	0.0131291028	0.00438596491	0.00218818381	2.71772429	0	1.01969365	0.993435449	2.21034199
chr3	chr13	69	222	0.563063063	0.563063063	0	0.603603604	0.572072072	0.381818182	0.0945945946	1.42342342	0.594594595	1.07207207	0.927927928	0.899126309
chr3	chr14	10	46	0	0	0	0	0	0	0	2.58695652	0	1	1	3.64777726
chr3	chr15	21	82	0	0	0	0	0.012195122	0	0	2.2804878	0	1	1	1.62244854
chr3	chr17	10	40	0.125	0.875	1	0.125	0.125	NA	0	2.75	0.125	1	1	0.851685605
chr3	chr18	49	163	0.975460123	0.975460123	0	0.975460123	0.981595092	0.984496124	0.779141104	1.01840491	0.993865031	1	1	3.20117631
chr3	chr19	17	53	0	0	0	0	0	0	0	2	0	1	1	2.01670166
chr4	chr5	169	700	0.397142857	0.397142857	0	0.395714286	0.824285714	0.452873563	0.281428571	2.23428571	0.401428571	1.00142857	0.998571429	1.91848317
chr4	chr6	9	26	0	0	0	0	0.769230769	0	0	3	0	1.07692308	0.961538462	1.50065852
chr4	chr7	108	418	0.550239234	0.550239234	0	0.550239234	0.557416268	0.49235474	0.385167464	2.22009569	0.559808612	1	1	3.24102393
chr4	chr10	186	815	0.00736196319	0.409815951	1	0.00613496933	0.209815951	0.00505050505	0.00245398773	3.9791411	0	1.02208589	0.97791411	1.15889914
chr4	chr11	4	13	0	0	0	0	0	NA	0	4	0	1.46153846	0.538461538	0.544545128
chr4	chr12	73	296	0.00337837838	0.0168918919	1	0	0.972972973	0	0	3.69594595	0	1.02027027	0.97972973	2.29107404
chr4	chr13	6	38	0.0263157895	0.0263157895	0	0.0263157895	0.0263157895	0	0	3.81578947	0.0526315789	1	1	2.8473858
chr4	chr14	13	51	0	0	0	0	0.274509804	0	0	3.03921569	0	1	1	1.05922274
chr4	chr16	14	28	0.0357142857	0.714285714	1	0.0357142857	0.0357142857	0	0	2.64285714	0.0357142857	1	1	1.68250315
chr4	chr17	1	6	0	0	0	0	1	NA	0	4	0	1	1	1.29659349
chr4	chr19	7	35	0	0	0	0	0.628571429	0	0	3.14285714	0	1	1	1.37653998
chr4	chrX	88	252	0	0.202380952	1	0	0.00793650794	0	0	3.52380952	0	1	1	2.28209696
chr5	chr6	7	40	0.25	0.25	0	0.25	0.25	0.333333333	0.25	2.325	0.275	1	1	4.18086569
chr5	chr9	236	955	0.686910995	0.686910995	0	0.685863874	0.701570681	0.696574225	0.447120419	1.47958115	0.690052356	1.00104712	0.99895288	1.50922231
chr5	chr10	86	407	0.191646192	0.461916462	1	0.189189189	0.228501229	0	0	2.20884521	0.186732187	1.02457002	0.975429975	0.889238727
chr5	chr11	16	40	0.8	0.8	0	0.8	0.975	0.823529412	0.35	1.375	0.875	1.15	0.95	2.79895042
chr5	chr13	4	16	1	1	0	1	1	1	0.625	1	1	1	1	4.36806415
chr5	chr14	64	233	0.536480687	0.536480687	0	0.540772532	0.587982833	1	0.343347639	1.84549356	0.540772532	1.03004292	0.987124464	1.3446892
chr5	chr15	1	4	0	0	0	0	1	NA	0	3	0	1	1	0.865952195
chr5	chr16	87	339	0.191740413	0.191740413	0	0.203539823	0.297935103	0.0198675497	0.00884955752	2.18879056	0.212389381	1.02064897	0.979351032	1.5440431
chr5	chr18	66	260	0.223076923	0.223076923	0	0.230769231	0.223076923	0.147286822	0.0730769231	1.86153846	0.238461538	1.00769231	0.992307692	1.41036314
chr5	chr19	25	115	0.808695652	0.808695652	0	0.808695652	0.808695652	0.89	0.773913043	1.31304348	0.8	1	1	4.31770029
chr6	chr9	40	131	0	0.00763358779	1	0	0	0	0	2.5648855	0	1	1	5.08048789
chr6	chr10	103	329	0.76899696	0.76899696	0	0.765957447	0.790273556	0.604651163	0.237082067	1.23100304	0.778115502	1.00303951	0.996960486	1.77429044
chr6	chr13	26	51	0.960784314	0.960784314	0	0.980392157	0.960784314	1	0.176470588	1	1	1.05882353	0.980392157	4.13239937
chr6	chr14	129	453	0.518763797	0.518763797	0	0.518763797	0.525386313	0.519637462	0.379690949	1.84326711	0.51214128	1	1	2.81767033
chr6	chr16	111	366	0.385245902	0.385245902	0	0.385245902	0.871584699	0.364864865	0.221311475	2.57650273	0.390710383	1	1	2.03979476
chr6	chr17	8	38	0	0	0	0	1	0	0	2.92105263	0	1	1	2.85601324
