configuration	split_mode	seed_left	seed_right	same_cross_prediction_agreement_raw	same_cross_prediction_agreement_after_optimal_chromosome_flips	same_cross_prediction_agreement_after_optimal_chromosome_flips_cis	same_cross_prediction_agreement_after_optimal_chromosome_flips_trans	exact_state_raw_agreement	exact_state_agreement_after_optimal_chromosome_flips	gauge_equivalent_agreement_gain	distance_matrix_spearman	mean_chromosome_structure_spearman	posterior_js_divergence_after_gauge_alignment	fraction_contacts_callable_both_pmax_ge_0p70	fraction_contacts_consistently_callable_same_state	optimal_flip_pattern	truth_used
blind_midpoint_delta_pairwise	exact_haploid_bin_pair	17	29	0.6216666666666667	0.6216666666666667	0.6846978557504874	0.48523206751054854	0.29633333333333334	0.29633333333333334	0.0	0.333222147347677	0.7964113308285258	0.06846319129124802	0.0	0.0	chr1:0,chr2:0,chr3:0	none
blind_midpoint_delta_pairwise	exact_haploid_bin_pair	17	43	0.6593333333333333	0.6443333333333333	0.7222222222222222	0.4757383966244726	0.27666666666666667	0.30533333333333335	0.028666666666666674	0.2788727672227295	0.7780192190773619	0.07237045616035696	0.0	0.0	chr1:0,chr2:0,chr3:1	none
blind_midpoint_delta_pairwise	exact_haploid_bin_pair	17	59	0.6493333333333333	0.6493333333333333	0.669103313840156	0.6065400843881856	0.439	0.439	0.0	0.4609934965687626	0.8429861739864496	0.05452435818291322	0.012666666666666666	0.012666666666666666	chr1:0,chr2:0,chr3:0	none
blind_midpoint_delta_pairwise	exact_haploid_bin_pair	17	71	0.5623333333333334	0.578	0.5940545808966862	0.5432489451476793	0.236	0.3586666666666667	0.1226666666666667	0.43805436585914925	0.752803766250997	0.052232471415478605	0.019666666666666666	0.015333333333333332	chr1:0,chr2:0,chr3:1	none
blind_midpoint_delta_pairwise	exact_haploid_bin_pair	17	89	0.6153333333333333	0.6723333333333333	0.6968810916179338	0.619198312236287	0.23466666666666666	0.3426666666666667	0.10800000000000001	0.368424210508531	0.8075269616741098	0.05890966974300263	0.0	0.0	chr1:0,chr2:1,chr3:0	none
blind_midpoint_delta_pairwise	exact_haploid_bin_pair	17	101	0.6046666666666667	0.6216666666666667	0.645224171539961	0.570675105485232	0.38133333333333336	0.3863333333333333	0.004999999999999949	0.5379274562730904	0.8042890822168861	0.04986481097983142	0.004333333333333333	0.004333333333333333	chr1:0,chr2:1,chr3:0	none
blind_midpoint_delta_pairwise	exact_haploid_bin_pair	29	43	0.6243333333333333	0.71	0.7519493177387915	0.619198312236287	0.33766666666666667	0.49333333333333335	0.15566666666666668	0.4127094902046132	0.8445036383862509	0.05487815476572134	0.0	0.0	chr1:0,chr2:0,chr3:1	none
blind_midpoint_delta_pairwise	exact_haploid_bin_pair	29	59	0.6843333333333333	0.614	0.7280701754385965	0.3670886075949367	0.18466666666666667	0.26666666666666666	0.08199999999999999	0.22129144901320916	0.8375974841116754	0.08188413295643215	0.0026666666666666666	0.0	chr1:0,chr2:1,chr3:0	none
blind_midpoint_delta_pairwise	exact_haploid_bin_pair	29	71	0.6046666666666667	0.68	0.7076023391812866	0.620253164556962	0.264	0.5646666666666667	0.30066666666666664	0.36189055113577295	0.8294205554607871	0.052177814302311464	0.0036666666666666666	0.0006666666666666666	chr1:0,chr2:1,chr3:1	none
blind_midpoint_delta_pairwise	exact_haploid_bin_pair	29	89	0.5763333333333334	0.6313333333333333	0.655458089668616	0.5791139240506329	0.343	0.37066666666666664	0.027666666666666617	0.54890338666725	0.8179649239445327	0.05959872988176695	0.0026666666666666666	0.0	chr1:0,chr2:1,chr3:0	none
blind_midpoint_delta_pairwise	exact_haploid_bin_pair	29	101	0.5716666666666667	0.628	0.6681286549707602	0.5411392405063291	0.10166666666666667	0.23566666666666666	0.134	0.09941267643044709	0.7106605956426844	0.08231453354788479	0.0	0.0	chr1:0,chr2:1,chr3:0	none
blind_midpoint_delta_pairwise	exact_haploid_bin_pair	43	59	0.6113333333333333	0.618	0.6681286549707602	0.509493670886076	0.269	0.3406666666666667	0.07166666666666666	0.6463828138687014	0.7772383255987556	0.06147985723073977	0.0	0.0	chr1:0,chr2:1,chr3:1	none
blind_midpoint_delta_pairwise	exact_haploid_bin_pair	43	71	0.617	0.5803333333333334	0.6271929824561403	0.47890295358649787	0.2613333333333333	0.37633333333333335	0.11500000000000005	0.3159257742981441	0.7998095879605938	0.06971889751973634	0.0	0.0	chr1:0,chr2:1,chr3:1	none
blind_midpoint_delta_pairwise	exact_haploid_bin_pair	43	89	0.6806666666666666	0.7133333333333334	0.783625730994152	0.5611814345991561	0.27266666666666667	0.493	0.22033333333333333	0.6397020940820173	0.8114553399204819	0.03651926394644773	0.0	0.0	chr1:0,chr2:1,chr3:1	none
blind_midpoint_delta_pairwise	exact_haploid_bin_pair	43	101	0.636	0.618	0.672514619883041	0.5	0.15633333333333332	0.259	0.10266666666666668	0.27683363999232186	0.7889208186259716	0.05834115068088778	0.0	0.0	chr1:0,chr2:1,chr3:1	none
blind_midpoint_delta_pairwise	exact_haploid_bin_pair	59	71	0.5756666666666667	0.5826666666666667	0.6491228070175439	0.4388185654008439	0.28833333333333333	0.30566666666666664	0.01733333333333331	0.343016593376576	0.7810349025559828	0.07194870173400215	0.012666666666666666	0.012666666666666666	chr1:0,chr2:0,chr3:1	none
blind_midpoint_delta_pairwise	exact_haploid_bin_pair	59	89	0.5926666666666667	0.6423333333333333	0.6807992202729045	0.5590717299578059	0.32266666666666666	0.396	0.07333333333333336	0.61438166105113	0.7948442951474091	0.045407156827129515	0.004666666666666667	0.001	chr1:0,chr2:1,chr3:0	none
blind_midpoint_delta_pairwise	exact_haploid_bin_pair	59	101	0.692	0.651	0.7724171539961013	0.3881856540084388	0.328	0.48933333333333334	0.16133333333333333	0.5405888782026499	0.757336914129419	0.041230142434444846	0.0	0.0	chr1:0,chr2:0,chr3:1	none
blind_midpoint_delta_pairwise	exact_haploid_bin_pair	71	89	0.6623333333333333	0.678	0.7314814814814815	0.5622362869198312	0.3586666666666667	0.44366666666666665	0.08499999999999996	0.5003054024133093	0.8588828091170336	0.05754768467636933	0.0	0.0	chr1:0,chr2:0,chr3:1	none
blind_midpoint_delta_pairwise	exact_haploid_bin_pair	71	101	0.7263333333333334	0.702	0.807504873294347	0.47362869198312235	0.30933333333333335	0.3923333333333333	0.08299999999999996	0.447753123182205	0.6568226849847132	0.06867389811564754	0.004333333333333333	0.0	chr1:0,chr2:0,chr3:1	none
blind_midpoint_delta_pairwise	exact_haploid_bin_pair	89	101	0.6953333333333334	0.6953333333333334	0.8099415204678363	0.4472573839662447	0.149	0.248	0.099	0.3009608964493984	0.6818433518350852	0.06663299259253522	0.0	0.0	chr1:0,chr2:1,chr3:1	none
