config_name	chrom_pair	score_name	n_contacts	top1_accuracy	same_cross_accuracy	contact_weighted_mean_score	eval_only_uses_phase_labels_for_scoring	call_score_uses_phase_labels
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	chr10__chr11	posterior_nearest_agreement_gap	579	0.208981002	0.485319516	0.743767356	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	chr10__chr12	posterior_nearest_agreement_gap	954	0.623689727	0.769392034	2.64019458	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	chr10__chr13	posterior_nearest_agreement_gap	1070	0.486915888	0.601869159	1.26951498	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	chr10__chr14	posterior_nearest_agreement_gap	523	0.328871893	0.521988528	0.701237842	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	chr10__chr15	posterior_nearest_agreement_gap	908	0.124449339	0.77092511	0.651380348	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	chr10__chr16	posterior_nearest_agreement_gap	1086	0.11786372	0.604051565	1.76625665	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	chr10__chr17	posterior_nearest_agreement_gap	693	0.121212121	0.281385281	1.12063449	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	chr10__chr18	posterior_nearest_agreement_gap	585	0.353846154	0.572649573	1.12885819	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	chr10__chr19	posterior_nearest_agreement_gap	365	0.153424658	0.515068493	1.12865335	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	chr10__chrX	posterior_nearest_agreement_gap	304	0.286184211	0.549342105	2.37370915	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	chr11__chr12	posterior_nearest_agreement_gap	595	0.233613445	0.458823529	2.41802524	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	chr11__chr13	posterior_nearest_agreement_gap	1022	0.136007828	0.772015656	2.83124056	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	chr11__chr14	posterior_nearest_agreement_gap	903	0.531561462	0.642303433	2.7876236	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	chr11__chr15	posterior_nearest_agreement_gap	544	0.180147059	0.367647059	1.25699408	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	chr11__chr16	posterior_nearest_agreement_gap	413	0.283292978	0.544794189	2.55678334	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	chr11__chr17	posterior_nearest_agreement_gap	479	0.252609603	0.607515658	2.59615792	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	chr11__chr18	posterior_nearest_agreement_gap	424	0.318396226	0.573113208	1.32340596	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	chr11__chr19	posterior_nearest_agreement_gap	701	0.201141227	0.318116976	2.70234622	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	chr11__chrX	posterior_nearest_agreement_gap	864	0.135416667	0.224537037	1.31018333	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	chr12__chr13	posterior_nearest_agreement_gap	1950	0.491794872	0.549230769	2.37562849	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	chr12__chr14	posterior_nearest_agreement_gap	451	0.239467849	0.529933481	1.05540079	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	chr12__chr15	posterior_nearest_agreement_gap	928	0.118534483	0.827586207	3.40659517	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	chr12__chr16	posterior_nearest_agreement_gap	388	0.345360825	0.572164948	2.63974802	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	chr12__chr17	posterior_nearest_agreement_gap	798	0.327067669	0.452380952	1.50234219	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	chr12__chr18	posterior_nearest_agreement_gap	541	0.52310536	0.641404806	1.32794086	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	chr12__chr19	posterior_nearest_agreement_gap	631	0.633914422	0.77496038	1.08453788	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	chr12__chrX	posterior_nearest_agreement_gap	320	0.340625	0.603125	2.13100265	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	chr13__chr14	posterior_nearest_agreement_gap	737	0.198100407	0.369063772	1.41372988	1	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	chr13__chr15	posterior_nearest_agreement_gap	395	0.318987342	0.473417722	0.99432245	1	0
