chr1	chr2	policy	relative_flip	flip_source	n_eval_contacts	top1_accuracy	same_cross_accuracy	pmax_threshold_accuracy	pmax_threshold_recall
chr1	chr2	cis_selected_whole_chrom	0	cis_snp_truth_whole_chrom	1440	0.472916667	0.663194444	0.805555556	0.18125
chr1	chr2	pair_independent_trans_oracle	0	snp_truth_oracle	1440	0.472916667	0.663194444	0.805555556	0.18125
chr1	chr2	blind_geometry_nearest_pair_flip	0	blind_posterior_reconstruction_geometry	1440	0.472916667	0.663194444	0.805555556	0.18125
chr1	chr2	blind_posterior_geometry_agreement_pair_flip	0	blind_posterior_reconstruction_geometry	1440	0.472916667	0.663194444	0.805555556	0.18125
chr1	chr2	blind_high_pmax_geometry_pair_flip	0	blind_posterior_reconstruction_geometry	1440	0.472916667	0.663194444	0.805555556	0.18125
chr1	chr2	blind_margin_geometry_pair_flip	0	blind_posterior_reconstruction_geometry	1440	0.472916667	0.663194444	0.805555556	0.18125
chr1	chr3	cis_selected_whole_chrom	0	cis_snp_truth_whole_chrom	1036	0.215250965	0.448841699	0.25	0.0646718147
chr1	chr3	pair_independent_trans_oracle	1	snp_truth_oracle	1036	0.267374517	0.551158301	0.235074627	0.0608108108
chr1	chr3	blind_geometry_nearest_pair_flip	0	blind_posterior_reconstruction_geometry	1036	0.215250965	0.448841699	0.25	0.0646718147
chr1	chr3	blind_posterior_geometry_agreement_pair_flip	0	blind_posterior_reconstruction_geometry	1036	0.215250965	0.448841699	0.25	0.0646718147
chr1	chr3	blind_high_pmax_geometry_pair_flip	0	blind_posterior_reconstruction_geometry	1036	0.215250965	0.448841699	0.25	0.0646718147
chr1	chr3	blind_margin_geometry_pair_flip	0	blind_posterior_reconstruction_geometry	1036	0.215250965	0.448841699	0.25	0.0646718147
chr1	chr4	cis_selected_whole_chrom	0	cis_snp_truth_whole_chrom	1167	0.476435304	0.616966581	0.550744249	0.348757498
chr1	chr4	pair_independent_trans_oracle	0	snp_truth_oracle	1167	0.476435304	0.616966581	0.550744249	0.348757498
chr1	chr4	blind_geometry_nearest_pair_flip	0	blind_posterior_reconstruction_geometry	1167	0.476435304	0.616966581	0.550744249	0.348757498
chr1	chr4	blind_posterior_geometry_agreement_pair_flip	0	blind_posterior_reconstruction_geometry	1167	0.476435304	0.616966581	0.550744249	0.348757498
