chrom	copy_swap	n_points	n_pairwise_distances	cis_distance_pearson	cis_distance_spearman	selected_for_eval
chr1	0	1898	1800253	0.7953502573224854	0.7807043178314174	1
chr1	1	1898	1800253	0.7715799919555045	0.7645014195401948	0
chr2	0	1748	1526878	0.8607485129593105	0.7926219731169625	0
chr2	1	1748	1526878	0.8545744817481495	0.7937831692211526	1
chr3	0	1564	1222266	0.7858613203777324	0.7282765852408872	0
chr3	1	1564	1222266	0.8064339696227483	0.7484708901387477	1
chr4	0	1473	1084128	0.881353121354143	0.8356233905396995	1
chr4	1	1473	1084128	0.8561434246688594	0.793406987120928	0
chr5	0	1442	1038961	0.21139400719670234	0.29345053350284367	0
chr5	1	1442	1038961	0.22625710131334806	0.30182451860817644	1
chr6	0	1459	1063611	0.8764520167277587	0.8211526935011946	1
chr6	1	1459	1063611	0.8539340890126452	0.7875831264930313	0
chr7	0	1296	839160	0.4281480616371133	0.5061311709105575	0
chr7	1	1296	839160	0.5768727157921909	0.5985484868451343	1
chr8	0	1241	769420	0.9060745100275404	0.8111520524726538	1
chr8	1	1241	769420	0.8931812787759013	0.7881147168171131	0
chr9	0	1205	725410	0.38303726484288975	0.3628875189849984	1
chr9	1	1205	725410	0.3074485815853367	0.2965378783544935	0
chr10	0	1272	808356	0.6887059035911922	0.7139916953184096	0
chr10	1	1272	808356	0.7713613925428437	0.7675215436292293	1
chr11	0	1188	705078	0.8094451556245899	0.7813594610093761	1
chr11	1	1188	705078	0.7858587565086285	0.7549702718749668	0
chr12	0	1117	623286	0.3682108131525981	0.36603592831830767	0
chr12	1	1117	623286	0.49546679157754514	0.48020494165469546	1
chr13	0	1137	645816	0.7506329606301322	0.7454898182110569	0
chr13	1	1137	645816	0.7539072371141868	0.7456926524606375	1
chr14	0	1114	619941	0.604631316816488	0.6039493261199653	0
chr14	1	1114	619941	0.6368533570332813	0.634828055190097	1
chr15	0	986	485605	0.2991891810897582	0.3221275632454347	1
chr15	1	986	485605	0.24951407731788164	0.24056806932267377	0
chr16	0	945	446040	0.787710594658443	0.7557132874842447	0
chr16	1	945	446040	0.7962781153697067	0.7623396276984019	1
chr17	0	907	410871	0.6341718312188567	0.6409051116685592	1
chr17	1	907	410871	0.5944898433317203	0.6043979298035337	0
chr18	0	874	381501	0.8184402926914309	0.7406571945897015	0
chr18	1	874	381501	0.8136305435569466	0.7424144370514469	1
chr19	0	579	167331	0.7568604714902423	0.7312007062632873	1
chr19	1	579	167331	0.7320659336473774	0.7118843433084769	0
chrX	0	1312	860016	0.8319332649822363	0.8057685849500319	1
chrX	1	1312	860016	0.807959810954136	0.786748785630433	0
