source	chrom	n_points	convex_hull_volume	volume_fraction_of_source_genome
charm3dg	chr1	379	28.17843988891688	0.08020045491710204
charm3dg	chr2	349	39.74540545359526	0.11312193332238923
charm3dg	chr3	313	24.97974701475238	0.07109645112344325
charm3dg	chr4	296	41.24319070177874	0.1173848754421794
charm3dg	chr5	289	23.363310349696288	0.0664958076388062
charm3dg	chr6	293	33.5479763359769	0.09548303505446273
charm3dg	chr7	260	16.21893779565608	0.04616175326283461
charm3dg	chr8	247	36.42675041172763	0.10367649755234849
charm3dg	chr9	240	19.625232790576607	0.055856626692712595
charm3dg	chr10	254	20.027374781859205	0.0570011886616958
charm3dg	chr11	238	25.542154048403454	0.07269715365080832
charm3dg	chr12	225	23.331155105185992	0.06640428854662571
charm3dg	chr13	228	16.256572070499494	0.04626886657268482
charm3dg	chr14	221	11.867858963222991	0.03377787029710098
charm3dg	chr15	199	29.631559536921294	0.08433627142356416
charm3dg	chr16	187	15.51370989169097	0.04415455914771676
charm3dg	chr17	181	12.014423569982494	0.0341950171719172
charm3dg	chr18	174	20.550869371362467	0.058491140000035025
charm3dg	chr19	116	6.117045358840707	0.01741011292539765
charm3dg	chrX	258	39.25557099256068	0.11172778422244213
charm3dg	genome	4947	351.35012535830487	1.0
reconstruction	chr1	390	72.19331062970984	0.07076631103742644
reconstruction	chr2	364	78.79541889779371	0.07723791959958756
reconstruction	chr3	320	54.09066264233988	0.053021486663794394
reconstruction	chr4	314	64.48666840060065	0.06321200113970485
reconstruction	chr5	304	66.6001900105573	0.0652837461023602
reconstruction	chr6	300	52.810010843248826	0.051766148700282004
reconstruction	chr7	290	59.31010985786996	0.05813776436149049
reconstruction	chr8	258	89.66788489205335	0.087895476422823
reconstruction	chr9	250	45.92750276527948	0.0450196828142482
reconstruction	chr10	262	57.331185177428004	0.0561979558358213
reconstruction	chr11	244	66.79006705341077	0.06546986996558563
reconstruction	chr12	240	56.33759491668834	0.05522400524646677
reconstruction	chr13	240	105.54847537866371	0.10346216530342657
reconstruction	chr14	250	54.780253071618525	0.05369744639442742
reconstruction	chr15	208	61.279215355956126	0.060067947794382216
reconstruction	chr16	196	54.661712989994726	0.05358124941975731
reconstruction	chr17	190	18.878825888692965	0.01850566005641615
reconstruction	chr18	182	49.16991470330259	0.04819800404257515
reconstruction	chr19	122	54.43532622813806	0.05335933750209396
reconstruction	chrX	342	111.48022089541749	0.10927666175153253
reconstruction	genome	5266	1020.1649566207952	1.0
