chr	bid	start	end	bead_size_bp	n_child_1mb
chr1	0	0	4000000	4000000	-1
chr1	1	4000000	8000000	4000000	-1
chr1	2	8000000	12000000	4000000	-1
chr1	3	12000000	16000000	4000000	-1
chr1	4	16000000	20000000	4000000	-1
chr1	5	20000000	24000000	4000000	-1
chr1	6	24000000	28000000	4000000	-1
chr1	7	28000000	32000000	4000000	-1
chr1	8	32000000	36000000	4000000	-1
chr1	9	36000000	40000000	4000000	-1
chr1	10	40000000	44000000	4000000	-1
chr1	11	44000000	48000000	4000000	-1
chr1	12	48000000	52000000	4000000	-1
chr1	13	52000000	56000000	4000000	-1
chr1	14	56000000	60000000	4000000	-1
chr1	15	60000000	64000000	4000000	-1
chr1	16	64000000	68000000	4000000	-1
chr1	17	68000000	72000000	4000000	-1
chr1	18	72000000	76000000	4000000	-1
chr1	19	76000000	80000000	4000000	-1
chr1	20	80000000	84000000	4000000	-1
chr1	21	84000000	88000000	4000000	-1
chr1	22	88000000	92000000	4000000	-1
chr1	23	92000000	96000000	4000000	-1
chr1	24	96000000	100000000	4000000	-1
chr1	25	100000000	104000000	4000000	-1
chr1	26	104000000	108000000	4000000	-1
chr1	27	108000000	112000000	4000000	-1
chr1	28	112000000	116000000	4000000	-1
chr1	29	116000000	120000000	4000000	-1
chr1	30	120000000	124000000	4000000	-1
chr1	31	124000000	128000000	4000000	-1
chr1	32	128000000	132000000	4000000	-1
chr1	33	132000000	136000000	4000000	-1
chr1	34	136000000	140000000	4000000	-1
chr1	35	140000000	144000000	4000000	-1
chr1	36	144000000	148000000	4000000	-1
chr1	37	148000000	152000000	4000000	-1
chr1	38	152000000	156000000	4000000	-1
chr1	39	156000000	160000000	4000000	-1
chr1	40	160000000	164000000	4000000	-1
chr1	41	164000000	168000000	4000000	-1
chr1	42	168000000	172000000	4000000	-1
chr1	43	172000000	176000000	4000000	-1
chr1	44	176000000	180000000	4000000	-1
chr1	45	180000000	184000000	4000000	-1
chr1	46	184000000	188000000	4000000	-1
chr1	47	188000000	192000000	4000000	-1
chr1	48	192000000	195471971	3471971	-1
chr2	49	0	4000000	4000000	-1
chr2	50	4000000	8000000	4000000	-1
chr2	51	8000000	12000000	4000000	-1
chr2	52	12000000	16000000	4000000	-1
chr2	53	16000000	20000000	4000000	-1
chr2	54	20000000	24000000	4000000	-1
chr2	55	24000000	28000000	4000000	-1
chr2	56	28000000	32000000	4000000	-1
chr2	57	32000000	36000000	4000000	-1
chr2	58	36000000	40000000	4000000	-1
chr2	59	40000000	44000000	4000000	-1
chr2	60	44000000	48000000	4000000	-1
chr2	61	48000000	52000000	4000000	-1
chr2	62	52000000	56000000	4000000	-1
chr2	63	56000000	60000000	4000000	-1
chr2	64	60000000	64000000	4000000	-1
chr2	65	64000000	68000000	4000000	-1
chr2	66	68000000	72000000	4000000	-1
chr2	67	72000000	76000000	4000000	-1
chr2	68	76000000	80000000	4000000	-1
chr2	69	80000000	84000000	4000000	-1
chr2	70	84000000	88000000	4000000	-1
chr2	71	88000000	92000000	4000000	-1
chr2	72	92000000	96000000	4000000	-1
chr2	73	96000000	100000000	4000000	-1
chr2	74	100000000	104000000	4000000	-1
chr2	75	104000000	108000000	4000000	-1
chr2	76	108000000	112000000	4000000	-1
chr2	77	112000000	116000000	4000000	-1
chr2	78	116000000	120000000	4000000	-1
chr2	79	120000000	124000000	4000000	-1
chr2	80	124000000	128000000	4000000	-1
chr2	81	128000000	132000000	4000000	-1
chr2	82	132000000	136000000	4000000	-1
chr2	83	136000000	140000000	4000000	-1
chr2	84	140000000	144000000	4000000	-1
chr2	85	144000000	148000000	4000000	-1
chr2	86	148000000	152000000	4000000	-1
chr2	87	152000000	156000000	4000000	-1
chr2	88	156000000	160000000	4000000	-1
chr2	89	160000000	164000000	4000000	-1
chr2	90	164000000	168000000	4000000	-1
chr2	91	168000000	172000000	4000000	-1
chr2	92	172000000	176000000	4000000	-1
chr2	93	176000000	180000000	4000000	-1
chr2	94	180000000	182113224	2113224	-1
chr3	95	0	4000000	4000000	-1
chr3	96	4000000	8000000	4000000	-1
chr3	97	8000000	12000000	4000000	-1
chr3	98	12000000	16000000	4000000	-1
chr3	99	16000000	20000000	4000000	-1
chr3	100	20000000	24000000	4000000	-1
chr3	101	24000000	28000000	4000000	-1
chr3	102	28000000	32000000	4000000	-1
chr3	103	32000000	36000000	4000000	-1
chr3	104	36000000	40000000	4000000	-1
chr3	105	40000000	44000000	4000000	-1
chr3	106	44000000	48000000	4000000	-1
chr3	107	48000000	52000000	4000000	-1
chr3	108	52000000	56000000	4000000	-1
chr3	109	56000000	60000000	4000000	-1
chr3	110	60000000	64000000	4000000	-1
chr3	111	64000000	68000000	4000000	-1
chr3	112	68000000	72000000	4000000	-1
chr3	113	72000000	76000000	4000000	-1
chr3	114	76000000	80000000	4000000	-1
chr3	115	80000000	84000000	4000000	-1
chr3	116	84000000	88000000	4000000	-1
chr3	117	88000000	92000000	4000000	-1
chr3	118	92000000	96000000	4000000	-1
chr3	119	96000000	100000000	4000000	-1
chr3	120	100000000	104000000	4000000	-1
chr3	121	104000000	108000000	4000000	-1
chr3	122	108000000	112000000	4000000	-1
chr3	123	112000000	116000000	4000000	-1
chr3	124	116000000	120000000	4000000	-1
chr3	125	120000000	124000000	4000000	-1
chr3	126	124000000	128000000	4000000	-1
chr3	127	128000000	132000000	4000000	-1
chr3	128	132000000	136000000	4000000	-1
chr3	129	136000000	140000000	4000000	-1
chr3	130	140000000	144000000	4000000	-1
chr3	131	144000000	148000000	4000000	-1
chr3	132	148000000	152000000	4000000	-1
chr3	133	152000000	156000000	4000000	-1
chr3	134	156000000	160039680	4039680	-1
chr4	135	0	4000000	4000000	-1
chr4	136	4000000	8000000	4000000	-1
chr4	137	8000000	12000000	4000000	-1
chr4	138	12000000	16000000	4000000	-1
chr4	139	16000000	20000000	4000000	-1
chr4	140	20000000	24000000	4000000	-1
chr4	141	24000000	28000000	4000000	-1
chr4	142	28000000	32000000	4000000	-1
chr4	143	32000000	36000000	4000000	-1
chr4	144	36000000	40000000	4000000	-1
chr4	145	40000000	44000000	4000000	-1
chr4	146	44000000	48000000	4000000	-1
chr4	147	48000000	52000000	4000000	-1
chr4	148	52000000	56000000	4000000	-1
chr4	149	56000000	60000000	4000000	-1
chr4	150	60000000	64000000	4000000	-1
chr4	151	64000000	68000000	4000000	-1
chr4	152	68000000	72000000	4000000	-1
chr4	153	72000000	76000000	4000000	-1
chr4	154	76000000	80000000	4000000	-1
chr4	155	80000000	84000000	4000000	-1
chr4	156	84000000	88000000	4000000	-1
chr4	157	88000000	92000000	4000000	-1
chr4	158	92000000	96000000	4000000	-1
chr4	159	96000000	100000000	4000000	-1
chr4	160	100000000	104000000	4000000	-1
chr4	161	104000000	108000000	4000000	-1
chr4	162	108000000	112000000	4000000	-1
chr4	163	112000000	116000000	4000000	-1
chr4	164	116000000	120000000	4000000	-1
chr4	165	120000000	124000000	4000000	-1
chr4	166	124000000	128000000	4000000	-1
chr4	167	128000000	132000000	4000000	-1
chr4	168	132000000	136000000	4000000	-1
chr4	169	136000000	140000000	4000000	-1
chr4	170	140000000	144000000	4000000	-1
chr4	171	144000000	148000000	4000000	-1
chr4	172	148000000	152000000	4000000	-1
chr4	173	152000000	156508116	4508116	-1
chr5	174	0	4000000	4000000	-1
chr5	175	4000000	8000000	4000000	-1
chr5	176	8000000	12000000	4000000	-1
chr5	177	12000000	16000000	4000000	-1
chr5	178	16000000	20000000	4000000	-1
chr5	179	20000000	24000000	4000000	-1
chr5	180	24000000	28000000	4000000	-1
chr5	181	28000000	32000000	4000000	-1
chr5	182	32000000	36000000	4000000	-1
chr5	183	36000000	40000000	4000000	-1
chr5	184	40000000	44000000	4000000	-1
chr5	185	44000000	48000000	4000000	-1
chr5	186	48000000	52000000	4000000	-1
chr5	187	52000000	56000000	4000000	-1
chr5	188	56000000	60000000	4000000	-1
chr5	189	60000000	64000000	4000000	-1
chr5	190	64000000	68000000	4000000	-1
chr5	191	68000000	72000000	4000000	-1
chr5	192	72000000	76000000	4000000	-1
chr5	193	76000000	80000000	4000000	-1
chr5	194	80000000	84000000	4000000	-1
chr5	195	84000000	88000000	4000000	-1
chr5	196	88000000	92000000	4000000	-1
chr5	197	92000000	96000000	4000000	-1
chr5	198	96000000	100000000	4000000	-1
chr5	199	100000000	104000000	4000000	-1
chr5	200	104000000	108000000	4000000	-1
chr5	201	108000000	112000000	4000000	-1
chr5	202	112000000	116000000	4000000	-1
chr5	203	116000000	120000000	4000000	-1
chr5	204	120000000	124000000	4000000	-1
chr5	205	124000000	128000000	4000000	-1
chr5	206	128000000	132000000	4000000	-1
chr5	207	132000000	136000000	4000000	-1
chr5	208	136000000	140000000	4000000	-1
chr5	209	140000000	144000000	4000000	-1
chr5	210	144000000	148000000	4000000	-1
chr5	211	148000000	151834684	3834684	-1
chr6	212	0	4000000	4000000	-1
chr6	213	4000000	8000000	4000000	-1
chr6	214	8000000	12000000	4000000	-1
chr6	215	12000000	16000000	4000000	-1
chr6	216	16000000	20000000	4000000	-1
chr6	217	20000000	24000000	4000000	-1
chr6	218	24000000	28000000	4000000	-1
chr6	219	28000000	32000000	4000000	-1
chr6	220	32000000	36000000	4000000	-1
chr6	221	36000000	40000000	4000000	-1
chr6	222	40000000	44000000	4000000	-1
chr6	223	44000000	48000000	4000000	-1
chr6	224	48000000	52000000	4000000	-1
chr6	225	52000000	56000000	4000000	-1
chr6	226	56000000	60000000	4000000	-1
chr6	227	60000000	64000000	4000000	-1
chr6	228	64000000	68000000	4000000	-1
chr6	229	68000000	72000000	4000000	-1
chr6	230	72000000	76000000	4000000	-1
chr6	231	76000000	80000000	4000000	-1
chr6	232	80000000	84000000	4000000	-1
chr6	233	84000000	88000000	4000000	-1
chr6	234	88000000	92000000	4000000	-1
chr6	235	92000000	96000000	4000000	-1
chr6	236	96000000	100000000	4000000	-1
chr6	237	100000000	104000000	4000000	-1
chr6	238	104000000	108000000	4000000	-1
chr6	239	108000000	112000000	4000000	-1
chr6	240	112000000	116000000	4000000	-1
chr6	241	116000000	120000000	4000000	-1
chr6	242	120000000	124000000	4000000	-1
chr6	243	124000000	128000000	4000000	-1
chr6	244	128000000	132000000	4000000	-1
chr6	245	132000000	136000000	4000000	-1
chr6	246	136000000	140000000	4000000	-1
chr6	247	140000000	144000000	4000000	-1
chr6	248	144000000	149736546	5736546	-1
chr7	249	0	4000000	4000000	-1
chr7	250	4000000	8000000	4000000	-1
chr7	251	8000000	12000000	4000000	-1
chr7	252	12000000	16000000	4000000	-1
chr7	253	16000000	20000000	4000000	-1
chr7	254	20000000	24000000	4000000	-1
chr7	255	24000000	28000000	4000000	-1
chr7	256	28000000	32000000	4000000	-1
chr7	257	32000000	36000000	4000000	-1
chr7	258	36000000	40000000	4000000	-1
chr7	259	40000000	44000000	4000000	-1
chr7	260	44000000	48000000	4000000	-1
chr7	261	48000000	52000000	4000000	-1
chr7	262	52000000	56000000	4000000	-1
chr7	263	56000000	60000000	4000000	-1
chr7	264	60000000	64000000	4000000	-1
chr7	265	64000000	68000000	4000000	-1
chr7	266	68000000	72000000	4000000	-1
chr7	267	72000000	76000000	4000000	-1
chr7	268	76000000	80000000	4000000	-1
chr7	269	80000000	84000000	4000000	-1
chr7	270	84000000	88000000	4000000	-1
chr7	271	88000000	92000000	4000000	-1
chr7	272	92000000	96000000	4000000	-1
chr7	273	96000000	100000000	4000000	-1
chr7	274	100000000	104000000	4000000	-1
chr7	275	104000000	108000000	4000000	-1
chr7	276	108000000	112000000	4000000	-1
chr7	277	112000000	116000000	4000000	-1
chr7	278	116000000	120000000	4000000	-1
chr7	279	120000000	124000000	4000000	-1
chr7	280	124000000	128000000	4000000	-1
chr7	281	128000000	132000000	4000000	-1
chr7	282	132000000	136000000	4000000	-1
chr7	283	136000000	140000000	4000000	-1
chr7	284	140000000	145441459	5441459	-1
chr8	285	0	4000000	4000000	-1
chr8	286	4000000	8000000	4000000	-1
chr8	287	8000000	12000000	4000000	-1
chr8	288	12000000	16000000	4000000	-1
chr8	289	16000000	20000000	4000000	-1
chr8	290	20000000	24000000	4000000	-1
chr8	291	24000000	28000000	4000000	-1
chr8	292	28000000	32000000	4000000	-1
chr8	293	32000000	36000000	4000000	-1
chr8	294	36000000	40000000	4000000	-1
chr8	295	40000000	44000000	4000000	-1
chr8	296	44000000	48000000	4000000	-1
chr8	297	48000000	52000000	4000000	-1
chr8	298	52000000	56000000	4000000	-1
chr8	299	56000000	60000000	4000000	-1
chr8	300	60000000	64000000	4000000	-1
chr8	301	64000000	68000000	4000000	-1
chr8	302	68000000	72000000	4000000	-1
chr8	303	72000000	76000000	4000000	-1
chr8	304	76000000	80000000	4000000	-1
chr8	305	80000000	84000000	4000000	-1
chr8	306	84000000	88000000	4000000	-1
chr8	307	88000000	92000000	4000000	-1
chr8	308	92000000	96000000	4000000	-1
chr8	309	96000000	100000000	4000000	-1
chr8	310	100000000	104000000	4000000	-1
chr8	311	104000000	108000000	4000000	-1
chr8	312	108000000	112000000	4000000	-1
chr8	313	112000000	116000000	4000000	-1
chr8	314	116000000	120000000	4000000	-1
chr8	315	120000000	124000000	4000000	-1
chr8	316	124000000	129401213	5401213	-1
chr9	317	0	4000000	4000000	-1
chr9	318	4000000	8000000	4000000	-1
chr9	319	8000000	12000000	4000000	-1
chr9	320	12000000	16000000	4000000	-1
chr9	321	16000000	20000000	4000000	-1
chr9	322	20000000	24000000	4000000	-1
chr9	323	24000000	28000000	4000000	-1
chr9	324	28000000	32000000	4000000	-1
chr9	325	32000000	36000000	4000000	-1
chr9	326	36000000	40000000	4000000	-1
chr9	327	40000000	44000000	4000000	-1
chr9	328	44000000	48000000	4000000	-1
chr9	329	48000000	52000000	4000000	-1
chr9	330	52000000	56000000	4000000	-1
chr9	331	56000000	60000000	4000000	-1
chr9	332	60000000	64000000	4000000	-1
chr9	333	64000000	68000000	4000000	-1
chr9	334	68000000	72000000	4000000	-1
chr9	335	72000000	76000000	4000000	-1
chr9	336	76000000	80000000	4000000	-1
chr9	337	80000000	84000000	4000000	-1
chr9	338	84000000	88000000	4000000	-1
chr9	339	88000000	92000000	4000000	-1
chr9	340	92000000	96000000	4000000	-1
chr9	341	96000000	100000000	4000000	-1
chr9	342	100000000	104000000	4000000	-1
chr9	343	104000000	108000000	4000000	-1
chr9	344	108000000	112000000	4000000	-1
chr9	345	112000000	116000000	4000000	-1
chr9	346	116000000	120000000	4000000	-1
chr9	347	120000000	124595110	4595110	-1
chr10	348	0	4000000	4000000	-1
chr10	349	4000000	8000000	4000000	-1
chr10	350	8000000	12000000	4000000	-1
chr10	351	12000000	16000000	4000000	-1
chr10	352	16000000	20000000	4000000	-1
chr10	353	20000000	24000000	4000000	-1
chr10	354	24000000	28000000	4000000	-1
chr10	355	28000000	32000000	4000000	-1
chr10	356	32000000	36000000	4000000	-1
chr10	357	36000000	40000000	4000000	-1
chr10	358	40000000	44000000	4000000	-1
chr10	359	44000000	48000000	4000000	-1
chr10	360	48000000	52000000	4000000	-1
chr10	361	52000000	56000000	4000000	-1
chr10	362	56000000	60000000	4000000	-1
chr10	363	60000000	64000000	4000000	-1
chr10	364	64000000	68000000	4000000	-1
chr10	365	68000000	72000000	4000000	-1
chr10	366	72000000	76000000	4000000	-1
chr10	367	76000000	80000000	4000000	-1
chr10	368	80000000	84000000	4000000	-1
chr10	369	84000000	88000000	4000000	-1
chr10	370	88000000	92000000	4000000	-1
chr10	371	92000000	96000000	4000000	-1
chr10	372	96000000	100000000	4000000	-1
chr10	373	100000000	104000000	4000000	-1
chr10	374	104000000	108000000	4000000	-1
chr10	375	108000000	112000000	4000000	-1
chr10	376	112000000	116000000	4000000	-1
chr10	377	116000000	120000000	4000000	-1
chr10	378	120000000	124000000	4000000	-1
chr10	379	124000000	128000000	4000000	-1
chr10	380	128000000	130694993	2694993	-1
chr11	381	0	4000000	4000000	-1
chr11	382	4000000	8000000	4000000	-1
chr11	383	8000000	12000000	4000000	-1
chr11	384	12000000	16000000	4000000	-1
chr11	385	16000000	20000000	4000000	-1
chr11	386	20000000	24000000	4000000	-1
chr11	387	24000000	28000000	4000000	-1
chr11	388	28000000	32000000	4000000	-1
chr11	389	32000000	36000000	4000000	-1
chr11	390	36000000	40000000	4000000	-1
chr11	391	40000000	44000000	4000000	-1
chr11	392	44000000	48000000	4000000	-1
chr11	393	48000000	52000000	4000000	-1
chr11	394	52000000	56000000	4000000	-1
chr11	395	56000000	60000000	4000000	-1
chr11	396	60000000	64000000	4000000	-1
chr11	397	64000000	68000000	4000000	-1
chr11	398	68000000	72000000	4000000	-1
chr11	399	72000000	76000000	4000000	-1
chr11	400	76000000	80000000	4000000	-1
chr11	401	80000000	84000000	4000000	-1
chr11	402	84000000	88000000	4000000	-1
chr11	403	88000000	92000000	4000000	-1
chr11	404	92000000	96000000	4000000	-1
chr11	405	96000000	100000000	4000000	-1
chr11	406	100000000	104000000	4000000	-1
chr11	407	104000000	108000000	4000000	-1
chr11	408	108000000	112000000	4000000	-1
chr11	409	112000000	116000000	4000000	-1
chr11	410	116000000	120000000	4000000	-1
chr11	411	120000000	122082543	2082543	-1
chr12	412	0	4000000	4000000	-1
chr12	413	4000000	8000000	4000000	-1
chr12	414	8000000	12000000	4000000	-1
chr12	415	12000000	16000000	4000000	-1
chr12	416	16000000	20000000	4000000	-1
chr12	417	20000000	24000000	4000000	-1
chr12	418	24000000	28000000	4000000	-1
chr12	419	28000000	32000000	4000000	-1
chr12	420	32000000	36000000	4000000	-1
chr12	421	36000000	40000000	4000000	-1
chr12	422	40000000	44000000	4000000	-1
chr12	423	44000000	48000000	4000000	-1
chr12	424	48000000	52000000	4000000	-1
chr12	425	52000000	56000000	4000000	-1
chr12	426	56000000	60000000	4000000	-1
chr12	427	60000000	64000000	4000000	-1
chr12	428	64000000	68000000	4000000	-1
chr12	429	68000000	72000000	4000000	-1
chr12	430	72000000	76000000	4000000	-1
chr12	431	76000000	80000000	4000000	-1
chr12	432	80000000	84000000	4000000	-1
chr12	433	84000000	88000000	4000000	-1
chr12	434	88000000	92000000	4000000	-1
chr12	435	92000000	96000000	4000000	-1
chr12	436	96000000	100000000	4000000	-1
chr12	437	100000000	104000000	4000000	-1
chr12	438	104000000	108000000	4000000	-1
chr12	439	108000000	112000000	4000000	-1
chr12	440	112000000	116000000	4000000	-1
chr12	441	116000000	120129022	4129022	-1
chr13	442	0	4000000	4000000	-1
chr13	443	4000000	8000000	4000000	-1
chr13	444	8000000	12000000	4000000	-1
chr13	445	12000000	16000000	4000000	-1
chr13	446	16000000	20000000	4000000	-1
chr13	447	20000000	24000000	4000000	-1
chr13	448	24000000	28000000	4000000	-1
chr13	449	28000000	32000000	4000000	-1
chr13	450	32000000	36000000	4000000	-1
chr13	451	36000000	40000000	4000000	-1
chr13	452	40000000	44000000	4000000	-1
chr13	453	44000000	48000000	4000000	-1
chr13	454	48000000	52000000	4000000	-1
chr13	455	52000000	56000000	4000000	-1
chr13	456	56000000	60000000	4000000	-1
chr13	457	60000000	64000000	4000000	-1
chr13	458	64000000	68000000	4000000	-1
chr13	459	68000000	72000000	4000000	-1
chr13	460	72000000	76000000	4000000	-1
chr13	461	76000000	80000000	4000000	-1
chr13	462	80000000	84000000	4000000	-1
chr13	463	84000000	88000000	4000000	-1
chr13	464	88000000	92000000	4000000	-1
chr13	465	92000000	96000000	4000000	-1
chr13	466	96000000	100000000	4000000	-1
chr13	467	100000000	104000000	4000000	-1
chr13	468	104000000	108000000	4000000	-1
chr13	469	108000000	112000000	4000000	-1
chr13	470	112000000	116000000	4000000	-1
chr13	471	116000000	120421639	4421639	-1
chr14	472	0	4000000	4000000	-1
chr14	473	4000000	8000000	4000000	-1
chr14	474	8000000	12000000	4000000	-1
chr14	475	12000000	16000000	4000000	-1
chr14	476	16000000	20000000	4000000	-1
chr14	477	20000000	24000000	4000000	-1
chr14	478	24000000	28000000	4000000	-1
chr14	479	28000000	32000000	4000000	-1
chr14	480	32000000	36000000	4000000	-1
chr14	481	36000000	40000000	4000000	-1
chr14	482	40000000	44000000	4000000	-1
chr14	483	44000000	48000000	4000000	-1
chr14	484	48000000	52000000	4000000	-1
chr14	485	52000000	56000000	4000000	-1
