chr1	start1	chr2	start2	n_contacts	truth_top_state	truth_top_count	posterior_top_state	posterior_pmax	posterior_margin	whole_chrom_pred_state	whole_chrom_correct_contacts	chr_pair_oracle_correct_contacts	nearest_geometry_state	nearest_geometry_correct_contacts	same_cross_correct_contacts	truth_state_distance_rank	posterior_top1_distance_rank	posterior_top1_distance_gap	nearest_geometry_state	best_relative_flip_chr2
chr1	9000000	chr11	87000000	4	10	4	10	0.6103459	NA	10	4	0	10	4	4	1	1	3.47583322	10	1
chr1	9000000	chr11	88000000	2	10	2	10	0.689511538	NA	10	2	0	10	2	2	1	1	3.65261541	10	1
chr1	10000000	chr11	7000000	3	00	3	00	0.643878043	NA	00	3	0	00	3	3	1	1	2.03337943	00	1
chr1	11000000	chr11	8000000	5	00	5	00	0.995551109	NA	00	5	0	00	5	5	1	1	3.41631462	00	1
chr1	11000000	chr11	7000000	9	00	9	00	0.992937982	NA	00	9	0	00	9	9	1	1	3.22737388	00	1
chr1	11000000	chr11	44000000	3	00	3	00	0.97309643	NA	00	3	0	00	3	3	1	1	3.61078348	00	1
chr1	11000000	chr11	43000000	1	00	1	00	0.988973081	NA	00	1	0	00	1	1	1	1	4.11103993	00	1
chr1	12000000	chr11	44000000	2	00	2	00	0.699942052	NA	00	2	0	00	2	2	1	1	3.36809822	00	1
chr1	13000000	chr11	4000000	3	00	3	00	0.959243476	NA	00	3	0	00	3	3	1	1	2.3929715	00	1
chr1	16000000	chr11	4000000	1	00	1	00	0.836143017	NA	00	1	0	00	1	1	1	1	2.15886543	00	1
chr1	16000000	chr11	44000000	1	00	1	00	0.905443013	NA	00	1	0	00	1	1	1	1	2.89662912	00	1
chr1	16000000	chr11	13000000	2	00	2	00	0.875630558	NA	00	2	0	00	2	2	1	1	2.04955395	00	1
chr1	16000000	chr11	43000000	1	00	1	00	0.929112971	NA	00	1	0	00	1	1	1	1	3.4757074	00	1
chr1	17000000	chr11	44000000	7	00	7	00	0.990139425	NA	00	7	0	00	7	7	1	1	3.30622894	00	1
chr1	17000000	chr11	13000000	11	00	11	00	0.993191659	NA	00	11	0	00	11	11	1	1	2.59398162	00	1
chr1	17000000	chr11	11000000	5	00	5	00	0.976273537	NA	00	5	0	00	5	5	1	1	2.37269633	00	1
chr1	17000000	chr11	14000000	4	00	4	00	0.973085046	NA	00	4	0	00	4	4	1	1	2.89763052	00	1
chr1	17000000	chr11	43000000	1	00	1	00	0.978192151	NA	00	1	0	00	1	1	1	1	3.88551139	00	1
chr1	17000000	chr11	12000000	4	00	4	00	0.926009178	NA	00	4	0	00	4	4	1	1	2.84120725	00	1
chr1	17000000	chr11	9000000	1	00	1	00	0.659079254	NA	00	1	0	00	1	1	1	1	2.25662704	00	1
chr1	17000000	chr11	8000000	1	00	1	00	0.806028605	NA	00	1	0	00	1	1	1	1	2.49909474	00	1
chr1	57000000	chr11	4000000	8	00	8	01	0.647283018	NA	01	0	8	01	0	0	2	1	0.767653363	01	1
chr1	58000000	chr11	4000000	6	00	5	00	0.601148427	NA	00	5	1	00	5	5	1	1	0.258877846	00	1
chr1	58000000	chr11	60000000	2	00	2	00	0.608922958	NA	00	2	0	00	2	2	1	1	0.565402136	00	1
chr1	58000000	chr11	61000000	9	00	9	00	0.822295249	NA	00	9	0	00	9	9	1	1	0.882895705	00	1
chr1	59000000	chr11	60000000	2	00	2	00	0.564097762	NA	00	2	0	00	2	2	1	1	0.124675659	00	1
chr1	59000000	chr11	61000000	8	00	8	00	0.714497387	NA	00	8	0	00	8	8	1	1	0.392592211	00	1
chr1	68000000	chr11	15000000	3	00	3	00	0.508321166	NA	00	3	0	00	3	3	1	1	0.208831383	00	1
chr1	68000000	chr11	14000000	9	00	9	00	0.560884953	NA	00	9	0	00	9	9	1	1	0.455339567	00	1
chr1	72000000	chr11	14000000	4	00	4	01	0.800435245	NA	01	0	4	01	0	0	2	1	1.26255437	01	1
chr1	73000000	chr11	14000000	4	00	3	01	0.800725222	NA	01	0	3	01	0	1	2	1	1.44600447	01	1
chr1	73000000	chr11	18000000	2	00	2	01	0.632137895	NA	01	0	2	01	0	0	2	1	1.80200432	01	1
chr1	73000000	chr11	19000000	1	00	1	01	0.645475149	NA	01	0	1	01	0	0	2	1	2.44933794	01	1
chr1	74000000	chr11	5000000	4	00	3	01	0.996978879	NA	01	0	3	01	0	0	2	1	2.75134655	01	1
chr1	74000000	chr11	16000000	1	00	1	01	0.685820758	NA	01	0	1	01	0	0	2	1	3.33364492	01	1
chr1	74000000	chr11	14000000	1	00	1	01	0.992699921	NA	01	0	1	01	0	0	2	1	2.65751561	01	1
chr1	74000000	chr11	18000000	4	00	4	01	0.987686932	NA	01	0	4	01	0	0	2	1	3.22523309	01	1
chr1	74000000	chr11	19000000	1	00	1	01	0.807257116	NA	01	0	1	01	0	0	2	1	3.24230097	01	1
chr1	74000000	chr11	3000000	8	00	8	01	0.999380708	NA	01	0	8	01	0	0	2	1	2.80307714	01	1
chr1	74000000	chr11	4000000	14	00	14	01	0.995928228	NA	01	0	14	01	0	0	2	1	2.36185665	01	1
chr1	74000000	chr11	62000000	2	00	1	01	0.564223766	NA	01	0	1	01	0	0	2	1	2.24249396	01	1
chr1	74000000	chr11	15000000	2	00	1	01	0.942721367	NA	01	0	1	01	0	1	2	1	3.06217828	01	1
chr1	75000000	chr11	4000000	3	00	3	01	0.852250695	NA	01	0	3	01	0	0	2	1	1.41118656	01	1
chr1	77000000	chr11	4000000	3	00	3	01	0.82234025	NA	01	0	3	01	0	0	2	1	1.17183772	01	1
chr1	123000000	chr11	14000000	1	00	1	01	0.874290526	NA	01	0	1	01	0	0	2	1	2.30606939	01	1
chr1	123000000	chr11	18000000	3	00	3	01	0.940161169	NA	01	0	3	01	0	0	2	1	2.53646096	01	1
chr1	124000000	chr11	14000000	10	00	10	01	0.992160141	NA	01	0	10	01	0	0	2	1	2.99265521	01	1
