chr1	chr2	n_bpair	n_contacts	whole_chrom_top1_accuracy	chr_pair_oracle_top1_accuracy	best_relative_flip_chr2	nearest_geometry_state_accuracy	same_cross_accuracy	pmax90_accuracy	pmax90_recall	truth_state_distance_rank_mean	truth_state_is_nearest_fraction	posterior_top1_distance_rank_mean	posterior_top1_is_nearest_fraction	posterior_top1_distance_gap_mean
chr1	chr2	36	160	1	1	0	1	1	1	0.91875	1	1	1	1	5.18552734
chr1	chr4	19	55	0.636363636	0.636363636	0	0.636363636	1	1	0.218181818	1.36363636	0.636363636	1.01818182	0.981818182	1.82230391
chr1	chr6	123	398	0	0.00502512563	1	0	0.261306533	0	0	3.61306533	0	1	1	2.71941927
chr1	chr8	100	407	0.970515971	0.970515971	0	0.970515971	0.972972973	0.978461538	0.781326781	1.02702703	0.98034398	1	1	3.05383902
chr1	chr9	36	132	0.00757575758	0.909090909	1	0.00757575758	0.0833333333	0.00854700855	0.00757575758	2.90151515	0	1	1	5.75435701
chr1	chr11	67	283	0.392226148	0.586572438	1	0.392226148	0.399293286	0.304347826	0.197879859	1.70318021	0.392226148	1	1	2.68446845
chr1	chr12	4	26	0	0	0	0	1	0	0	4	0	1	1	2.73506047
chr1	chr13	4	13	0.0769230769	0.0769230769	0	0.0769230769	0.0769230769	0	0	3	0	1	1	2.73422736
chr1	chr15	63	203	0	0.00985221675	1	0	0.990147783	0	0	2.09852217	0	1	1	5.83036715
chr1	chr17	63	240	0.983333333	0.983333333	0	0.983333333	0.991666667	0.983050847	0.725	1.02083333	0.991666667	1	1	4.97611305
chr1	chrX	108	286	0.671328671	0.671328671	0	0.660839161	0.961538462	0.626168224	0.468531469	1.91258741	0.664335664	1.00699301	0.993006993	4.7406444
chr2	chr3	124	400	0.3025	0.6725	1	0.3075	0.3175	0.206081081	0.1525	1.695	0.3075	1.005	0.995	2.9127193
chr2	chr4	110	391	0.989769821	0.989769821	0	0.989769821	0.992327366	0.991477273	0.89258312	1.02046036	0.989769821	1	1	4.71901892
chr2	chr6	121	509	0.00196463654	0.589390963	1	0.00196463654	0.410609037	0	0	3.86247544	0.00196463654	1.021611	0.978388998	1.71125444
chr2	chr7	59	243	0.567901235	0.567901235	0	0.567901235	0.572016461	0.56846473	0.563786008	1.85596708	0.572016461	1	1	5.51524263
chr2	chr8	111	459	0.973856209	0.973856209	0	0.973856209	0.976034858	0.981081081	0.790849673	1.01525054	0.989106754	1	1	2.84246281
chr2	chr9	155	556	0.451438849	0.544964029	1	0.447841727	0.455035971	0.459923664	0.433453237	2.22302158	0.442446043	1.00359712	0.996402878	5.57693274
chr2	chr11	17	68	0	0	0	0	0.5	0	0	3.02941176	0	1	1	2.45741385
chr2	chr16	89	271	0.487084871	0.505535055	1	0.520295203	0.498154982	0.432	0.199261993	1.62730627	0.516605166	1.03321033	0.966789668	1.46491644
chr2	chr17	17	61	0.31147541	0.31147541	0	0.31147541	0.327868852	0	0	2.78688525	0.31147541	1	1	3.3291476
chr2	chr18	1	2	1	1	0	1	1	NA	0	1	1	1	1	1.87609421
chr2	chrX	28	56	0.0178571429	0.0357142857	1	0.0357142857	0.0535714286	0	0	2.85714286	0.0357142857	1.01785714	0.982142857	1.99956199
chr3	chr4	2	12	0	0	0	0	0	NA	0	2	0	1	1	0.883099658
chr3	chr7	158	738	0.134146341	0.303523035	1	0.138211382	0.414634146	0.0162412993	0.00948509485	2.48780488	0.139566396	1.00542005	0.994579946	2.25874879
chr3	chr8	33	148	0.425675676	0.425675676	0	0.425675676	0.851351351	0.511363636	0.304054054	2.44594595	0.425675676	1.01351351	0.986486486	1.98389048
chr3	chr11	1	5	0	0	0	0	0	NA	0	2	0	1	1	1.16116286
chr3	chr12	118	457	0.00437636761	0.531728665	1	0.00437636761	0.0131291028	0.00438596491	0.00218818381	2.73522976	0	1.01969365	0.993435449	2.50789105
chr3	chr13	69	222	0.563063063	0.563063063	0	0.576576577	0.572072072	0.381818182	0.0945945946	1.44144144	0.576576577	1.04954955	0.95045045	1.09675738
chr3	chr14	10	46	0	0	0	0	0	0	0	2.82608696	0	1	1	3.82721369
chr3	chr15	21	82	0	0	0	0	0.012195122	0	0	2.2804878	0	1	1	1.95323505
chr3	chr17	10	40	0.125	0.875	1	0.125	0.125	NA	0	2.75	0.125	1	1	1.08371866
chr3	chr18	49	163	0.975460123	0.975460123	0	0.975460123	0.981595092	0.984496124	0.779141104	1.01840491	0.993865031	1	1	3.43135218
chr3	chr19	17	53	0	0	0	0	0	0	0	2	0	1	1	2.38243064
chr4	chr5	169	700	0.397142857	0.397142857	0	0.397142857	0.824285714	0.452873563	0.281428571	2.22857143	0.402857143	1	1	2.08087489
chr4	chr6	9	26	0	0	0	0	0.769230769	0	0	2.88461538	0	1.07692308	0.961538462	1.48912023
chr4	chr7	108	418	0.550239234	0.550239234	0	0.550239234	0.557416268	0.49235474	0.385167464	2.24880383	0.559808612	1	1	3.63345651
chr4	chr10	186	815	0.00736196319	0.409815951	1	0.00613496933	0.209815951	0.00505050505	0.00245398773	3.96196319	0	1.03435583	0.965644172	1.40926999
chr4	chr11	4	13	0	0	0	0	0	NA	0	4	0	1	1	0.90170163
chr4	chr12	73	296	0.00337837838	0.0168918919	1	0	0.972972973	0	0	3.66216216	0	1.01013514	0.989864865	2.62368356
chr4	chr13	6	38	0.0263157895	0.0263157895	0	0.0263157895	0.0263157895	0	0	3.57894737	0.0526315789	1	1	3.18238368
chr4	chr14	13	51	0	0	0	0	0.274509804	0	0	3.01960784	0	1	1	1.23669189
chr4	chr16	14	28	0.0357142857	0.714285714	1	0.0357142857	0.0357142857	0	0	2.60714286	0.0357142857	1	1	1.71962823
chr4	chr17	1	6	0	0	0	0	1	NA	0	4	0	1	1	1.13539751
chr4	chr19	7	35	0	0	0	0	0.628571429	0	0	3	0	1	1	1.36580551
chr4	chrX	88	252	0	0.202380952	1	0	0.00793650794	0	0	3.49206349	0	1	1	2.52257455
chr5	chr6	7	40	0.25	0.25	0	0.25	0.25	0.333333333	0.25	2.325	0.275	1	1	4.17494524
chr5	chr9	236	955	0.686910995	0.686910995	0	0.686910995	0.701570681	0.696574225	0.447120419	1.48376963	0.691099476	1	1	1.76640579
