chr1	chr2	policy	relative_flip	flip_source	n_eval_contacts	top1_accuracy	same_cross_accuracy	pmax_threshold_accuracy	pmax_threshold_recall
chr1	chr2	cis_selected_whole_chrom	0	cis_snp_truth_whole_chrom	1440	0.465972222	0.656944444	0.786549708	0.186805556
chr1	chr2	pair_independent_trans_oracle	0	snp_truth_oracle	1440	0.465972222	0.656944444	0.786549708	0.186805556
chr1	chr2	blind_geometry_nearest_pair_flip	0	blind_posterior_reconstruction_geometry	1440	0.465972222	0.656944444	0.786549708	0.186805556
chr1	chr2	blind_posterior_geometry_agreement_pair_flip	0	blind_posterior_reconstruction_geometry	1440	0.465972222	0.656944444	0.786549708	0.186805556
chr1	chr2	blind_high_pmax_geometry_pair_flip	0	blind_posterior_reconstruction_geometry	1440	0.465972222	0.656944444	0.786549708	0.186805556
chr1	chr2	blind_margin_geometry_pair_flip	0	blind_posterior_reconstruction_geometry	1440	0.465972222	0.656944444	0.786549708	0.186805556
chr1	chr3	cis_selected_whole_chrom	0	cis_snp_truth_whole_chrom	1036	0.234555985	0.455598456	0.251308901	0.0463320463
chr1	chr3	pair_independent_trans_oracle	1	snp_truth_oracle	1036	0.262548263	0.544401544	0.277486911	0.0511583012
chr1	chr3	blind_geometry_nearest_pair_flip	0	blind_posterior_reconstruction_geometry	1036	0.234555985	0.455598456	0.251308901	0.0463320463
chr1	chr3	blind_posterior_geometry_agreement_pair_flip	0	blind_posterior_reconstruction_geometry	1036	0.234555985	0.455598456	0.251308901	0.0463320463
chr1	chr3	blind_high_pmax_geometry_pair_flip	0	blind_posterior_reconstruction_geometry	1036	0.234555985	0.455598456	0.251308901	0.0463320463
chr1	chr3	blind_margin_geometry_pair_flip	0	blind_posterior_reconstruction_geometry	1036	0.234555985	0.455598456	0.251308901	0.0463320463
chr1	chr4	cis_selected_whole_chrom	0	cis_snp_truth_whole_chrom	1167	0.475578406	0.616109683	0.541160594	0.34361611
chr1	chr4	pair_independent_trans_oracle	0	snp_truth_oracle	1167	0.475578406	0.616109683	0.541160594	0.34361611
chr1	chr4	blind_geometry_nearest_pair_flip	0	blind_posterior_reconstruction_geometry	1167	0.475578406	0.616109683	0.541160594	0.34361611
chr1	chr4	blind_posterior_geometry_agreement_pair_flip	0	blind_posterior_reconstruction_geometry	1167	0.475578406	0.616109683	0.541160594	0.34361611
chr1	chr4	blind_high_pmax_geometry_pair_flip	0	blind_posterior_reconstruction_geometry	1167	0.475578406	0.616109683	0.541160594	0.34361611
chr1	chr4	blind_margin_geometry_pair_flip	0	blind_posterior_reconstruction_geometry	1167	0.475578406	0.616109683	0.541160594	0.34361611
chr1	chr5	cis_selected_whole_chrom	0	cis_snp_truth_whole_chrom	865	0.225433526	0.470520231	0.206666667	0.0716763006
chr1	chr5	pair_independent_trans_oracle	1	snp_truth_oracle	865	0.294797688	0.529479769	0.283333333	0.098265896
chr1	chr5	blind_geometry_nearest_pair_flip	0	blind_posterior_reconstruction_geometry	865	0.225433526	0.470520231	0.206666667	0.0716763006
chr1	chr5	blind_posterior_geometry_agreement_pair_flip	0	blind_posterior_reconstruction_geometry	865	0.225433526	0.470520231	0.206666667	0.0716763006
chr1	chr5	blind_high_pmax_geometry_pair_flip	0	blind_posterior_reconstruction_geometry	865	0.225433526	0.470520231	0.206666667	0.0716763006
chr1	chr5	blind_margin_geometry_pair_flip	0	blind_posterior_reconstruction_geometry	865	0.225433526	0.470520231	0.206666667	0.0716763006
chr1	chr6	cis_selected_whole_chrom	0	cis_snp_truth_whole_chrom	1600	0.5925	0.7125	0.724576271	0.4275
chr1	chr6	pair_independent_trans_oracle	0	snp_truth_oracle	1600	0.5925	0.7125	0.724576271	0.4275
chr1	chr6	blind_geometry_nearest_pair_flip	0	blind_posterior_reconstruction_geometry	1600	0.5925	0.7125	0.724576271	0.4275
chr1	chr6	blind_posterior_geometry_agreement_pair_flip	0	blind_posterior_reconstruction_geometry	1600	0.5925	0.7125	0.724576271	0.4275
chr1	chr6	blind_high_pmax_geometry_pair_flip	0	blind_posterior_reconstruction_geometry	1600	0.5925	0.7125	0.724576271	0.4275
chr1	chr6	blind_margin_geometry_pair_flip	0	blind_posterior_reconstruction_geometry	1600	0.5925	0.7125	0.724576271	0.4275
chr1	chr7	cis_selected_whole_chrom	0	cis_snp_truth_whole_chrom	778	0.26092545	0.467866324	0.269449715	0.18251928
chr1	chr7	pair_independent_trans_oracle	1	snp_truth_oracle	778	0.269922879	0.532133676	0.282732448	0.19151671
chr1	chr7	blind_geometry_nearest_pair_flip	0	blind_posterior_reconstruction_geometry	778	0.26092545	0.467866324	0.269449715	0.18251928
chr1	chr7	blind_posterior_geometry_agreement_pair_flip	0	blind_posterior_reconstruction_geometry	778	0.26092545	0.467866324	0.269449715	0.18251928
chr1	chr7	blind_high_pmax_geometry_pair_flip	0	blind_posterior_reconstruction_geometry	778	0.26092545	0.467866324	0.269449715	0.18251928
chr1	chr7	blind_margin_geometry_pair_flip	0	blind_posterior_reconstruction_geometry	778	0.26092545	0.467866324	0.269449715	0.18251928
chr1	chr8	cis_selected_whole_chrom	0	cis_snp_truth_whole_chrom	1480	0.166216216	0.343243243	0.110726644	0.0648648649
chr1	chr8	pair_independent_trans_oracle	1	snp_truth_oracle	1480	0.528378378	0.656756757	0.663206459	0.388513514
chr1	chr8	blind_geometry_nearest_pair_flip	0	blind_posterior_reconstruction_geometry	1480	0.166216216	0.343243243	0.110726644	0.0648648649
chr1	chr8	blind_posterior_geometry_agreement_pair_flip	0	blind_posterior_reconstruction_geometry	1480	0.166216216	0.343243243	0.110726644	0.0648648649
chr1	chr8	blind_high_pmax_geometry_pair_flip	0	blind_posterior_reconstruction_geometry	1480	0.166216216	0.343243243	0.110726644	0.0648648649
chr1	chr8	blind_margin_geometry_pair_flip	0	blind_posterior_reconstruction_geometry	1480	0.166216216	0.343243243	0.110726644	0.0648648649
chr1	chr9	cis_selected_whole_chrom	0	cis_snp_truth_whole_chrom	1116	0.215949821	0.420250896	0.205479452	0.0403225806
chr1	chr9	pair_independent_trans_oracle	1	snp_truth_oracle	1116	0.286738351	0.579749104	0.392694064	0.0770609319
chr1	chr9	blind_geometry_nearest_pair_flip	0	blind_posterior_reconstruction_geometry	1116	0.215949821	0.420250896	0.205479452	0.0403225806
chr1	chr9	blind_posterior_geometry_agreement_pair_flip	0	blind_posterior_reconstruction_geometry	1116	0.215949821	0.420250896	0.205479452	0.0403225806
chr1	chr9	blind_high_pmax_geometry_pair_flip	0	blind_posterior_reconstruction_geometry	1116	0.215949821	0.420250896	0.205479452	0.0403225806
chr1	chr9	blind_margin_geometry_pair_flip	0	blind_posterior_reconstruction_geometry	1116	0.215949821	0.420250896	0.205479452	0.0403225806
chr1	chr10	cis_selected_whole_chrom	0	cis_snp_truth_whole_chrom	758	0.283641161	0.531662269	0.289044289	0.163588391
chr1	chr10	pair_independent_trans_oracle	0	snp_truth_oracle	758	0.283641161	0.531662269	0.289044289	0.163588391
chr1	chr10	blind_geometry_nearest_pair_flip	0	blind_posterior_reconstruction_geometry	758	0.283641161	0.531662269	0.289044289	0.163588391
chr1	chr10	blind_posterior_geometry_agreement_pair_flip	0	blind_posterior_reconstruction_geometry	758	0.283641161	0.531662269	0.289044289	0.163588391
chr1	chr10	blind_high_pmax_geometry_pair_flip	0	blind_posterior_reconstruction_geometry	758	0.283641161	0.531662269	0.289044289	0.163588391
chr1	chr10	blind_margin_geometry_pair_flip	0	blind_posterior_reconstruction_geometry	758	0.283641161	0.531662269	0.289044289	0.163588391
chr1	chr11	cis_selected_whole_chrom	0	cis_snp_truth_whole_chrom	1466	0.287175989	0.446111869	0.398373984	0.133697135
chr1	chr11	pair_independent_trans_oracle	1	snp_truth_oracle	1466	0.397680764	0.553888131	0.432926829	0.145293315
chr1	chr11	blind_geometry_nearest_pair_flip	0	blind_posterior_reconstruction_geometry	1466	0.287175989	0.446111869	0.398373984	0.133697135
chr1	chr11	blind_posterior_geometry_agreement_pair_flip	0	blind_posterior_reconstruction_geometry	1466	0.287175989	0.446111869	0.398373984	0.133697135
chr1	chr11	blind_high_pmax_geometry_pair_flip	0	blind_posterior_reconstruction_geometry	1466	0.287175989	0.446111869	0.398373984	0.133697135
chr1	chr11	blind_margin_geometry_pair_flip	0	blind_posterior_reconstruction_geometry	1466	0.287175989	0.446111869	0.398373984	0.133697135
chr1	chr12	cis_selected_whole_chrom	0	cis_snp_truth_whole_chrom	815	0.236809816	0.499386503	0.236842105	0.0331288344
chr1	chr12	pair_independent_trans_oracle	1	snp_truth_oracle	815	0.250306748	0.500613497	0.368421053	0.0515337423
chr1	chr12	blind_geometry_nearest_pair_flip	0	blind_posterior_reconstruction_geometry	815	0.236809816	0.499386503	0.236842105	0.0331288344
chr1	chr12	blind_posterior_geometry_agreement_pair_flip	0	blind_posterior_reconstruction_geometry	815	0.236809816	0.499386503	0.236842105	0.0331288344
chr1	chr12	blind_high_pmax_geometry_pair_flip	0	blind_posterior_reconstruction_geometry	815	0.236809816	0.499386503	0.236842105	0.0331288344
chr1	chr12	blind_margin_geometry_pair_flip	0	blind_posterior_reconstruction_geometry	815	0.236809816	0.499386503	0.236842105	0.0331288344
