config_name	policy	chrom1	chrom2	all_score0	all_score1	all_score2	all_score3	split_a_score0	split_a_score1	split_a_score2	split_a_score3	split_b_score0	split_b_score1	split_b_score2	split_b_score3	all_selected_swap_code	split_a_selected_swap_code	split_b_selected_swap_code	split_agree
p9016_multiseed_best035_seed17_noise0	geom_nearest_gap	chr1	chr10	5603.56043	0	0	0	2786.95604	0	0	0	2816.60438	0	0	0	0	0	0	1
p9016_multiseed_best035_seed17_noise0	geom_nearest_gap	chr1	chr11	7085.17908	0	0	0	3302.98662	0	0	0	3782.19246	0	0	0	0	0	0	1
p9016_multiseed_best035_seed17_noise0	geom_nearest_gap	chr1	chr12	3258.49495	0	0	0.187248892	1644.45995	0	0	0.187248892	1614.035	0	0	0	0	0	0	1
p9016_multiseed_best035_seed17_noise0	geom_nearest_gap	chr1	chr13	3151.79756	0	0	0	1521.39694	0	0	0	1630.40062	0	0	0	0	0	0	1
p9016_multiseed_best035_seed17_noise0	geom_nearest_gap	chr1	chr14	3358.51104	0	0	0	1706.41868	0	0	0	1652.09237	0	0	0	0	0	0	1
p9016_multiseed_best035_seed17_noise0	geom_nearest_gap	chr1	chr15	7015.73453	0	0	0	3533.33251	0	0	0	3482.40202	0	0	0	0	0	0	1
p9016_multiseed_best035_seed17_noise0	geom_nearest_gap	chr1	chr16	3066.00064	0	0	0	1573.86359	0	0	0	1492.13705	0	0	0	0	0	0	1
p9016_multiseed_best035_seed17_noise0	geom_nearest_gap	chr1	chr17	3663.5696	0	0	17.6012264	1835.11278	0	0	9.20642109	1828.45681	0	0	8.39480529	0	0	0	1
p9016_multiseed_best035_seed17_noise0	geom_nearest_gap	chr1	chr18	3857.66008	0	0	0	1828.58338	0	0	0	2029.0767	0	0	0	0	0	0	1
p9016_multiseed_best035_seed17_noise0	geom_nearest_gap	chr1	chr19	969.963791	0	0	0	493.555378	0	0	0	476.408413	0	0	0	0	0	0	1
p9016_multiseed_best035_seed17_noise0	geom_nearest_gap	chr1	chr2	6050.09311	0	0	0.0277277986	2772.74335	0	0	0.0277277986	3277.34976	0	0	0	0	0	0	1
p9016_multiseed_best035_seed17_noise0	geom_nearest_gap	chr1	chr3	2860.14035	0	0	0	1447.83789	0	0	0	1412.30246	0	0	0	0	0	0	1
p9016_multiseed_best035_seed17_noise0	geom_nearest_gap	chr1	chr4	12833.9638	0	0	0	6273.09781	0	0	0	6560.86598	0	0	0	0	0	0	1
p9016_multiseed_best035_seed17_noise0	geom_nearest_gap	chr1	chr5	4292.35225	0	0	0	2093.06908	0	0	0	2199.28317	0	0	0	0	0	0	1
p9016_multiseed_best035_seed17_noise0	geom_nearest_gap	chr1	chr6	12216.0165	0	0	0	5853.22833	0	0	0	6362.7882	0	0	0	0	0	0	1
p9016_multiseed_best035_seed17_noise0	geom_nearest_gap	chr1	chr7	5212.33064	0	0	0	2666.60537	0	0	0	2545.72527	0	0	0	0	0	0	1
p9016_multiseed_best035_seed17_noise0	geom_nearest_gap	chr1	chr8	7969.82199	0.202917977	0	0	4195.0626	0.202917977	0	0	3774.75939	0	0	0	0	0	0	1
p9016_multiseed_best035_seed17_noise0	geom_nearest_gap	chr1	chr9	6455.31854	0	0	0	3002.85825	0	0	0	3452.46029	0	0	0	0	0	0	1
