config_name	chrom_pair	score_name	n_contacts	top1_accuracy	same_cross_accuracy	contact_weighted_mean_score	eval_only_uses_phase_labels_for_scoring	call_score_uses_phase_labels
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	chr10__chr11	posterior_nearest_agreement_gap	579	0.250431779	0.500863558	0.86207892	1	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	chr10__chr12	posterior_nearest_agreement_gap	954	0.462264151	0.615303983	1.42226315	1	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	chr10__chr13	posterior_nearest_agreement_gap	1070	0.520560748	0.655140187	1.08530355	1	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	chr10__chr14	posterior_nearest_agreement_gap	523	0.223709369	0.51625239	0.618497084	1	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	chr10__chr15	posterior_nearest_agreement_gap	908	0.144273128	0.263215859	1.24023075	1	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	chr10__chr16	posterior_nearest_agreement_gap	1086	0.380294659	0.506445672	1.23916876	1	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	chr10__chr17	posterior_nearest_agreement_gap	693	0.3997114	0.542568543	1.69619676	1	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	chr10__chr18	posterior_nearest_agreement_gap	585	0.205128205	0.478632479	0.757620434	1	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	chr10__chr19	posterior_nearest_agreement_gap	365	0.320547945	0.578082192	0.708232083	1	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	chr10__chrX	posterior_nearest_agreement_gap	304	0.309210526	0.549342105	1.64611635	1	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	chr11__chr12	posterior_nearest_agreement_gap	595	0.231932773	0.450420168	1.77124969	1	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	chr11__chr13	posterior_nearest_agreement_gap	1022	0.510763209	0.673189824	1.30264771	1	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	chr11__chr14	posterior_nearest_agreement_gap	903	0.198228128	0.572535991	2.45957871	1	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	chr11__chr15	posterior_nearest_agreement_gap	544	0.340073529	0.577205882	1.57931555	1	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	chr11__chr16	posterior_nearest_agreement_gap	413	0.220338983	0.450363196	2.02047158	1	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	chr11__chr17	posterior_nearest_agreement_gap	479	0.260960334	0.60125261	1.97380612	1	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	chr11__chr18	posterior_nearest_agreement_gap	424	0.320754717	0.577830189	1.44527139	1	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	chr11__chr19	posterior_nearest_agreement_gap	701	0.194008559	0.312410842	3.24062047	1	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	chr11__chrX	posterior_nearest_agreement_gap	864	0.15162037	0.263888889	1.5418076	1	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	chr12__chr13	posterior_nearest_agreement_gap	1950	0.447692308	0.540512821	1.31315482	1	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	chr12__chr14	posterior_nearest_agreement_gap	451	0.239467849	0.487804878	0.715230006	1	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	chr12__chr15	posterior_nearest_agreement_gap	928	0.11637931	0.21012931	2.26909512	1	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	chr12__chr16	posterior_nearest_agreement_gap	388	0.242268041	0.412371134	1.52789839	1	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	chr12__chr17	posterior_nearest_agreement_gap	798	0.330827068	0.501253133	1.03377794	1	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	chr12__chr18	posterior_nearest_agreement_gap	541	0.264325323	0.467652495	0.846452554	1	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	chr12__chr19	posterior_nearest_agreement_gap	631	0.58637084	0.746434231	1.92359548	1	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	chr12__chrX	posterior_nearest_agreement_gap	320	0.28125	0.553125	1.23100082	1	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	chr13__chr14	posterior_nearest_agreement_gap	737	0.420624152	0.575305292	1.2266987	1	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	chr13__chr15	posterior_nearest_agreement_gap	395	0.179746835	0.478481013	0.857814987	1	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	chr13__chr16	posterior_nearest_agreement_gap	798	0.600250627	0.733082707	1.93761484	1	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	chr13__chr17	posterior_nearest_agreement_gap	960	0.642708333	0.74375	1.49448441	1	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	chr13__chr18	posterior_nearest_agreement_gap	808	0.28960396	0.433168317	1.77960732	1	0
