config_name	chrom_pair	score_name	n_contacts	top1_accuracy	same_cross_accuracy	contact_weighted_mean_score	eval_only_uses_phase_labels_for_scoring	call_score_uses_phase_labels
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	chr10__chr11	posterior_nearest_agreement_gap	579	0.252158895	0.507772021	0.809436255	1	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	chr10__chr12	posterior_nearest_agreement_gap	954	0.21802935	0.344863732	1.85899971	1	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	chr10__chr13	posterior_nearest_agreement_gap	1070	0.501869159	0.624299065	1.06190812	1	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	chr10__chr14	posterior_nearest_agreement_gap	523	0.260038241	0.491395793	0.708657188	1	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	chr10__chr15	posterior_nearest_agreement_gap	908	0.136563877	0.25660793	1.35402377	1	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	chr10__chr16	posterior_nearest_agreement_gap	1086	0.425414365	0.549723757	1.25939539	1	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	chr10__chr17	posterior_nearest_agreement_gap	693	0.402597403	0.538239538	1.94459932	1	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	chr10__chr18	posterior_nearest_agreement_gap	585	0.227350427	0.48034188	0.888864979	1	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	chr10__chr19	posterior_nearest_agreement_gap	365	0.342465753	0.561643836	0.524413137	1	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	chr10__chrX	posterior_nearest_agreement_gap	304	0.309210526	0.513157895	1.91190483	1	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	chr11__chr12	posterior_nearest_agreement_gap	595	0.263865546	0.542857143	1.25783465	1	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	chr11__chr13	posterior_nearest_agreement_gap	1022	0.520547945	0.681017613	1.46968493	1	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	chr11__chr14	posterior_nearest_agreement_gap	903	0.198228128	0.574750831	2.28899281	1	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	chr11__chr15	posterior_nearest_agreement_gap	544	0.330882353	0.566176471	0.989147527	1	0
