chrom	copy_swap	n_points	n_pairwise_distances	cis_distance_pearson	cis_distance_spearman	selected_for_eval
chr1	0	379	71631	0.7397958232714231	0.7156582681795459	0
chr1	1	379	71631	0.7821243522322062	0.773205645349187	1
chr2	0	349	60726	0.9318647884734739	0.8734117389278989	1
chr2	1	349	60726	0.9237369603518075	0.8343315463987411	0
chr3	0	313	48828	0.8579957703368739	0.8027236154953978	0
chr3	1	313	48828	0.8617280122625216	0.8210381147584441	1
chr4	0	296	43660	0.9484376455580825	0.8154985742209626	0
chr4	1	296	43660	0.9638521539250385	0.8632898797688346	1
chr5	0	289	41616	0.703973097859224	0.7197961607996274	1
chr5	1	289	41616	0.7027911295067419	0.7156254900839799	0
chr6	0	293	42778	0.933458944970108	0.8303382906117693	0
chr6	1	293	42778	0.9306784809488147	0.8400127314677692	1
chr7	0	260	33670	0.7511493318954209	0.7495727943561319	1
chr7	1	260	33670	0.7126844069436609	0.7242206400747238	0
chr8	0	247	30381	0.9104902293328058	0.8346518752719304	0
chr8	1	247	30381	0.9036524874484609	0.8349005053719093	1
chr9	0	240	28680	0.9190215374765547	0.8566908918951917	1
chr9	1	240	28680	0.8841407024034551	0.7997217689583783	0
chr10	0	254	32131	0.8617422425727271	0.8409367164575585	1
chr10	1	254	32131	0.8330206433624451	0.7920118217610688	0
chr11	0	238	28203	0.9054993685861439	0.847628942940142	1
chr11	1	238	28203	0.8861451588413808	0.8000418427957756	0
chr12	0	225	25200	0.8090182740115196	0.7156658398165382	1
chr12	1	225	25200	0.7930110196056646	0.7127510577577245	0
chr13	0	228	25878	0.7355314231317774	0.7126769716566632	0
chr13	1	228	25878	0.8404452491758203	0.8348044400077239	1
chr14	0	221	24310	0.7199229701044721	0.7063402851211787	1
chr14	1	221	24310	0.7041615701766928	0.6853567741990994	0
chr15	0	199	19701	0.9572140827360164	0.8194961571111065	0
chr15	1	199	19701	0.9609781610790256	0.8485830328767663	1
chr16	0	187	17391	0.8742613684459395	0.8057696669687286	1
chr16	1	187	17391	0.8505643029447005	0.7686658407698992	0
chr17	0	181	16290	0.8253089811207982	0.7933020166209688	1
chr17	1	181	16290	0.8367388644176766	0.7880429653926717	0
chr18	0	174	15051	0.9166842838663977	0.7422319666374788	0
chr18	1	174	15051	0.9529821579241605	0.8822890979820144	1
chr19	0	116	6670	0.47935515679836516	0.4942056322785188	1
chr19	1	116	6670	0.3089332537575998	0.30577479861288276	0
chrX	0	258	33153	0.7776914488466637	0.7342096626578264	1
chrX	1	258	33153	0.7637820096182588	0.7299741471750648	0
