chr1	chr2	n_bpair	n_contacts	whole_chrom_top1_accuracy	chr_pair_oracle_top1_accuracy	best_relative_flip_chr2	nearest_geometry_state_accuracy	same_cross_accuracy	pmax90_accuracy	pmax90_recall	truth_state_distance_rank_mean	truth_state_is_nearest_fraction	posterior_top1_distance_rank_mean	posterior_top1_is_nearest_fraction	posterior_top1_distance_gap_mean
chr1	chr2	36	160	1	1	0	1	1	1	0.91875	1	1	1	1	4.83562727
chr1	chr4	19	55	0.636363636	0.636363636	0	0.636363636	1	1	0.218181818	1.36363636	0.636363636	1.01818182	0.981818182	1.53516528
chr1	chr6	123	398	0	0.00502512563	1	0	0.261306533	0	0	3.62060302	0	1.00251256	0.997487437	2.48420754
chr1	chr8	100	407	0.970515971	0.970515971	0	0.970515971	0.972972973	0.978461538	0.781326781	1.02702703	0.98034398	1	1	2.69643403
chr1	chr9	36	132	0.00757575758	0.909090909	1	0.00757575758	0.0833333333	0.00854700855	0.00757575758	2.84848485	0	1	1	5.49032749
chr1	chr11	67	283	0.392226148	0.586572438	1	0.392226148	0.399293286	0.304347826	0.197879859	1.70318021	0.392226148	1	1	2.44070104
chr1	chr12	4	26	0	0	0	0	1	0	0	4	0	1	1	2.38056314
chr1	chr13	4	13	0.0769230769	0.0769230769	0	0.0769230769	0.0769230769	0	0	2.61538462	0	1	1	2.53210705
chr1	chr15	63	203	0	0.00985221675	1	0	0.990147783	0	0	2.04926108	0	1	1	5.57009353
chr1	chr17	63	240	0.983333333	0.983333333	0	0.983333333	0.991666667	0.983050847	0.725	1.02083333	0.991666667	1	1	4.63231287
chr1	chrX	108	286	0.671328671	0.671328671	0	0.660839161	0.961538462	0.626168224	0.468531469	1.90909091	0.664335664	1.00699301	0.993006993	4.5507372
chr2	chr3	124	400	0.3025	0.6725	1	0.3075	0.3175	0.206081081	0.1525	1.695	0.3075	1.005	0.995	2.64490309
chr2	chr4	110	391	0.989769821	0.989769821	0	0.989769821	0.992327366	0.991477273	0.89258312	1.0230179	0.989769821	1	1	4.32045297
chr2	chr6	121	509	0.00196463654	0.589390963	1	0.00196463654	0.410609037	0	0	3.8546169	0.00196463654	1.02946955	0.970530452	1.53998031
chr2	chr7	59	243	0.567901235	0.567901235	0	0.567901235	0.572016461	0.56846473	0.563786008	1.85596708	0.572016461	1	1	5.34657047
chr2	chr8	111	459	0.973856209	0.973856209	0	0.973856209	0.976034858	0.981081081	0.790849673	1.01525054	0.989106754	1	1	2.56307149
chr2	chr9	155	556	0.451438849	0.544964029	1	0.447841727	0.455035971	0.459923664	0.433453237	2.23201439	0.442446043	1.00719424	0.996402878	5.29812783
chr2	chr11	17	68	0	0	0	0	0.5	0	0	3.02941176	0	1	1	2.25235933
chr2	chr16	89	271	0.487084871	0.505535055	1	0.501845018	0.498154982	0.432	0.199261993	1.64575646	0.498154982	1.05166052	0.948339483	1.28188672
chr2	chr17	17	61	0.31147541	0.31147541	0	0.31147541	0.327868852	0	0	2.85245902	0.31147541	1	1	2.98903823
chr2	chr18	1	2	1	1	0	1	1	NA	0	1	1	1	1	1.8021979
chr2	chrX	28	56	0.0178571429	0.0357142857	1	0.0178571429	0.0535714286	0	0	3.05357143	0.0178571429	1.01785714	0.982142857	1.612921
chr3	chr4	2	12	0	0	0	0	0	NA	0	2	0	1	1	0.749097052
chr3	chr7	158	738	0.134146341	0.303523035	1	0.140921409	0.414634146	0.0162412993	0.00948509485	2.5	0.142276423	1.00271003	0.997289973	1.98950016
chr3	chr8	33	148	0.425675676	0.425675676	0	0.439189189	0.851351351	0.511363636	0.304054054	2.43243243	0.439189189	1.02702703	0.972972973	1.80064913
chr3	chr11	1	5	0	0	0	0	0	NA	0	2	0	1	1	0.926076568
chr3	chr12	118	457	0.00437636761	0.531728665	1	0.00437636761	0.0131291028	0.00438596491	0.00218818381	2.68052516	0	1.01969365	0.993435449	2.14255397
chr3	chr13	69	222	0.563063063	0.563063063	0	0.599099099	0.572072072	0.381818182	0.0945945946	1.42792793	0.59009009	1.06306306	0.936936937	0.884451653
chr3	chr14	10	46	0	0	0	0	0	0	0	2.45652174	0	1	1	3.51135421
chr3	chr15	21	82	0	0	0	0	0.012195122	0	0	2.23170732	0	1	1	1.52937963
chr3	chr17	10	40	0.125	0.875	1	0.125	0.125	NA	0	2.75	0.125	1	1	0.849316275
chr3	chr18	49	163	0.975460123	0.975460123	0	0.975460123	0.981595092	0.984496124	0.779141104	1.01840491	0.993865031	1	1	3.03427671
chr3	chr19	17	53	0	0	0	0	0	0	0	2	0	1	1	1.89652319
chr4	chr5	169	700	0.397142857	0.397142857	0	0.402857143	0.824285714	0.452873563	0.281428571	2.22285714	0.408571429	1.00857143	0.991428571	1.810717
chr4	chr6	9	26	0	0	0	0	0.769230769	0	0	2.88461538	0	1.07692308	0.961538462	1.37598152
chr4	chr7	108	418	0.550239234	0.550239234	0	0.550239234	0.557416268	0.49235474	0.385167464	2.22009569	0.559808612	1	1	3.21491893
chr4	chr10	186	815	0.00736196319	0.409815951	1	0.00613496933	0.209815951	0.00505050505	0.00245398773	3.96932515	0	1.0196319	0.980368098	1.1491312
chr4	chr11	4	13	0	0	0	0	0	NA	0	4	0	1	1	0.716375356
chr4	chr12	73	296	0.00337837838	0.0168918919	1	0	0.972972973	0	0	3.66216216	0	1.02027027	0.97972973	2.23524872
chr4	chr13	6	38	0.0263157895	0.0263157895	0	0.0263157895	0.0263157895	0	0	3.57894737	0.0526315789	1	1	2.86103353
chr4	chr14	13	51	0	0	0	0	0.274509804	0	0	3.03921569	0	1	1	1.05623861
chr4	chr16	14	28	0.0357142857	0.714285714	1	0.0357142857	0.0357142857	0	0	2.60714286	0.0357142857	1	1	1.66206739
chr4	chr17	1	6	0	0	0	0	1	NA	0	4	0	1	1	1.08485509
chr4	chr19	7	35	0	0	0	0	0.628571429	0	0	3.14285714	0	1	1	1.23089264
chr4	chrX	88	252	0	0.202380952	1	0	0.00793650794	0	0	3.53571429	0	1.01587302	0.984126984	2.27817371
chr5	chr6	7	40	0.25	0.25	0	0.25	0.25	0.333333333	0.25	2.325	0.275	1	1	4.06219941
chr5	chr9	236	955	0.686910995	0.686910995	0	0.680628272	0.701570681	0.696574225	0.447120419	1.48586387	0.684816754	1.01884817	0.981151832	1.46018568
chr5	chr10	86	407	0.191646192	0.461916462	1	0.250614251	0.228501229	0	0	2.13759214	0.253071253	1.07616708	0.923832924	0.866563776
chr5	chr11	16	40	0.8	0.8	0	0.8	0.975	0.823529412	0.35	1.375	0.875	1.15	0.95	2.86107464
chr5	chr13	4	16	1	1	0	1	1	1	0.625	1	1	1	1	4.29234809
chr5	chr14	64	233	0.536480687	0.536480687	0	0.536480687	0.587982833	1	0.343347639	1.84978541	0.536480687	1.02575107	0.991416309	1.35531128
chr5	chr15	1	4	0	0	0	0	1	NA	0	3	0	1	1	0.871964578
chr5	chr16	87	339	0.191740413	0.191740413	0	0.203539823	0.297935103	0.0198675497	0.00884955752	2.18289086	0.212389381	1.02654867	0.979351032	1.45713286
chr5	chr18	66	260	0.223076923	0.223076923	0	0.230769231	0.223076923	0.147286822	0.0730769231	1.86153846	0.238461538	1.00769231	0.992307692	1.32358263
chr5	chr19	25	115	0.808695652	0.808695652	0	0.808695652	0.808695652	0.89	0.773913043	1.31304348	0.8	1	1	4.22645097
chr6	chr9	40	131	0	0.00763358779	1	0	0	0	0	2.67175573	0	1	1	4.99634841
chr6	chr10	103	329	0.76899696	0.76899696	0	0.76899696	0.790273556	0.604651163	0.237082067	1.22796353	0.781155015	1	1	1.76418452
chr6	chr13	26	51	0.960784314	0.960784314	0	0.980392157	0.960784314	1	0.176470588	1	1	1.05882353	0.980392157	4.00908502
chr6	chr14	129	453	0.518763797	0.518763797	0	0.518763797	0.525386313	0.519637462	0.379690949	1.8410596	0.51214128	1	1	2.8131768
chr6	chr16	111	366	0.385245902	0.385245902	0	0.385245902	0.871584699	0.364864865	0.221311475	2.57650273	0.390710383	1	1	1.9880303
chr6	chr17	8	38	0	0	0	0	1	0	0	2.63157895	0	1	1	2.96744466
chr6	chr18	34	116	0.0431034483	0.603448276	1	0.0344827586	0.0603448276	0	0	2.31896552	0.0344827586	1.00862069	0.99137931	2.25314159
chr6	chr19	64	295	0.969491525	0.969491525	0	0.969491525	0.972881356	0.974264706	0.898305085	1.03728814	0.986440678	1.00338983	0.996610169	4.59432476
chr7	chr8	1	7	0	0	0	0	0	NA	0	3	0	1	1	3.15174259
chr7	chr12	39	173	0.49132948	0.49132948	0	0.543352601	0.514450867	0.771428571	0.312138728	1.52601156	0.554913295	1.09248555	0.924855491	1.40817493
chr7	chr14	36	103	0	0	0	0	0	0	0	2.82524272	0	1	1	4.56647728
chr7	chr15	6	17	0	0	0	0	0	NA	0	4	0	1	1	1.68299592
chr7	chr18	111	410	0.00487804878	0.00487804878	0	0.00487804878	0.0170731707	0.00576368876	0.00487804878	2.94146341	0	1	1	4.43602829
chr7	chr19	12	45	0	0	0	0	0.0222222222	0	0	3	0	1	1	2.6001638
chr8	chr11	389	1600	0.253125	0.256875	1	0.2525	0.39875	0.306616962	0.205625	2.54125	0.255	1.00375	0.99625	1.65411753
chr8	chr13	12	30	0.0333333333	0.0333333333	0	0.0333333333	1	NA	0	4	0	1	1	1.09329863
chr8	chr14	50	304	0.0328947368	0.0328947368	0	0.0328947368	0.588815789	0.0109289617	0.00657894737	2.70065789	0.0296052632	1	1	1.70080335
chr8	chr15	138	437	0.95194508	0.95194508	0	0.95194508	0.961098398	0.986522911	0.837528604	1.05263158	0.963386728	1	1	3.24494434
chr8	chr17	4	18	0.888888889	0.888888889	0	1	0.888888889	1	0.611111111	1	1	1.22222222	0.888888889	2.21926175
chr8	chr18	4	14	1	1	0	1	1	NA	0	1	1	1	1	0.258652295
chr8	chr19	35	166	0.644578313	0.644578313	0	0.644578313	0.674698795	0.711864407	0.506024096	1.48795181	0.63253012	1.04819277	0.981927711	2.68945742
chr8	chrX	5	17	0	1	1	0	0	NA	0	3.94117647	0	1	1	1.69134771
chr9	chr11	3	6	0	1	1	0	0	NA	0	3.33333333	0	1	1	0.418635687
chr9	chr12	10	45	0.977777778	0.977777778	0	0.977777778	0.977777778	0.977272727	0.955555556	1	1	1	1	5.6083773
chr9	chr16	69	161	0.0745341615	0.0745341615	0	0.105590062	0.298136646	0	0	3.39130435	0.105590062	1.09937888	0.900621118	1.2905155
chr9	chr17	104	483	0.979296066	0.979296066	0	0.983436853	0.98757764	0.984716157	0.933747412	1.01449275	0.989648033	1.01242236	0.995859213	5.48650319
chr9	chrX	35	105	0.019047619	0.019047619	0	0.019047619	0.20952381	0.0144927536	0.00952380952	4	0	1.08571429	0.952380952	2.77371674
chr10	chr12	90	295	0.989830508	0.989830508	0	0.993220339	0.996610169	1	0.749152542	1.00677966	0.996610169	1.00677966	0.996610169	3.51029358
chr10	chr13	59	201	0.925373134	0.925373134	0	0.925373134	0.925373134	0.961038961	0.368159204	1.12437811	0.940298507	1.01492537	0.995024876	2.07333313
chr10	chr14	1	1	1	1	0	1	1	NA	0	1	1	1	1	1.68044967
chr10	chr15	63	255	0.980392157	0.980392157	0	0.988235294	0.992156863	0.99382716	0.631372549	1.02352941	0.992156863	1.01568627	0.992156863	2.68998991
chr10	chr16	98	324	0.552469136	0.552469136	0	0.561728395	0.558641975	0.717741935	0.274691358	1.43518519	0.564814815	1.04320988	0.962962963	1.20521012
chr10	chr17	45	174	0.511494253	0.511494253	0	0.511494253	0.534482759	0.50931677	0.471264368	1.91954023	0.522988506	1	1	4.45412754
chr10	chr18	15	45	0.977777778	0.977777778	0	0.977777778	1	NA	0	1.06666667	0.977777778	1	1	1.00232049
chr10	chr19	2	2	0.5	0.5	0	1	0.5	NA	0	1	1	2.5	0.5	1.44098914
chr11	chr13	88	355	0.985915493	0.985915493	0	0.985915493	0.988732394	0.991150442	0.946478873	1.01690141	0.991549296	1	1	4.33097957
chr11	chr14	67	259	0.911196911	0.911196911	0	0.911196911	0.911196911	0.956521739	0.849420849	1.1003861	0.915057915	1	1	4.00797848
chr11	chr15	3	6	0.666666667	0.666666667	0	1	1	NA	0	1	1	1	1	3.82328741
chr11	chr17	4	15	1	1	0	1	1	NA	0	1	1	1	1	5.56124803
chr11	chr19	63	217	0.0138248848	0.0138248848	0	0.0138248848	0.0552995392	0.0149253731	0.0138248848	2.30875576	0.0184331797	1	1	3.88100488
chr11	chrX	97	295	0.983050847	0.983050847	0	0.986440678	0.983050847	0.989547038	0.962711864	1.02033898	0.989830508	1.00338983	0.996610169	6.88652337
chr12	chr13	266	1111	0.511251125	0.511251125	0	0.513951395	0.578757876	0.560819462	0.394239424	2.12511251	0.522952295	1.0180018	0.98649865	2.11082749
chr12	chr15	100	326	0.309815951	0.309815951	0	0.312883436	0.957055215	0.325123153	0.202453988	2.36196319	0.312883436	1.01226994	0.987730061	1.72615521
chr12	chr16	4	11	0	0.909090909	1	0	0.0909090909	NA	0	2.36363636	0	1	1	2.22442137
chr12	chr17	64	257	0.607003891	0.607003891	0	0.59922179	0.789883268	0.985074627	0.256809339	1.83268482	0.607003891	1.02723735	0.972762646	1.13186954
chr12	chr18	22	84	0.571428571	0.571428571	0	0.571428571	0.571428571	0.6	0.178571429	1.44047619	0.583333333	1	1	1.32504131
chr12	chr19	61	286	0.531468531	0.531468531	0	0.531468531	0.531468531	0.5	0.437062937	2.29020979	0.541958042	1	1	2.9870462
chr13	chr14	26	129	1	1	0	1	1	1	0.945736434	1	1	1.06976744	0.976744186	2.95161847
chr13	chr16	52	224	0.986607143	0.986607143	0	0.986607143	0.991071429	0.994736842	0.84375	1.02232143	0.986607143	1	1	3.47760971
chr13	chr17	94	330	0.945454545	0.945454545	0	0.945454545	0.951515152	0.97037037	0.793939394	1.13030303	0.951515152	1	1	2.53198449
chr13	chr18	62	177	0.491525424	0.514124294	1	0.480225989	0.491525424	0.426470588	0.163841808	1.59322034	0.485875706	1.03389831	0.988700565	1.46684872
chr13	chr19	123	366	0.87431694	0.87431694	0	0.860655738	0.887978142	0.858447489	0.513661202	1.33333333	0.871584699	1.01912568	0.980874317	1.96312744
chr13	chrX	9	24	0.916666667	0.916666667	0	0.916666667	0.916666667	0.954545455	0.875	1.08333333	0.958333333	1	1	4.53068032
chr14	chr18	52	228	0.99122807	0.99122807	0	0.99122807	0.995614035	0.990521327	0.916666667	1	1	1	1	3.4892908
chr14	chr19	8	46	0.0217391304	0.97826087	1	0.0217391304	0.0217391304	0.0217391304	0.0217391304	3	0	1	1	3.04432619
chr15	chr17	95	362	0.00552486188	0.58839779	1	0.00552486188	0.00828729282	0.00727272727	0.00552486188	2.67127072	0	1	1	4.2379877
chr15	chr18	76	339	0.0147492625	0.914454277	1	0.0147492625	0.0825958702	0.0109489051	0.00884955752	2.59882006	0.00589970501	1	1	2.87162349
chr15	chr19	34	127	0.0236220472	0.708661417	1	0.0236220472	0.291338583	0.0138888889	0.00787401575	2.73228346	0	1	1	2.77131069
chr16	chr17	2	11	0	0	0	0	1	NA	0	4	0	1	1	0.284891933
chr16	chr18	142	569	0.0702987698	0.0702987698	0	0.072056239	0.079086116	0.00238095238	0.00175746924	1.92442882	0.0755711775	1.00175747	0.998242531	1.67905318
chr16	chr19	57	189	0.761904762	0.761904762	0	0.761904762	0.767195767	0.617977528	0.291005291	1.23809524	0.761904762	1	1	1.65415196
chr17	chr19	43	148	0.0135135135	0.952702703	1	0.0135135135	0.0337837838	0.0166666667	0.0135135135	3.87162162	0	1	1	2.98119192
chr17	chrX	52	228	1	1	0	1	1	1	0.921052632	1	1	1	1	3.10270147
chr18	chr19	38	154	0.00649350649	0.506493506	1	0.00649350649	0.487012987	0	0	2.95454545	0.00649350649	1	1	1.77431256
