config_name	chrom_pair	score_name	n_contacts	top1_accuracy	same_cross_accuracy	contact_weighted_mean_score	eval_only_uses_phase_labels_for_scoring	call_score_uses_phase_labels
p9016_pcgamma1_td0p5_normdir0p03_only	chr10__chr11	posterior_nearest_agreement_gap	579	0.2417962	0.512953368	1.06537365	1	0
p9016_pcgamma1_td0p5_normdir0p03_only	chr10__chr12	posterior_nearest_agreement_gap	954	0.263102725	0.395178197	1.64092393	1	0
p9016_pcgamma1_td0p5_normdir0p03_only	chr10__chr13	posterior_nearest_agreement_gap	1070	0.508411215	0.63364486	1.1455876	1	0
p9016_pcgamma1_td0p5_normdir0p03_only	chr10__chr14	posterior_nearest_agreement_gap	523	0.260038241	0.472275335	0.798363731	1	0
p9016_pcgamma1_td0p5_normdir0p03_only	chr10__chr15	posterior_nearest_agreement_gap	908	0.122246696	0.237885463	1.34337477	1	0
p9016_pcgamma1_td0p5_normdir0p03_only	chr10__chr16	posterior_nearest_agreement_gap	1086	0.343462247	0.463167587	1.47548769	1	0
p9016_pcgamma1_td0p5_normdir0p03_only	chr10__chr17	posterior_nearest_agreement_gap	693	0.3997114	0.538239538	2.00468435	1	0
p9016_pcgamma1_td0p5_normdir0p03_only	chr10__chr18	posterior_nearest_agreement_gap	585	0.193162393	0.531623932	0.698759402	1	0
p9016_pcgamma1_td0p5_normdir0p03_only	chr10__chr19	posterior_nearest_agreement_gap	365	0.309589041	0.561643836	0.54781579	1	0
p9016_pcgamma1_td0p5_normdir0p03_only	chr10__chrX	posterior_nearest_agreement_gap	304	0.3125	0.532894737	1.63349897	1	0
p9016_pcgamma1_td0p5_normdir0p03_only	chr11__chr12	posterior_nearest_agreement_gap	595	0.258823529	0.549579832	1.702926	1	0
p9016_pcgamma1_td0p5_normdir0p03_only	chr11__chr13	posterior_nearest_agreement_gap	1022	0.516634051	0.675146771	1.36003595	1	0
p9016_pcgamma1_td0p5_normdir0p03_only	chr11__chr14	posterior_nearest_agreement_gap	903	0.198228128	0.570321152	2.3496674	1	0
p9016_pcgamma1_td0p5_normdir0p03_only	chr11__chr15	posterior_nearest_agreement_gap	544	0.340073529	0.575367647	1.73500977	1	0
p9016_pcgamma1_td0p5_normdir0p03_only	chr11__chr16	posterior_nearest_agreement_gap	413	0.225181598	0.435835351	1.88623006	1	0
p9016_pcgamma1_td0p5_normdir0p03_only	chr11__chr17	posterior_nearest_agreement_gap	479	0.269311065	0.603340292	1.93980302	1	0
p9016_pcgamma1_td0p5_normdir0p03_only	chr11__chr18	posterior_nearest_agreement_gap	424	0.323113208	0.58490566	1.73421075	1	0
