source_label	readID	read_n_segments	read_n_unique_exact_segments	read_n_unique_bin_segments	chr1	pos1	chr2	pos2	mate1	mate2
archive	LH00190:306:22GKCGLT3:3:1103:1046:24569	2	2	2	chr10	14060178	chr12	113940678	R1	R2
archive	LH00190:306:22GKCGLT3:3:1103:1092:12119	3	3	2	chr14	38074982	chr19	9199744	R1	R2
archive	LH00190:306:22GKCGLT3:3:1103:1092:12119	3	3	2	chr14	38075050	chr19	9199744	R2	R2
archive	LH00190:306:22GKCGLT3:3:1103:1102:7265	2	2	2	chr1	59312680	chr6	79754026	R1	R1
archive	LH00190:306:22GKCGLT3:3:1103:1120:15949	3	3	2	chr12	67389366	chr14	80932261	R1	R2
archive	LH00190:306:22GKCGLT3:3:1103:1120:15949	3	3	2	chr12	67389259	chr14	80932261	R2	R2
archive	LH00190:306:22GKCGLT3:3:1103:1139:9444	2	2	2	chr3	77886311	chr7	127583919	R2	R1
archive	LH00190:306:22GKCGLT3:3:1103:1139:22294	4	4	2	chr10	12224885	chr15	69251350	R1	R1
archive	LH00190:306:22GKCGLT3:3:1103:1139:22294	4	4	2	chr10	12224961	chr15	69251350	R2	R1
archive	LH00190:306:22GKCGLT3:3:1103:1139:22294	4	4	2	chr10	12224885	chr15	69251570	R1	R2
archive	LH00190:306:22GKCGLT3:3:1103:1139:22294	4	4	2	chr10	12224961	chr15	69251570	R2	R2
archive	LH00190:306:22GKCGLT3:3:1103:1176:27292	2	2	2	chr5	136982804	chr7	13511994	R2	R1
archive	LH00190:306:22GKCGLT3:3:1103:1194:2907	2	2	2	chr5	43709885	chr14	16996245	R1	R1
archive	LH00190:306:22GKCGLT3:3:1103:1203:11671	2	2	2	chr18	35922995	chrX	18277877	R2	R1
archive	LH00190:306:22GKCGLT3:3:1103:1213:9700	2	2	2	chr12	17313626	chr19	43918201	R2	R1
archive	LH00190:306:22GKCGLT3:3:1103:1213:11206	3	3	2	chr4	119971548	chr7	66130706	R1	R1
archive	LH00190:306:22GKCGLT3:3:1103:1213:11206	3	3	2	chr4	119971548	chr7	66130755	R1	R2
archive	LH00190:306:22GKCGLT3:3:1103:1268:28094	3	3	2	chr5	99320452	chr9	57001113	R1	R2
archive	LH00190:306:22GKCGLT3:3:1103:1268:28094	3	3	2	chr5	99320397	chr9	57001113	R2	R2
archive	LH00190:306:22GKCGLT3:3:1103:1287:9476	3	3	2	chr4	130189587	chr12	78835393	R1	R2
archive	LH00190:306:22GKCGLT3:3:1103:1287:9476	3	3	2	chr4	130189463	chr12	78835393	R2	R2
archive	LH00190:306:22GKCGLT3:3:1103:1314:21605	3	3	2	chr5	74685824	chr18	38499493	R2	R1
archive	LH00190:306:22GKCGLT3:3:1103:1314:21605	3	3	2	chr5	74685824	chr18	38499579	R2	R2
archive	LH00190:306:22GKCGLT3:3:1103:1324:12360	3	3	2	chr5	144778431	chr11	89574178	R2	R1
archive	LH00190:306:22GKCGLT3:3:1103:1324:12360	3	3	2	chr5	144778431	chr11	89574248	R2	R2
archive	LH00190:306:22GKCGLT3:3:1103:1370:4397	4	4	2	chr8	46724914	chr14	52284802	R1	R1
archive	LH00190:306:22GKCGLT3:3:1103:1370:4397	4	4	2	chr8	46724914	chr14	52284669	R1	R2
archive	LH00190:306:22GKCGLT3:3:1103:1370:4397	4	4	2	chr8	46676728	chr14	52284802	R2	R1
archive	LH00190:306:22GKCGLT3:3:1103:1370:4397	4	4	2	chr8	46676728	chr14	52284669	R2	R2
archive	LH00190:306:22GKCGLT3:3:1103:1379:2362	2	2	2	chr4	130045407	chr7	141478547	R2	R1
