config_name	chrom_pair	score_name	n_contacts	top1_accuracy	same_cross_accuracy	contact_weighted_mean_score	eval_only_uses_phase_labels_for_scoring	call_score_uses_phase_labels
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr10__chr11	posterior_nearest_agreement_gap	579	0.252158895	0.502590674	0.879004335	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr10__chr12	posterior_nearest_agreement_gap	954	0.44129979	0.589098532	1.69014218	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr10__chr13	posterior_nearest_agreement_gap	1070	0.511214953	0.639252336	1.02168849	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr10__chr14	posterior_nearest_agreement_gap	523	0.263862333	0.493307839	0.709119104	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr10__chr15	posterior_nearest_agreement_gap	908	0.140969163	0.25	1.34246846	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr10__chr16	posterior_nearest_agreement_gap	1086	0.419889503	0.544198895	1.272676	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr10__chr17	posterior_nearest_agreement_gap	693	0.411255411	0.552669553	1.9581293	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr10__chr18	posterior_nearest_agreement_gap	585	0.18974359	0.476923077	0.820491977	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr10__chr19	posterior_nearest_agreement_gap	365	0.361643836	0.575342466	0.535743251	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr10__chrX	posterior_nearest_agreement_gap	304	0.309210526	0.516447368	1.8783477	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr11__chr12	posterior_nearest_agreement_gap	595	0.233613445	0.453781513	1.25430582	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr11__chr13	posterior_nearest_agreement_gap	1022	0.523483366	0.681017613	1.46671283	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr11__chr14	posterior_nearest_agreement_gap	903	0.200442968	0.57585825	2.36802282	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr11__chr15	posterior_nearest_agreement_gap	544	0.330882353	0.568014706	0.954592196	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr11__chr16	posterior_nearest_agreement_gap	413	0.237288136	0.455205811	1.70813252	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr11__chr17	posterior_nearest_agreement_gap	479	0.308977035	0.607515658	1.25836358	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr11__chr18	posterior_nearest_agreement_gap	424	0.308962264	0.561320755	1.4375027	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr11__chr19	posterior_nearest_agreement_gap	701	0.562054208	0.683309558	1.78773185	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr11__chrX	posterior_nearest_agreement_gap	864	0.251157407	0.372685185	1.60196619	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr12__chr13	posterior_nearest_agreement_gap	1950	0.576410256	0.665128205	1.09310561	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr12__chr14	posterior_nearest_agreement_gap	451	0.274944568	0.494456763	0.686360234	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr12__chr15	posterior_nearest_agreement_gap	928	0.11637931	0.200431034	2.21658703	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr12__chr16	posterior_nearest_agreement_gap	388	0.25	0.427835052	1.13412349	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr12__chr17	posterior_nearest_agreement_gap	798	0.36716792	0.494987469	1.03357936	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr12__chr18	posterior_nearest_agreement_gap	541	0.225508318	0.390018484	0.826420615	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr12__chr19	posterior_nearest_agreement_gap	631	0.524564184	0.614896989	0.649012479	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr12__chrX	posterior_nearest_agreement_gap	320	0.26875	0.528125	1.17262241	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr13__chr14	posterior_nearest_agreement_gap	737	0.408412483	0.561736771	1.06342518	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr13__chr15	posterior_nearest_agreement_gap	395	0.189873418	0.486075949	0.630246248	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr13__chr16	posterior_nearest_agreement_gap	798	0.597744361	0.724310777	1.97947207	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr13__chr17	posterior_nearest_agreement_gap	960	0.644791667	0.746875	1.59785341	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr13__chr18	posterior_nearest_agreement_gap	808	0.295792079	0.429455446	1.7958936	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr13__chr19	posterior_nearest_agreement_gap	833	0.56062425	0.659063625	0.693443871	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr13__chrX	posterior_nearest_agreement_gap	462	0.341991342	0.534632035	1.23152892	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr14__chr15	posterior_nearest_agreement_gap	340	0.217647059	0.520588235	0.637679665	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr14__chr16	posterior_nearest_agreement_gap	334	0.236526946	0.502994012	1.26315085	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr14__chr17	posterior_nearest_agreement_gap	260	0.296153846	0.546153846	1.12502927	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr14__chr18	posterior_nearest_agreement_gap	681	0.537444934	0.644640235	1.17612785	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr14__chr19	posterior_nearest_agreement_gap	431	0.341067285	0.587006961	0.77740205	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr14__chrX	posterior_nearest_agreement_gap	244	0.303278689	0.520491803	1.26362366	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr15__chr16	posterior_nearest_agreement_gap	331	0.217522659	0.468277946	0.647420531	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr15__chr17	posterior_nearest_agreement_gap	904	0.272123894	0.83960177	2.64761683	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr15__chr18	posterior_nearest_agreement_gap	830	0.124096386	0.196385542	2.47047303	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr15__chr19	posterior_nearest_agreement_gap	390	0.597435897	0.735897436	1.44621962	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr15__chrX	posterior_nearest_agreement_gap	257	0.186770428	0.509727626	1.00445044	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr16__chr17	posterior_nearest_agreement_gap	310	0.232258065	0.519354839	0.649155526	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr16__chr18	posterior_nearest_agreement_gap	1135	0.723348018	0.810572687	1.78282809	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr16__chr19	posterior_nearest_agreement_gap	534	0.479400749	0.666666667	1.09636373	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr16__chrX	posterior_nearest_agreement_gap	222	0.274774775	0.527027027	1.14590248	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr17__chr18	posterior_nearest_agreement_gap	282	0.29787234	0.567375887	0.490826786	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr17__chr19	posterior_nearest_agreement_gap	426	0.462441315	0.718309859	0.967541621	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr17__chrX	posterior_nearest_agreement_gap	550	0.610909091	0.745454545	1.35786544	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr18__chr19	posterior_nearest_agreement_gap	450	0.544444444	0.642222222	0.811577367	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr18__chrX	posterior_nearest_agreement_gap	209	0.253588517	0.468899522	0.636269384	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr19__chrX	posterior_nearest_agreement_gap	143	0.244755245	0.615384615	0.432600884	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr1__chr10	posterior_nearest_agreement_gap	758	0.265171504	0.526385224	1.87453785	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr1__chr11	posterior_nearest_agreement_gap	1466	0.349931787	0.510231924	1.32310667	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr1__chr12	posterior_nearest_agreement_gap	815	0.27607362	0.505521472	0.974008771	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr1__chr13	posterior_nearest_agreement_gap	897	0.309921962	0.527313266	0.810818564	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr1__chr14	posterior_nearest_agreement_gap	607	0.283360791	0.489291598	1.4281314	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr1__chr15	posterior_nearest_agreement_gap	966	0.167701863	0.713250518	2.03102884	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr1__chr16	posterior_nearest_agreement_gap	548	0.306569343	0.520072993	1.14784348	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr1__chr17	posterior_nearest_agreement_gap	1142	0.390542907	0.673380035	0.835172569	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr1__chr18	posterior_nearest_agreement_gap	570	0.29122807	0.538596491	1.70450727	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr1__chr19	posterior_nearest_agreement_gap	347	0.285302594	0.518731988	0.702709551	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr1__chr2	posterior_nearest_agreement_gap	1440	0.39375	0.588888889	1.04382717	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr1__chr3	posterior_nearest_agreement_gap	1036	0.262548263	0.49034749	0.694239381	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr1__chr4	posterior_nearest_agreement_gap	1167	0.475578406	0.615252785	2.61629042	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr1__chr5	posterior_nearest_agreement_gap	865	0.243930636	0.463583815	1.17286189	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr1__chr6	posterior_nearest_agreement_gap	1600	0.58625	0.71	2.14239204	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr1__chr7	posterior_nearest_agreement_gap	778	0.27377892	0.520565553	1.82977196	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr1__chr8	posterior_nearest_agreement_gap	1480	0.541216216	0.671621622	1.43882504	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr1__chr9	posterior_nearest_agreement_gap	1116	0.231182796	0.418458781	1.41701641	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr1__chrX	posterior_nearest_agreement_gap	1233	0.511759935	0.703163017	1.33945343	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr2__chr10	posterior_nearest_agreement_gap	664	0.25753012	0.510542169	0.694238865	1	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	chr2__chr11	posterior_nearest_agreement_gap	940	0.368085106	0.588297872	1.03561215	1	0
