coarse_chr	coarse_bid	coarse_start	coarse_end	fine_bid	fine_start	fine_end	child_index	n_children_for_coarse	child_offset_bp
chr1	0	0	4000000	0	0	1000000	0	4	0
chr1	0	0	4000000	1	1000000	2000000	1	4	1000000
chr1	0	0	4000000	2	2000000	3000000	2	4	2000000
chr1	0	0	4000000	3	3000000	4000000	3	4	3000000
chr1	1	4000000	8000000	4	4000000	5000000	0	4	0
chr1	1	4000000	8000000	5	5000000	6000000	1	4	1000000
chr1	1	4000000	8000000	6	6000000	7000000	2	4	2000000
chr1	1	4000000	8000000	7	7000000	8000000	3	4	3000000
chr1	2	8000000	12000000	8	8000000	9000000	0	4	0
chr1	2	8000000	12000000	9	9000000	10000000	1	4	1000000
chr1	2	8000000	12000000	10	10000000	11000000	2	4	2000000
chr1	2	8000000	12000000	11	11000000	12000000	3	4	3000000
chr1	3	12000000	16000000	12	12000000	13000000	0	4	0
chr1	3	12000000	16000000	13	13000000	14000000	1	4	1000000
chr1	3	12000000	16000000	14	14000000	15000000	2	4	2000000
chr1	3	12000000	16000000	15	15000000	16000000	3	4	3000000
chr1	4	16000000	20000000	16	16000000	17000000	0	4	0
chr1	4	16000000	20000000	17	17000000	18000000	1	4	1000000
chr1	4	16000000	20000000	18	18000000	19000000	2	4	2000000
chr1	4	16000000	20000000	19	19000000	20000000	3	4	3000000
chr1	5	20000000	24000000	20	20000000	21000000	0	4	0
chr1	5	20000000	24000000	21	21000000	22000000	1	4	1000000
chr1	5	20000000	24000000	22	22000000	23000000	2	4	2000000
chr1	5	20000000	24000000	23	23000000	24000000	3	4	3000000
chr1	6	24000000	28000000	24	24000000	25000000	0	4	0
chr1	6	24000000	28000000	25	25000000	26000000	1	4	1000000
chr1	6	24000000	28000000	26	26000000	27000000	2	4	2000000
chr1	6	24000000	28000000	27	27000000	28000000	3	4	3000000
chr1	7	28000000	32000000	28	28000000	29000000	0	4	0
chr1	7	28000000	32000000	29	29000000	30000000	1	4	1000000
chr1	7	28000000	32000000	30	30000000	31000000	2	4	2000000
chr1	7	28000000	32000000	31	31000000	32000000	3	4	3000000
chr1	8	32000000	36000000	32	32000000	33000000	0	4	0
chr1	8	32000000	36000000	33	33000000	34000000	1	4	1000000
chr1	8	32000000	36000000	34	34000000	35000000	2	4	2000000
chr1	8	32000000	36000000	35	35000000	36000000	3	4	3000000
chr1	9	36000000	40000000	36	36000000	37000000	0	4	0
chr1	9	36000000	40000000	37	37000000	38000000	1	4	1000000
chr1	9	36000000	40000000	38	38000000	39000000	2	4	2000000
chr1	9	36000000	40000000	39	39000000	40000000	3	4	3000000
chr1	10	40000000	44000000	40	40000000	41000000	0	4	0
chr1	10	40000000	44000000	41	41000000	42000000	1	4	1000000
chr1	10	40000000	44000000	42	42000000	43000000	2	4	2000000
chr1	10	40000000	44000000	43	43000000	44000000	3	4	3000000
chr1	11	44000000	48000000	44	44000000	45000000	0	4	0
chr1	11	44000000	48000000	45	45000000	46000000	1	4	1000000
chr1	11	44000000	48000000	46	46000000	47000000	2	4	2000000
chr1	11	44000000	48000000	47	47000000	48000000	3	4	3000000
chr1	12	48000000	52000000	48	48000000	49000000	0	4	0
chr1	12	48000000	52000000	49	49000000	50000000	1	4	1000000
chr1	12	48000000	52000000	50	50000000	51000000	2	4	2000000
chr1	12	48000000	52000000	51	51000000	52000000	3	4	3000000
chr1	13	52000000	56000000	52	52000000	53000000	0	4	0
chr1	13	52000000	56000000	53	53000000	54000000	1	4	1000000
chr1	13	52000000	56000000	54	54000000	55000000	2	4	2000000
chr1	13	52000000	56000000	55	55000000	56000000	3	4	3000000
chr1	14	56000000	60000000	56	56000000	57000000	0	4	0
chr1	14	56000000	60000000	57	57000000	58000000	1	4	1000000
chr1	14	56000000	60000000	58	58000000	59000000	2	4	2000000
chr1	14	56000000	60000000	59	59000000	60000000	3	4	3000000
chr1	15	60000000	64000000	60	60000000	61000000	0	4	0
chr1	15	60000000	64000000	61	61000000	62000000	1	4	1000000
chr1	15	60000000	64000000	62	62000000	63000000	2	4	2000000
chr1	15	60000000	64000000	63	63000000	64000000	3	4	3000000
chr1	16	64000000	68000000	64	64000000	65000000	0	4	0
chr1	16	64000000	68000000	65	65000000	66000000	1	4	1000000
chr1	16	64000000	68000000	66	66000000	67000000	2	4	2000000
chr1	16	64000000	68000000	67	67000000	68000000	3	4	3000000
chr1	17	68000000	72000000	68	68000000	69000000	0	4	0
chr1	17	68000000	72000000	69	69000000	70000000	1	4	1000000
chr1	17	68000000	72000000	70	70000000	71000000	2	4	2000000
chr1	17	68000000	72000000	71	71000000	72000000	3	4	3000000
chr1	18	72000000	76000000	72	72000000	73000000	0	4	0
chr1	18	72000000	76000000	73	73000000	74000000	1	4	1000000
chr1	18	72000000	76000000	74	74000000	75000000	2	4	2000000
chr1	18	72000000	76000000	75	75000000	76000000	3	4	3000000
chr1	19	76000000	80000000	76	76000000	77000000	0	4	0
chr1	19	76000000	80000000	77	77000000	78000000	1	4	1000000
chr1	19	76000000	80000000	78	78000000	79000000	2	4	2000000
chr1	19	76000000	80000000	79	79000000	80000000	3	4	3000000
chr1	20	80000000	84000000	80	80000000	81000000	0	4	0
chr1	20	80000000	84000000	81	81000000	82000000	1	4	1000000
chr1	20	80000000	84000000	82	82000000	83000000	2	4	2000000
chr1	20	80000000	84000000	83	83000000	84000000	3	4	3000000
chr1	21	84000000	88000000	84	84000000	85000000	0	4	0
chr1	21	84000000	88000000	85	85000000	86000000	1	4	1000000
chr1	21	84000000	88000000	86	86000000	87000000	2	4	2000000
chr1	21	84000000	88000000	87	87000000	88000000	3	4	3000000
chr1	22	88000000	92000000	88	88000000	89000000	0	4	0
chr1	22	88000000	92000000	89	89000000	90000000	1	4	1000000
chr1	22	88000000	92000000	90	90000000	91000000	2	4	2000000
chr1	22	88000000	92000000	91	91000000	92000000	3	4	3000000
chr1	23	92000000	96000000	92	92000000	93000000	0	4	0
chr1	23	92000000	96000000	93	93000000	94000000	1	4	1000000
chr1	23	92000000	96000000	94	94000000	95000000	2	4	2000000
chr1	23	92000000	96000000	95	95000000	96000000	3	4	3000000
chr1	24	96000000	100000000	96	96000000	97000000	0	4	0
chr1	24	96000000	100000000	97	97000000	98000000	1	4	1000000
chr1	24	96000000	100000000	98	98000000	99000000	2	4	2000000
chr1	24	96000000	100000000	99	99000000	100000000	3	4	3000000
chr1	25	100000000	104000000	100	100000000	101000000	0	4	0
chr1	25	100000000	104000000	101	101000000	102000000	1	4	1000000
chr1	25	100000000	104000000	102	102000000	103000000	2	4	2000000
chr1	25	100000000	104000000	103	103000000	104000000	3	4	3000000
chr1	26	104000000	108000000	104	104000000	105000000	0	4	0
