config_name	predeclared_primary_score	predeclared_coverage_level	score_threshold	called_contacts	total_contacts	actual_called_fraction	called_bin_pairs	total_bin_pairs	called_bin_pair_fraction	top1_accuracy	delta_top1_vs_config_all_trans	delta_top1_vs_best035_replay_fixed_policy	same_cross_accuracy	top1_recall	n_chrom_pairs_called	top_chrom_pair	top_chrom_pair_contacts	top_chrom_pair_fraction_of_called_contacts	min_chrom_pair_contacts_called	input_contact_source	train_manifest_uses_phase_labels	train_manifest_uses_charm_or_reference	train_manifest_uses_charm_for_training	train_manifest_reference_derived_positive_control	train_manifest_approved_p9016_raw_pairs_realpath	best_selected_after_eval	selection_uses_truth	selection_uses_charm	scoring_uses_truth	denominator_uses_charm_filter
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	neg_entropy	0.01	-1.38008022e-06	1441	143977	0.010008543	118	114605	0.00102962349	0.598195697	0.259169325	-0.142288732	0.690492713	0.00598706738	38	chr2__chr6	152	0.105482304	2	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	neg_entropy	0.01	-1.47073802e-06	1440	143977	0.0100015975	124	114605	0.00108197723	0.645833333	0.293013091	-0.094651096	0.701388889	0.00645936504	36	chr4__chr10	171	0.11875	2	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_normdir0p003_lct0p03_gct0p003	neg_entropy	0.01	-1.62804587e-06	1448	143977	0.0100571619	132	114605	0.00115178221	0.651243094	0.301131618	-0.089241335	0.721685083	0.00654965724	36	chr4__chr10	171	0.118093923	2	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_normdir0p03_lct0p03_gct0p003	neg_entropy	0.01	-1.3878373e-06	1449	143977	0.0100641075	124	114605	0.00108197723	0.652864044	0.299793762	-0.087620385	0.708074534	0.0065704939	33	chr4__chr10	171	0.118012422	5	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_normdir0p03_only	neg_entropy	0.01	-9.71332295e-07	1451	143977	0.0100779986	121	114605	0.00105580036	0.694004135	0.354692995	-0.046480294	0.729841489	0.00699417268	34	chr4__chr5	173	0.119228119	5	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_normdir0p1_lct0p03_gct0p003	neg_entropy	0.01	-1.77055741e-06	1455	143977	0.0101057808	128	114605	0.00111687972	0.727835052	0.386891707	-0.012649377	0.797938144	0.00735534148	33	chr2__chr6	200	0.137457045	2	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	neg_entropy	0.01	-1.22632815e-06	1445	143977	0.0100363252	125	114605	0.00109070285	0.740484429	0.387566949	0	0.776470588	0.00743174257	32	chr4__chr5	206	0.142560554	5	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	neg_entropy	0.02	-1.03858208e-05	2896	143977	0.0201143238	274	114605	0.00239082064	0.594958564	0.255932192	-0.097881284	0.678867403	0.0119671892	58	chr2__chr6	228	0.0787292818	5	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_normdir0p03_lct0p03_gct0p003	neg_entropy	0.02	-1.2752346e-05	2881	143977	0.0200101405	289	114605	0.00252170499	0.65706352	0.303993238	-0.035776328	0.71225269	0.0131479334	56	chr4__chr10	293	0.101700798	2	raw_pairs	0	0	0	0	1	0	0	0	1	1
p9016_pcgamma1_td0p5_normdir0p1_lct0p03_gct0p003	neg_entropy	0.02	-1.52748374e-05	2881	143977	0.0200101405	285	114605	0.0024868025	0.664005554	0.323062209	-0.028834294	0.737938216	0.0132868444	52	chr4__chr10	275	0.0954529677	2	raw_pairs	0	0	0	0	1	0	0	0	1	1
