config_name	policy	chrom1	chrom2	all_score0	all_score1	all_score2	all_score3	split_a_score0	split_a_score1	split_a_score2	split_a_score3	split_b_score0	split_b_score1	split_b_score2	split_b_score3	all_selected_swap_code	split_a_selected_swap_code	split_b_selected_swap_code	split_agree
p9016_multiseed_chrpair_m0p5_p4_w10_seed71_noise0p05	geom_nearest_gap	chr1	chr10	2277.74492	0	0	0	1158.58517	0	0	0	1119.15975	0	0	0	0	0	0	1
p9016_multiseed_chrpair_m0p5_p4_w10_seed71_noise0p05	geom_nearest_gap	chr1	chr11	14082.9807	0	0	0	6815.22389	0	0	0	7267.75678	0	0	0	0	0	0	1
p9016_multiseed_chrpair_m0p5_p4_w10_seed71_noise0p05	geom_nearest_gap	chr1	chr12	7575.99714	0	0	0	3893.97152	0	0	0	3682.02562	0	0	0	0	0	0	1
p9016_multiseed_chrpair_m0p5_p4_w10_seed71_noise0p05	geom_nearest_gap	chr1	chr13	3483.48971	0	0	0	1699.15385	0	0	0	1784.33587	0	0	0	0	0	0	1
p9016_multiseed_chrpair_m0p5_p4_w10_seed71_noise0p05	geom_nearest_gap	chr1	chr14	1970.03406	0	0	0	1002.65527	0	0	0	967.37879	0	0	0	0	0	0	1
p9016_multiseed_chrpair_m0p5_p4_w10_seed71_noise0p05	geom_nearest_gap	chr1	chr15	3982.55602	0	0	0	1962.96897	0	0	0	2019.58705	0	0	0	0	0	0	1
p9016_multiseed_chrpair_m0p5_p4_w10_seed71_noise0p05	geom_nearest_gap	chr1	chr16	3258.73661	0	0	0	1650.73232	0	0	0	1608.00429	0	0	0	0	0	0	1
p9016_multiseed_chrpair_m0p5_p4_w10_seed71_noise0p05	geom_nearest_gap	chr1	chr17	9250.9867	0	0	0	4419.00246	0	0	0	4831.98424	0	0	0	0	0	0	1
p9016_multiseed_chrpair_m0p5_p4_w10_seed71_noise0p05	geom_nearest_gap	chr1	chr18	5805.77023	0	0	0	2725.43344	0	0	0	3080.33679	0	0	0	0	0	0	1
p9016_multiseed_chrpair_m0p5_p4_w10_seed71_noise0p05	geom_nearest_gap	chr1	chr19	1462.40958	0	0	0	742.451721	0	0	0	719.957858	0	0	0	0	0	0	1
p9016_multiseed_chrpair_m0p5_p4_w10_seed71_noise0p05	geom_nearest_gap	chr1	chr2	7048.28791	0	0	0	3257.058	0	0	0	3791.22991	0	0	0	0	0	0	1
p9016_multiseed_chrpair_m0p5_p4_w10_seed71_noise0p05	geom_nearest_gap	chr1	chr3	4071.09086	0	0	0.23898947	2062.00711	0	0	0.23898947	2009.08375	0	0	0	0	0	0	1
p9016_multiseed_chrpair_m0p5_p4_w10_seed71_noise0p05	geom_nearest_gap	chr1	chr4	4536.43079	0	0	0	2253.72684	0	0	0	2282.70396	0	0	0	0	0	0	1
p9016_multiseed_chrpair_m0p5_p4_w10_seed71_noise0p05	geom_nearest_gap	chr1	chr5	3343.51654	0	0	0	1663.74598	0	0	0	1679.77056	0	0	0	0	0	0	1
p9016_multiseed_chrpair_m0p5_p4_w10_seed71_noise0p05	geom_nearest_gap	chr1	chr6	19653.1192	0	0	0	9416.82752	0	0	0	10236.2917	0	0	0	0	0	0	1
p9016_multiseed_chrpair_m0p5_p4_w10_seed71_noise0p05	geom_nearest_gap	chr1	chr7	4998.51328	0	0	0	2535.12161	0	0	0	2463.39167	0	0	0	0	0	0	1
p9016_multiseed_chrpair_m0p5_p4_w10_seed71_noise0p05	geom_nearest_gap	chr1	chr8	9781.5492	0	0	0	5208.56979	0	0	0	4572.9794	0	0	0	0	0	0	1
p9016_multiseed_chrpair_m0p5_p4_w10_seed71_noise0p05	geom_nearest_gap	chr1	chr9	5789.17378	0.327825812	0	0	2806.49035	0.327825812	0	0	2982.68343	0	0	0	0	0	0	1
p9016_multiseed_chrpair_m0p5_p4_w10_seed71_noise0p05	geom_nearest_gap	chr1	chrX	22342.6143	0	0	0	11223.5161	0	0	0	11119.0982	0	0	0	0	0	0	1
p9016_multiseed_chrpair_m0p5_p4_w10_seed71_noise0p05	geom_nearest_gap	chr10	chr11	2120.61525	0	0	0	1057.40222	0	0	0	1063.21303	0	0	0	0	0	0	1
