chrom	reference_copy	reconstruction_copy	reference_copy_index	reconstruction_copy_index	selected_by_geometry_swap	n_points	n_pairwise_distances	cis_distance_pearson	cis_distance_spearman
chr1	copy0	copy0	0	0	0	189	17766	0.34803029670286256	0.3660281924679765
chr1	copy0	copy1	0	1	1	189	17766	0.4919975099875626	0.5575528238388181
chr1	copy1	copy0	1	0	1	190	17955	0.562515741531801	0.6061576736141897
chr1	copy1	copy1	1	1	0	190	17955	0.6226058268015486	0.6085056094369293
chr2	copy0	copy0	0	0	1	175	15225	0.7378940338832343	0.740598006759889
chr2	copy0	copy1	0	1	0	175	15225	0.3686908011129183	0.3739460074582585
chr2	copy1	copy0	1	0	0	174	15051	0.3242519744024663	0.3251425227610706
chr2	copy1	copy1	1	1	1	174	15051	0.6769093696515315	0.7022875158880725
chr3	copy0	copy0	0	0	0	156	12090	0.3698623105785905	0.3624308379354376
chr3	copy0	copy1	0	1	1	156	12090	0.46538219040439543	0.5008924620490647
chr3	copy1	copy0	1	0	1	157	12246	0.551276099899805	0.5861272263007029
chr3	copy1	copy1	1	1	0	157	12246	0.3054639452708869	0.3260400801839383
chr4	copy0	copy0	0	0	0	148	10878	0.5395170586517989	0.538041260437042
chr4	copy0	copy1	0	1	1	148	10878	0.6614073895726298	0.6922841034415693
chr4	copy1	copy0	1	0	1	148	10878	0.7601916857915407	0.7447448855580312
chr4	copy1	copy1	1	1	0	148	10878	0.39421869486963274	0.3795825379353675
chr5	copy0	copy0	0	0	1	144	10296	0.2716368814731479	0.44719512654063387
chr5	copy0	copy1	0	1	0	144	10296	0.6386586171184715	0.6176790299077787
chr5	copy1	copy0	1	0	0	145	10440	0.3265519298562616	0.5506599550743859
chr5	copy1	copy1	1	1	1	145	10440	0.5400363592843345	0.5736484736979408
chr6	copy0	copy0	0	0	0	146	10585	0.3006146410265798	0.29575541580645953
chr6	copy0	copy1	0	1	1	146	10585	0.49564787351820405	0.5322900029324751
chr6	copy1	copy0	1	0	1	147	10731	0.6130883927720833	0.59123693061044
chr6	copy1	copy1	1	1	0	147	10731	0.15308905233404319	0.1653460982254892
chr7	copy0	copy0	0	0	1	129	8256	0.2671014660477385	0.27502913572950655
chr7	copy0	copy1	0	1	0	129	8256	0.3465721804933028	0.45090110899620617
chr7	copy1	copy0	1	0	0	131	8515	0.28476705843723826	0.3263304363335324
chr7	copy1	copy1	1	1	1	131	8515	0.48289065732889774	0.4338932991986774
chr8	copy0	copy0	0	0	0	124	7626	0.40818436013802883	0.3997622286764566
chr8	copy0	copy1	0	1	1	124	7626	0.621813529674829	0.613182968828735
chr8	copy1	copy0	1	0	1	123	7503	0.4791655790879687	0.5198116040810565
chr8	copy1	copy1	1	1	0	123	7503	0.5474675034430088	0.5671094147385886
chr9	copy0	copy0	0	0	1	120	7140	0.4140358653018066	0.40526256869962446
chr9	copy0	copy1	0	1	0	120	7140	0.4717031308738861	0.46898549635858205
chr9	copy1	copy0	1	0	0	120	7140	0.6568160411752424	0.5971200487539365
chr9	copy1	copy1	1	1	1	120	7140	0.5052627907720306	0.47947401663868844
chr10	copy0	copy0	0	0	1	127	8001	0.4174394949655004	0.4339597934459018
chr10	copy0	copy1	0	1	0	127	8001	0.4574077057190725	0.4741283850156697
chr10	copy1	copy0	1	0	0	127	8001	0.7942129660435359	0.7833028605662609
chr10	copy1	copy1	1	1	1	127	8001	0.45917925184405817	0.44921508582828046
chr11	copy0	copy0	0	0	1	119	7021	0.4636163367736357	0.4366190282707889
chr11	copy0	copy1	0	1	0	119	7021	0.6892036601438296	0.646898146995434
chr11	copy1	copy0	1	0	0	119	7021	0.7248144421553859	0.7404061846640121
chr11	copy1	copy1	1	1	1	119	7021	0.6446640291630559	0.5936450295319287
chr12	copy0	copy0	0	0	1	110	5995	0.22501726703127298	0.2657915989623366
chr12	copy0	copy1	0	1	0	110	5995	0.3936192328961978	0.45443399924736105
chr12	copy1	copy0	1	0	0	115	6555	0.08362851423710765	0.22543352701266106
chr12	copy1	copy1	1	1	1	115	6555	0.23063684671006363	0.29224814842259383
chr13	copy0	copy0	0	0	0	113	6328	0.6332320625158503	0.5590472588578983
chr13	copy0	copy1	0	1	1	113	6328	0.680658283023872	0.6998541037468317
chr13	copy1	copy0	1	0	1	115	6555	0.8315151292161728	0.8059188740704514
chr13	copy1	copy1	1	1	0	115	6555	0.39925585979001377	0.3973336216129856
chr14	copy0	copy0	0	0	1	109	5886	0.567425200578667	0.5270859787942836
chr14	copy0	copy1	0	1	0	109	5886	0.4337974243670535	0.45437629951664243
chr14	copy1	copy0	1	0	0	112	6216	0.6410723989106242	0.628396450209179
chr14	copy1	copy1	1	1	1	112	6216	0.5409962851138655	0.5585103193284302
chr15	copy0	copy0	0	0	0	98	4753	0.38584007048673435	0.40693543572686347
chr15	copy0	copy1	0	1	1	98	4753	0.406413286217114	0.4328198159683683
chr15	copy1	copy0	1	0	1	101	5050	0.549760901032995	0.5730213325058034
chr15	copy1	copy1	1	1	0	101	5050	0.48202522401721143	0.4567801705229043
chr16	copy0	copy0	0	0	1	93	4278	0.31527706018932206	0.3477121223532083
chr16	copy0	copy1	0	1	0	93	4278	0.3637204966890946	0.3760987409291819
chr16	copy1	copy0	1	0	0	94	4371	0.15016166093873512	0.21310228721488458
chr16	copy1	copy1	1	1	1	94	4371	0.5388618445153166	0.4936030428610518
chr17	copy0	copy0	0	0	1	89	3916	0.35473204493924754	0.3973832829089478
chr17	copy0	copy1	0	1	0	89	3916	0.1813530995036099	0.20135920051860828
chr17	copy1	copy0	1	0	0	92	4186	0.22804238389738885	0.255410113705559
chr17	copy1	copy1	1	1	1	92	4186	0.4264114813975915	0.4608963634066713
chr18	copy0	copy0	0	0	0	87	3741	0.1987464930313586	0.18341249190381645
chr18	copy0	copy1	0	1	1	87	3741	0.39448930374745483	0.523161963352276
chr18	copy1	copy0	1	0	1	87	3741	0.48694655255345043	0.534682542887182
chr18	copy1	copy1	1	1	0	87	3741	0.18054848854480204	0.12826584062985827
chr19	copy0	copy0	0	0	1	58	1653	0.25584313374602335	0.3047147776571975
chr19	copy0	copy1	0	1	0	58	1653	0.14790850270818764	0.12174609886922313
chr19	copy1	copy0	1	0	0	58	1653	0.15947626538517667	0.2697612696126176
chr19	copy1	copy1	1	1	1	58	1653	0.2507226660055645	0.2359346801877701
chrX	copy0	copy0	0	0	1	126	7875	0.785967085927449	0.7344094060278376
chrX	copy0	copy1	0	1	0	126	7875	0.5087804609555759	0.5149113461687225
chrX	copy1	copy0	1	0	0	132	8646	0.4003267131724509	0.42938994367751127
chrX	copy1	copy1	1	1	1	132	8646	0.4403805754529013	0.42888639300704834
