source_label	readID	read_n_segments	read_n_unique_exact_segments	read_n_unique_bin_segments	chr1	pos1	chr2	pos2	mate1	mate2
sharec	LH00190:306:22GKCGLT3:3:1103:1046:24569	2	2	2	chr10	14060178	chr12	113940678	.	.
sharec	LH00190:306:22GKCGLT3:3:1103:1092:12119	2	2	2	chr14	38074992	chr19	9199744	.	.
sharec	LH00190:306:22GKCGLT3:3:1103:1102:7265	2	2	2	chr1	59312680	chr6	79754026	.	.
sharec	LH00190:306:22GKCGLT3:3:1103:1120:15949	2	2	2	chr12	67389323	chr14	80932261	.	.
sharec	LH00190:306:22GKCGLT3:3:1103:1139:9444	2	2	2	chr3	77886311	chr7	127583919	.	.
sharec	LH00190:306:22GKCGLT3:3:1103:1139:22294	3	3	2	chr10	12224922	chr15	69251350	.	.
sharec	LH00190:306:22GKCGLT3:3:1103:1139:22294	3	3	2	chr10	12224922	chr15	69251570	.	.
sharec	LH00190:306:22GKCGLT3:3:1103:1176:27292	2	2	2	chr5	136982804	chr7	13511994	.	.
sharec	LH00190:306:22GKCGLT3:3:1103:1194:2907	2	2	2	chr5	43709885	chr14	16996245	.	.
sharec	LH00190:306:22GKCGLT3:3:1103:1203:11671	2	2	2	chr18	35922995	chrX	18277877	.	.
sharec	LH00190:306:22GKCGLT3:3:1103:1213:9700	2	2	2	chr12	17313626	chr19	43918201	.	.
sharec	LH00190:306:22GKCGLT3:3:1103:1213:11206	2	2	2	chr4	119971548	chr7	66130747	.	.
sharec	LH00190:306:22GKCGLT3:3:1103:1268:28094	2	2	2	chr5	99320447	chr9	57001113	.	.
sharec	LH00190:306:22GKCGLT3:3:1103:1287:9476	2	2	2	chr4	130189555	chr12	78835393	.	.
sharec	LH00190:306:22GKCGLT3:3:1103:1314:21605	2	2	2	chr5	74685824	chr18	38499518	.	.
sharec	LH00190:306:22GKCGLT3:3:1103:1324:12360	2	2	2	chr5	144778431	chr11	89574199	.	.
sharec	LH00190:306:22GKCGLT3:3:1103:1370:4397	3	3	2	chr8	46724914	chr14	52284740	.	.
sharec	LH00190:306:22GKCGLT3:3:1103:1370:4397	3	3	2	chr8	46676728	chr14	52284740	.	.
sharec	LH00190:306:22GKCGLT3:3:1103:1379:2362	2	2	2	chr4	130045407	chr7	141478547	.	.
sharec	LH00190:306:22GKCGLT3:3:1103:1416:11142	2	2	2	chr6	76335067	chr19	53830546	.	.
sharec	LH00190:306:22GKCGLT3:3:1103:1481:13433	2	2	2	chr8	58259198	chr9	84137571	.	.
sharec	LH00190:306:22GKCGLT3:3:1103:1518:27148	2	2	2	chr7	108226906	chr11	89534771	.	.
sharec	LH00190:306:22GKCGLT3:3:1103:1536:7633	2	2	2	chr3	152355513	chr10	91469578	.	.
sharec	LH00190:306:22GKCGLT3:3:1103:1546:8611	2	2	2	chr4	107388946	chr11	58600439	.	.
sharec	LH00190:306:22GKCGLT3:3:1103:1546:13802	2	2	2	chr6	68812797	chr11	30269646	.	.
sharec	LH00190:306:22GKCGLT3:3:1103:1573:23527	3	3	3	chr4	85173303	chrX	93743399	.	.
sharec	LH00190:306:22GKCGLT3:3:1103:1573:23527	3	3	3	chr4	48037140	chrX	93743399	.	.
sharec	LH00190:306:22GKCGLT3:3:1103:1573:24873	2	2	2	chr5	99555971	chr15	27936499	.	.
sharec	LH00190:306:22GKCGLT3:3:1103:1592:17375	3	3	2	chr4	40538992	chr19	54528921	.	.
sharec	LH00190:306:22GKCGLT3:3:1103:1592:17375	3	3	2	chr4	40538992	chr19	54527335	.	.
