source	chrom	n_points	convex_hull_volume	volume_fraction_of_source_genome
charm3dg	chr1	379	28.17843988891688	0.08020045491710204
charm3dg	chr2	349	39.74540545359526	0.11312193332238923
charm3dg	chr3	313	24.97974701475238	0.07109645112344325
charm3dg	chr4	296	41.24319070177874	0.1173848754421794
charm3dg	chr5	289	23.363310349696288	0.0664958076388062
charm3dg	chr6	293	33.5479763359769	0.09548303505446273
charm3dg	chr7	260	16.21893779565608	0.04616175326283461
charm3dg	chr8	247	36.42675041172763	0.10367649755234849
charm3dg	chr9	240	19.625232790576607	0.055856626692712595
charm3dg	chr10	254	20.027374781859205	0.0570011886616958
charm3dg	chr11	238	25.542154048403454	0.07269715365080832
charm3dg	chr12	225	23.331155105185992	0.06640428854662571
charm3dg	chr13	228	16.256572070499494	0.04626886657268482
charm3dg	chr14	221	11.867858963222991	0.03377787029710098
charm3dg	chr15	199	29.631559536921294	0.08433627142356416
charm3dg	chr16	187	15.51370989169097	0.04415455914771676
charm3dg	chr17	181	12.014423569982494	0.0341950171719172
charm3dg	chr18	174	20.550869371362467	0.058491140000035025
charm3dg	chr19	116	6.117045358840707	0.01741011292539765
charm3dg	chrX	258	39.25557099256068	0.11172778422244213
charm3dg	genome	4947	351.35012535830487	1.0
reconstruction	chr1	390	143.19726983186607	0.12329993154066417
reconstruction	chr2	364	110.579599495558	0.09521450418436855
reconstruction	chr3	320	55.297089793613424	0.04761352918219701
reconstruction	chr4	314	91.37908880609183	0.07868191486659273
reconstruction	chr5	304	77.961425089084	0.06712864279872988
reconstruction	chr6	300	66.71604486181974	0.05744581425179994
reconstruction	chr7	290	118.83162481661665	0.10231990611244314
reconstruction	chr8	258	89.89507250465162	0.0774041034349387
reconstruction	chr9	250	84.32646746431097	0.07260925908450397
reconstruction	chr10	262	76.21364003605098	0.06562371342654424
reconstruction	chr11	244	103.78289626504262	0.0893622065532145
reconstruction	chr12	240	120.59577351356133	0.1038389253913458
reconstruction	chr13	240	103.73340327196415	0.08931959063836163
reconstruction	chr14	250	85.23362033200524	0.07339036256933264
reconstruction	chr15	208	61.09159223621462	0.05260288236835635
reconstruction	chr16	196	56.85522237152685	0.04895515839351911
reconstruction	chr17	190	86.4373451208405	0.07442682914604498
reconstruction	chr18	182	95.20580815311034	0.08197690948532198
reconstruction	chr19	122	108.49226549854569	0.09341720637808841
reconstruction	chrX	342	292.0356492276287	0.2514571374124557
reconstruction	genome	5266	1161.3734739555778	1.0
