chr	bid	start	end	bead_size_bp	n_child_1mb
chr1	0	0	1000000	1000000	-1
chr1	1	1000000	2000000	1000000	-1
chr1	2	2000000	3000000	1000000	-1
chr1	3	3000000	4000000	1000000	-1
chr1	4	4000000	5000000	1000000	-1
chr1	5	5000000	6000000	1000000	-1
chr1	6	6000000	7000000	1000000	-1
chr1	7	7000000	8000000	1000000	-1
chr1	8	8000000	9000000	1000000	-1
chr1	9	9000000	10000000	1000000	-1
chr1	10	10000000	11000000	1000000	-1
chr1	11	11000000	12000000	1000000	-1
chr1	12	12000000	13000000	1000000	-1
chr1	13	13000000	14000000	1000000	-1
chr1	14	14000000	15000000	1000000	-1
chr1	15	15000000	16000000	1000000	-1
chr1	16	16000000	17000000	1000000	-1
chr1	17	17000000	18000000	1000000	-1
chr1	18	18000000	19000000	1000000	-1
chr1	19	19000000	20000000	1000000	-1
chr1	20	20000000	21000000	1000000	-1
chr1	21	21000000	22000000	1000000	-1
chr1	22	22000000	23000000	1000000	-1
chr1	23	23000000	24000000	1000000	-1
chr1	24	24000000	25000000	1000000	-1
chr1	25	25000000	26000000	1000000	-1
chr1	26	26000000	27000000	1000000	-1
chr1	27	27000000	28000000	1000000	-1
chr1	28	28000000	29000000	1000000	-1
chr1	29	29000000	30000000	1000000	-1
chr1	30	30000000	31000000	1000000	-1
chr1	31	31000000	32000000	1000000	-1
chr1	32	32000000	33000000	1000000	-1
chr1	33	33000000	34000000	1000000	-1
chr1	34	34000000	35000000	1000000	-1
chr1	35	35000000	36000000	1000000	-1
chr1	36	36000000	37000000	1000000	-1
chr1	37	37000000	38000000	1000000	-1
chr1	38	38000000	39000000	1000000	-1
chr1	39	39000000	40000000	1000000	-1
chr1	40	40000000	41000000	1000000	-1
chr1	41	41000000	42000000	1000000	-1
chr1	42	42000000	43000000	1000000	-1
chr1	43	43000000	44000000	1000000	-1
chr1	44	44000000	45000000	1000000	-1
chr1	45	45000000	46000000	1000000	-1
chr1	46	46000000	47000000	1000000	-1
chr1	47	47000000	48000000	1000000	-1
chr1	48	48000000	49000000	1000000	-1
chr1	49	49000000	50000000	1000000	-1
chr1	50	50000000	51000000	1000000	-1
chr1	51	51000000	52000000	1000000	-1
chr1	52	52000000	53000000	1000000	-1
