noise_level_adjacent_median	seed	n_contacts	callable_fraction	exact_top1_accuracy	exact_random_tie_expected_accuracy	exact_accuracy_ci95_lower	exact_accuracy_ci95_upper	exact_log_loss	exact_brier	same_cross_accuracy	same_cross_random_tie_expected_accuracy	same_cross_accuracy_ci95_lower	same_cross_accuracy_ci95_upper	same_cross_log_loss	same_cross_brier	mean_entropy	exact_ece	same_cross_ece	mean_exact_confidence	mean_same_cross_confidence	mean_signal_probability	geometry_gauge_aligned_n_contacts	geometry_gauge_aligned_callable_fraction	geometry_gauge_aligned_exact_top1_accuracy	geometry_gauge_aligned_exact_random_tie_expected_accuracy	geometry_gauge_aligned_exact_accuracy_ci95_lower	geometry_gauge_aligned_exact_accuracy_ci95_upper	geometry_gauge_aligned_exact_log_loss	geometry_gauge_aligned_exact_brier	geometry_gauge_aligned_same_cross_accuracy	geometry_gauge_aligned_same_cross_random_tie_expected_accuracy	geometry_gauge_aligned_same_cross_accuracy_ci95_lower	geometry_gauge_aligned_same_cross_accuracy_ci95_upper	geometry_gauge_aligned_same_cross_log_loss	geometry_gauge_aligned_same_cross_brier	geometry_gauge_aligned_mean_entropy	geometry_gauge_aligned_exact_ece	geometry_gauge_aligned_same_cross_ece	geometry_gauge_aligned_mean_exact_confidence	geometry_gauge_aligned_mean_same_cross_confidence	geometry_gauge_aligned_mean_signal_probability	generator_family	n_chromosomes	n_cells	n_background_contacts	n_anchor_contacts	n_evaluation_contacts	actual_anchor_fraction	effective_observation_mass	effective_anchor_mass	unordered_structure_rmsd	unordered_structure_distance_spearman	globally_aligned_structure_rmsd	gauge_recovery	relative_gauge_recovery	mean_homolog_separation_spearman	runtime_seconds	fitted_signal_fraction	converged	failure	raw_exact_accuracy	raw_same_cross_accuracy	raw_contact_gauge_policy	geometry_gauge_alignment_policy	geometry_gauge_flip_pattern	cis_n_contacts	cis_exact_top1_accuracy	cis_exact_log_loss	cis_exact_brier	cis_same_cross_accuracy	cis_same_cross_log_loss	cis_same_cross_brier	cis_exact_ece	cis_same_cross_ece	trans_n_contacts	trans_exact_top1_accuracy	trans_exact_log_loss	trans_exact_brier	trans_same_cross_accuracy	trans_same_cross_log_loss	trans_same_cross_brier	trans_exact_ece	trans_same_cross_ece	geometry_gauge_aligned_cis_n_contacts	geometry_gauge_aligned_cis_exact_top1_accuracy	geometry_gauge_aligned_cis_exact_log_loss	geometry_gauge_aligned_cis_exact_brier	geometry_gauge_aligned_cis_same_cross_accuracy	geometry_gauge_aligned_cis_same_cross_log_loss	geometry_gauge_aligned_cis_same_cross_brier	geometry_gauge_aligned_cis_exact_ece	geometry_gauge_aligned_cis_same_cross_ece	geometry_gauge_aligned_trans_n_contacts	geometry_gauge_aligned_trans_exact_top1_accuracy	geometry_gauge_aligned_trans_exact_log_loss	geometry_gauge_aligned_trans_exact_brier	geometry_gauge_aligned_trans_same_cross_accuracy	geometry_gauge_aligned_trans_same_cross_log_loss	geometry_gauge_aligned_trans_same_cross_brier	geometry_gauge_aligned_trans_exact_ece	geometry_gauge_aligned_trans_same_cross_ece	background_accuracy	background_log_loss	background_brier	background_ece	exact_coverage_at_precision_0.55	exact_coverage_at_precision_0.60	exact_coverage_at_precision_0.70	exact_coverage_at_precision_0.80	exact_coverage_at_precision_0.90	same_cross_coverage_at_precision_0.55	same_cross_coverage_at_precision_0.60	same_cross_coverage_at_precision_0.70	same_cross_coverage_at_precision_0.80	same_cross_coverage_at_precision_0.90	exact_signal_aware_coverage_at_precision_0.55	exact_signal_aware_coverage_at_precision_0.60	exact_signal_aware_coverage_at_precision_0.70	exact_signal_aware_coverage_at_precision_0.80	exact_signal_aware_coverage_at_precision_0.90	same_cross_signal_aware_coverage_at_precision_0.55	same_cross_signal_aware_coverage_at_precision_0.60	same_cross_signal_aware_coverage_at_precision_0.70	same_cross_signal_aware_coverage_at_precision_0.80	same_cross_signal_aware_coverage_at_precision_0.90	geometry_gauge_aligned_exact_coverage_at_precision_0.55	geometry_gauge_aligned_exact_coverage_at_precision_0.60	geometry_gauge_aligned_exact_coverage_at_precision_0.70	geometry_gauge_aligned_exact_coverage_at_precision_0.80	geometry_gauge_aligned_exact_coverage_at_precision_0.90	geometry_gauge_aligned_same_cross_coverage_at_precision_0.55	geometry_gauge_aligned_same_cross_coverage_at_precision_0.60	geometry_gauge_aligned_same_cross_coverage_at_precision_0.70	geometry_gauge_aligned_same_cross_coverage_at_precision_0.80	geometry_gauge_aligned_same_cross_coverage_at_precision_0.90	geometry_gauge_aligned_exact_signal_aware_coverage_at_precision_0.55	geometry_gauge_aligned_exact_signal_aware_coverage_at_precision_0.60	geometry_gauge_aligned_exact_signal_aware_coverage_at_precision_0.70	geometry_gauge_aligned_exact_signal_aware_coverage_at_precision_0.80	geometry_gauge_aligned_exact_signal_aware_coverage_at_precision_0.90	geometry_gauge_aligned_same_cross_signal_aware_coverage_at_precision_0.55	geometry_gauge_aligned_same_cross_signal_aware_coverage_at_precision_0.60	geometry_gauge_aligned_same_cross_signal_aware_coverage_at_precision_0.70	geometry_gauge_aligned_same_cross_signal_aware_coverage_at_precision_0.80	geometry_gauge_aligned_same_cross_signal_aware_coverage_at_precision_0.90
0.0	17	2372	1.0	0.2685497470489039	0.2685497470489039	0.2510985513955483	0.2867493988860253	1.3987453433949604	0.7608112853160234	0.4759696458684654	0.4759696458684654	0.455926450976874	0.4960905493255844	0.6966017891402592	0.5034196768475648	1.3353865654809585	0.08668038110419923	0.055341276491766886	0.3415771124738781	0.5313109223602325	0.8549260064179104	2372	1.0	0.23102866779089376	0.23102866779089376	0.21450963624008096	0.24841748995234897	1.4104741530716174	0.7666808190962274	0.46922428330522764	0.46922428330522764	0.44920685877471406	0.4893412293319433	0.6966622206285313	0.5034801068341628	1.3353865654809582	0.11054844468298433	0.062086639055004667	0.3415771124738781	0.5313109223602324	0.8549260064179104	well_specified	2	1	128	0	2500	0.0	2500.0	0.0	0.644944416775102	0.9328668657545662	1.4690814966500476	0.5	0.0	-0.38095238095238093	0.530131442938	0.847691879383463	1	0	0.2685497470489039	0.4759696458684654	ARBITRARY_INFERENCE_GAUGE	ORACLE_GEOMETRY_ALIGNMENT_EVAL_ONLY	chr1:0,chr2:1	1664	0.2704326923076923	1.4033473942511254	0.7650639394587306	0.4609375	0.6981092762365401	0.504912300229858	0.12753994218664946	0.08276901095183227	708	0.2641242937853107	1.3879292238686065	0.7508163467659317	0.5112994350282486	0.6930587686201864	0.4999115902541527	0.009351129688452142	0.009121647436973856	1664	0.23737980769230768	1.4175364270467992	0.7721668177899652	0.4609375	0.6981092762365401	0.504912300229858	0.1331732638032541	0.08276901095183227	708	0.21610169491525424	1.3938758142372922	0.7537871724487984	0.4887005649717514	0.6932612311769404	0.5001140477798736	0.05737372855850861	0.013477222619523332	0.9392	0.2379191475468403	0.06081436023617172	0.08764352792514651	0.0	0.0	0.0	0.0	0.0	0.2875210792580101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2875210792580101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2875210792580101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2875210792580101	0.0	0.0	0.0	0.0
0.05	17	2372	1.0	0.24662731871838112	0.24662731871838112	0.22969950516747864	0.26437448047774137	1.3991262538712554	0.7621708644536922	0.4700674536256324	0.4700674536256324	0.4500466070524689	0.4901850950786636	0.7045160384769719	0.5112415076013511	1.3365039501591565	0.09973131678476882	0.06168603929793642	0.34635863550314994	0.5317534929235689	0.8494344481284112	2372	1.0	0.24662731871838112	0.24662731871838112	0.22969950516747864	0.26437448047774137	1.3991262538712554	0.7621708644536922	0.4700674536256324	0.4700674536256324	0.4500466070524689	0.4901850950786636	0.7045160384769719	0.5112415076013511	1.3365039501591565	0.09973131678476882	0.06168603929793642	0.34635863550314994	0.5317534929235689	0.8494344481284112	well_specified	2	1	128	0	2500	0.0	2500.0	0.0	0.7018322163172492	0.9491700812556427	1.4099162783102148	1.0	1.0	0.1547619047619048	0.4885419621132314	0.8425195743267531	1	0	0.24662731871838112	0.4700674536256324	ARBITRARY_INFERENCE_GAUGE	ORACLE_GEOMETRY_ALIGNMENT_EVAL_ONLY	chr1:0,chr2:0	1664	0.24158653846153846	1.4035493955116007	0.7668096297752232	0.4567307692307692	0.7093446732846036	0.5160159591369244	0.13517211996380793	0.08761636425430358	708	0.2584745762711864	1.3887306215414033	0.7512684555624101	0.501412429378531	0.6931673826579053	0.5000201977776308	0.01643541778770519	0.0007424506999211822	1664	0.24158653846153846	1.4035493955116007	0.7668096297752232	0.4567307692307692	0.7093446732846036	0.5160159591369244	0.13517211996380793	0.08761636425430358	708	0.2584745762711864	1.3887306215414033	0.7512684555624101	0.501412429378531	0.6931673826579053	0.5000201977776308	0.01643541778770519	0.0007424506999211822	0.9392	0.24317274437228584	0.06269638620674345	0.09240365407356722	0.0	0.0	0.0	0.0	0.0	0.04173693086003373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04173693086003373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04173693086003373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04173693086003373	0.0	0.0	0.0	0.0
0.1	17	2372	1.0	0.24578414839797638	0.24578414839797638	0.22887763409305067	0.26351273752769416	1.382053411087712	0.7521433551142337	0.4776559865092749	0.4776559865092749	0.45760692212527915	0.49777730622612965	0.6989574033061687	0.5057467080834755	1.3451027484200175	0.089863762344941	0.04837575751632163	0.3356479107429174	0.5260317440255965	0.8672892124906646	2372	1.0	0.24578414839797638	0.24578414839797638	0.22887763409305067	0.26351273752769416	1.382053411087712	0.7521433551142337	0.4776559865092749	0.4776559865092749	0.45760692212527915	0.49777730622612965	0.6989574033061687	0.5057467080834755	1.3451027484200175	0.089863762344941	0.04837575751632163	0.3356479107429174	0.5260317440255965	0.8672892124906646	well_specified	2	1	128	0	2500	0.0	2500.0	0.0	0.6298132504993695	0.956687964441975	1.3375036571114995	1.0	1.0	0.047619047619047644	0.4866656446829438	0.8612303768156979	1	0	0.24578414839797638	0.4776559865092749	ARBITRARY_INFERENCE_GAUGE	ORACLE_GEOMETRY_ALIGNMENT_EVAL_ONLY	chr1:0,chr2:0	1664	0.2481971153846154	1.3797900783652297	0.7527795117597141	0.47836538461538464	0.7013354945026093	0.508097780266975	0.11088506362790918	0.057482909075181256	708	0.2401129943502825	1.3873728823450726	0.7506482072920879	0.4759887005649718	0.6933682172173586	0.5002210243075668	0.040457766109264395	0.02697137871131805	1664	0.2481971153846154	1.3797900783652297	0.7527795117597141	0.47836538461538464	0.7013354945026093	0.508097780266975	0.11088506362790918	0.057482909075181256	708	0.2401129943502825	1.3873728823450726	0.7506482072920879	0.4759887005649718	0.6933682172173586	0.5002210243075668	0.040457766109264395	0.02697137871131805	0.944	0.22675213207219178	0.05723223998873929	0.0812047984303778	0.0	0.0	0.0	0.0	0.0	0.04173693086003373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04173693086003373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04173693086003373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04173693086003373	0.0	0.0	0.0	0.0
0.25	17	2372	1.0	0.23946037099494097	0.23946037099494097	0.22271646995231736	0.25704679648486395	1.4370298682715155	0.7850703839551654	0.4763912310286678	0.4763912310286678	0.45634654728833735	0.49651226002635873	0.7144653751724724	0.5208364286163587	1.275225949633434	0.16694224357783233	0.06959876041542738	0.4064026145727733	0.5459899914440952	0.8651958577048341	2372	1.0	0.23946037099494097	0.23946037099494097	0.22271646995231736	0.25704679648486395	1.4370298682715155	0.7850703839551654	0.4763912310286678	0.4763912310286678	0.45634654728833735	0.49651226002635873	0.7144653751724724	0.5208364286163587	1.275225949633434	0.16694224357783233	0.06959876041542738	0.4064026145727733	0.5459899914440952	0.8651958577048341	well_specified	2	1	128	0	2500	0.0	2500.0	0.0	0.7204794747596241	0.9379123550246543	1.436637720029027	1.0	1.0	-0.03571428571428578	0.48451687302440405	0.859625580030775	1	0	0.23946037099494097	0.4763912310286678	ARBITRARY_INFERENCE_GAUGE	ORACLE_GEOMETRY_ALIGNMENT_EVAL_ONLY	chr1:0,chr2:0	1664	0.23798076923076922	1.4500555697428406	0.7957083396698914	0.46814903846153844	0.7233176530722921	0.5294837584837931	0.2138570805994949	0.09443956207372353	708	0.24293785310734464	1.406415790237214	0.7600681829533237	0.4957627118644068	0.6936600214644216	0.5005127606793379	0.05667912379810567	0.011215859342821544	1664	0.23798076923076922	1.4500555697428406	0.7957083396698914	0.46814903846153844	0.7233176530722921	0.5294837584837931	0.2138570805994949	0.09443956207372353	708	0.24293785310734464	1.406415790237214	0.7600681829533237	0.4957627118644068	0.6936600214644216	0.5005127606793379	0.05667912379810567	0.011215859342821544	0.9412	0.2291549943802099	0.058270997136789765	0.07978372652977081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04173693086003373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04173693086003373	0.0	0.0	0.0	0.0
0.5	17	2372	1.0	0.27529510961214165	0.27529510961214165	0.25769422438460976	0.293622638092765	1.3844055526725592	0.7510411488090679	0.5417369308600337	0.5417369308600337	0.5216342565443736	0.5617046376671458	0.68410775234626	0.4910256721279983	1.3431940692189732	0.05713076875485762	0.006386118450331875	0.3324258783669992	0.535350812409702	0.9180437678672054	2372	1.0	0.27529510961214165	0.27529510961214165	0.25769422438460976	0.293622638092765	1.3844055526725592	0.7510411488090679	0.5417369308600337	0.5417369308600337	0.5216342565443736	0.5617046376671458	0.68410775234626	0.4910256721279983	1.3431940692189732	0.05713076875485762	0.006386118450331875	0.3324258783669992	0.535350812409702	0.9180437678672054	well_specified	2	1	128	0	2500	0.0	2500.0	0.0	0.7379223919032034	0.947333148135287	1.1452566564860396	1.0	1.0	-0.7619047619047621	0.53532456420362	0.9144509590965029	1	0	0.27529510961214165	0.5417369308600337	ARBITRARY_INFERENCE_GAUGE	ORACLE_GEOMETRY_ALIGNMENT_EVAL_ONLY	chr1:0,chr2:0	1664	0.2890625	1.382454618600762	0.7508482966269767	0.5721153846153846	0.6800421148370785	0.4869877496088464	0.07394124180715893	0.023321348019982827	708	0.24293785310734464	1.3889907988526027	0.7514944059150002	0.4703389830508475	0.6936631489780085	0.5005159307040844	0.04016534024710083	0.03341645500150342	1664	0.2890625	1.382454618600762	0.7508482966269767	0.5721153846153846	0.6800421148370785	0.4869877496088464	0.07394124180715893	0.023321348019982827	708	0.24293785310734464	1.3889907988526027	0.7514944059150002	0.4703389830508475	0.6936631489780085	0.5005159307040844	0.04016534024710083	0.03341645500150342	0.9488	0.19209027498965545	0.047412088357470454	0.03568456666160152	0.0	0.0	0.0	0.0	0.0	0.9220067453625632	0.37352445193929174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9072512647554806	0.5586003372681282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9220067453625632	0.37352445193929174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9072512647554806	0.5586003372681282	0.0	0.0	0.0
1.0	17	2372	1.0	0.2934232715008432	0.2934232715008432	0.27544516475653946	0.3120693992470509	1.458479046535255	0.7879582945064706	0.581787521079258	0.581787521079258	0.5618203941411306	0.6014901662329581	0.7263219304987691	0.5123224963235938	1.2124791416985092	0.14019248745886384	0.07957765247690753	0.433615758959707	0.6613651735561655	0.9358042312923678	2372	1.0	0.2934232715008432	0.2934232715008432	0.27544516475653946	0.3120693992470509	1.458479046535255	0.7879582945064706	0.581787521079258	0.581787521079258	0.5618203941411306	0.6014901662329581	0.7263219304987691	0.5123224963235938	1.2124791416985092	0.14019248745886384	0.07957765247690753	0.433615758959707	0.6613651735561655	0.9358042312923678	well_specified	2	1	128	0	2500	0.0	2500.0	0.0	1.088988891757357	0.8035488575595526	1.5072289481997727	1.0	1.0	-0.15476190476190477	0.486719174310565	0.9288916968662866	1	0	0.2934232715008432	0.581787521079258	ARBITRARY_INFERENCE_GAUGE	ORACLE_GEOMETRY_ALIGNMENT_EVAL_ONLY	chr1:0,chr2:0	1664	0.30288461538461536	1.4874908064339087	0.8031148852485431	0.6195913461538461	0.7399695982200392	0.5171000637475854	0.1814896542956346	0.1198748186136443	708	0.2711864406779661	1.3902932153610181	0.7523360247397917	0.4929378531073446	0.6942460560804172	0.5010938632818962	0.0533608614343582	0.024263288672448757	1664	0.30288461538461536	1.4874908064339087	0.8031148852485431	0.6195913461538461	0.7399695982200392	0.5171000637475854	0.1814896542956346	0.1198748186136443	708	0.2711864406779661	1.3902932153610181	0.7523360247397917	0.4929378531073446	0.6942460560804172	0.5010938632818962	0.0533608614343582	0.024263288672448757	0.9488	0.1850883836228598	0.046023449100567305	0.01777559198680751	0.0	0.0	0.0	0.0	0.0	1.0	0.8545531197301856	0.03541315345699832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.7824620573355818	0.03541315345699832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.8545531197301856	0.03541315345699832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.7824620573355818	0.03541315345699832	0.0	0.0
2.0	17	2372	1.0	0.27445193929173695	0.27445193929173695	0.25686948275857624	0.2927637656943234	1.5441384404008225	0.8248445255995303	0.5425801011804384	0.5425801011804384	0.5224789278278841	0.5625435804081105	0.7358640947656813	0.522696256499648	1.179998036128467	0.18337883628504661	0.11595869229435896	0.4578307755767836	0.6585387934747975	0.8897772970598062	2372	1.0	0.26559865092748736	0.26559865092748736	0.24821458559625148	0.28374071559965913	1.5228330368497978	0.8263421743181413	0.5425801011804384	0.5425801011804384	0.5224789278278841	0.5625435804081105	0.7358640947656812	0.522696256499648	1.179998036128467	0.19223212464929618	0.11595869229435896	0.4578307755767836	0.6585387934747975	0.8897772970598062	well_specified	2	1	128	0	2500	0.0	2500.0	0.0	1.1950444446808781	0.7783873880130563	1.821682187000451	1.0	1.0	-0.011904761904761918	0.48607324063777924	0.8827677931663465	0	1	0.27445193929173695	0.5425801011804384	ARBITRARY_INFERENCE_GAUGE	ORACLE_GEOMETRY_ALIGNMENT_EVAL_ONLY	chr1:1,chr2:1	1664	0.28064903846153844	1.599966292757755	0.851227986616724	0.5618990384615384	0.7541660071293301	0.5324796439050489	0.24003600975162506	0.16034670654802152	708	0.2598870056497175	1.4129272167822688	0.7628359392540355	0.4971751412429379	0.6928494306793653	0.49970253242819734	0.050218473787325586	0.011634319811174743	1664	0.28125	1.5732160229536503	0.855084112585087	0.5618990384615384	0.7541660071293301	0.5324796439050489	0.23981693751003874	0.1603467065480215	708	0.2288135593220339	1.4044187870237939	0.758790500199218	0.4971751412429379	0.6928494306793653	0.49970253242819734	0.08129192011500921	0.011634319811174743	0.9464	0.20918469448823016	0.051874054505884455	0.06081521330533897	0.0	0.0	0.0	0.0	0.0	0.904300168634064	0.5463743676222597	0.1884485666104553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9270657672849916	0.5084317032040472	0.17706576728499157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.904300168634064	0.5463743676222597	0.1884485666104553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9270657672849916	0.5084317032040472	0.17706576728499157	0.0	0.0
0.0	29	2365	1.0	0.3678646934460888	0.3678646934460888	0.3486586867377077	0.3874992576140639	1.3043205878898736	0.7116532277909069	0.6186046511627907	0.6186046511627907	0.5988511199225182	0.6379735092273318	0.6692433075609228	0.47577641475205684	1.2880271702857404	0.03173880213674735	0.06576247960637803	0.3776785352320105	0.5646075165017551	0.7857300679975754	2365	1.0	0.3678646934460888	0.3678646934460888	0.3486586867377077	0.3874992576140639	1.3043205878898736	0.7116532277909069	0.6186046511627907	0.6186046511627907	0.5988511199225182	0.6379735092273318	0.6692433075609228	0.47577641475205684	1.2880271702857404	0.03173880213674735	0.06576247960637803	0.3776785352320105	0.5646075165017551	0.7857300679975754	well_specified	2	1	135	0	2500	0.0	2500.0	0.0	0.5626234779484363	0.9265157302590457	0.9417502647459574	1.0	1.0	-0.630952380952381	0.4829311529174447	0.7813530571951552	1	0	0.3678646934460888	0.6186046511627907	ARBITRARY_INFERENCE_GAUGE	ORACLE_GEOMETRY_ALIGNMENT_EVAL_ONLY	chr1:0,chr2:0	1657	0.36994568497284247	1.2856900384003471	0.7037844007556748	0.643934821967411	0.6602044192273814	0.4666003494915471	0.031540636865570605	0.07357530016094649	708	0.3629943502824859	1.3479234417092885	0.7300693950188437	0.559322033898305	0.6903978809630106	0.49725203641401244	0.05008116669610625	0.04747738969264925	1657	0.36994568497284247	1.2856900384003471	0.7037844007556748	0.643934821967411	0.6602044192273814	0.4666003494915471	0.031540636865570605	0.07357530016094649	708	0.3629943502824859	1.3479234417092885	0.7300693950188437	0.559322033898305	0.6903978809630106	0.49725203641401244	0.05008116669610625	0.04747738969264925	0.9024	0.31893706323413074	0.08936891556223085	0.11147472545494617	0.1175475687103594	0.03044397463002114	0.0	0.0	0.0	1.0	1.0	0.2909090909090909	0.0	0.0	0.11247357293868922	0.03044397463002114	0.0	0.0	0.0	1.0	1.0	0.24693446088794926	0.0	0.0	0.1175475687103594	0.03044397463002114	0.0	0.0	0.0	1.0	1.0	0.2909090909090909	0.0	0.0	0.11247357293868922	0.03044397463002114	0.0	0.0	0.0	1.0	1.0	0.24693446088794926	0.0	0.0
0.05	29	2365	1.0	0.3674418604651163	0.3674418604651163	0.34824120533279995	0.38707244444089733	1.302962245057706	0.7109794718826805	0.6241014799154334	0.6241014799154334	0.6043943234732623	0.6434061351915539	0.6682095486742977	0.4747810149181638	1.2849438123658812	0.04523112312391701	0.06838305497508267	0.38084038909260687	0.5675070908490589	0.7995484548030579	2365	1.0	0.3674418604651163	0.3674418604651163	0.34824120533279995	0.38707244444089733	1.302962245057706	0.7109794718826805	0.6241014799154334	0.6241014799154334	0.6043943234732623	0.6434061351915539	0.6682095486742977	0.4747810149181638	1.2849438123658812	0.04523112312391701	0.06838305497508267	0.38084038909260687	0.5675070908490589	0.7995484548030579	well_specified	2	1	135	0	2500	0.0	2500.0	0.0	0.5288052399293697	0.9348253350927147	0.8822101207769961	1.0	1.0	-0.630952380952381	0.4836293417029083	0.7954865326185824	1	0	0.3674418604651163	0.6241014799154334	ARBITRARY_INFERENCE_GAUGE	ORACLE_GEOMETRY_ALIGNMENT_EVAL_ONLY	chr1:0,chr2:0	1657	0.3693421846710923	1.2840059697258839	0.7029428019720836	0.6505733252866627	0.6587463726665699	0.4651970509809571	0.04346427992736704	0.0762230602883136	708	0.3629943502824859	1.3473274261662218	0.7297884578175101	0.5621468926553672	0.6903571230313673	0.497211280799451	0.05075372432919087	0.05003434197504908	1657	0.3693421846710923	1.2840059697258839	0.7029428019720836	0.6505733252866627	0.6587463726665699	0.4651970509809571	0.04346427992736704	0.0762230602883136	708	0.3629943502824859	1.3473274261662218	0.7297884578175101	0.5621468926553672	0.6903571230313673	0.497211280799451	0.05075372432919087	0.05003434197504908	0.9204	0.3028950694997344	0.0830797767828389	0.11889752895994651	0.1175475687103594	0.03044397463002114	0.0	0.0	0.0	1.0	1.0	0.2909090909090909	0.0	0.0	0.11247357293868922	0.03044397463002114	0.0	0.0	0.0	1.0	1.0	0.24693446088794926	0.0	0.0	0.1175475687103594	0.03044397463002114	0.0	0.0	0.0	1.0	1.0	0.2909090909090909	0.0	0.0	0.11247357293868922	0.03044397463002114	0.0	0.0	0.0	1.0	1.0	0.24693446088794926	0.0	0.0
0.1	29	2365	1.0	0.3657505285412262	0.3657505285412262	0.34657144016863095	0.385365031292769	1.3020079657725723	0.7104473574798007	0.6186046511627907	0.6186046511627907	0.5988511199225182	0.6379735092273318	0.6682610138148956	0.47482123085611855	1.2853014159279597	0.03987337678070251	0.06254963988003631	0.38127322350417125	0.5681012890440161	0.7963705155601798	2365	1.0	0.3657505285412262	0.3657505285412262	0.34657144016863095	0.385365031292769	1.3020079657725723	0.7104473574798007	0.6186046511627907	0.6186046511627907	0.5988511199225182	0.6379735092273318	0.6682610138148956	0.47482123085611855	1.2853014159279597	0.03987337678070251	0.06254963988003631	0.38127322350417125	0.5681012890440161	0.7963705155601798	well_specified	2	1	135	0	2500	0.0	2500.0	0.0	0.5348457770344405	0.9344086394888532	0.9027184554607148	1.0	1.0	-0.6071428571428572	0.4840450370684266	0.7921099150010346	1	0	0.3657505285412262	0.6186046511627907	ARBITRARY_INFERENCE_GAUGE	ORACLE_GEOMETRY_ALIGNMENT_EVAL_ONLY	chr1:0,chr2:0	1657	0.36692818346409173	1.2836174760215575	0.7027298545854874	0.643934821967411	0.6589885678946892	0.46542288339704635	0.042178068632408035	0.0703478072027092	708	0.3629943502824859	1.345048984864989	0.7285093663722827	0.559322033898305	0.6899622043371864	0.4968170807709248	0.03892080026950283	0.04429884432400677	1657	0.36692818346409173	1.2836174760215575	0.7027298545854874	0.643934821967411	0.6589885678946892	0.46542288339704635	0.042178068632408035	0.0703478072027092	708	0.3629943502824859	1.345048984864989	0.7285093663722827	0.559322033898305	0.6899622043371864	0.4968170807709248	0.03892080026950283	0.04429884432400677	0.908	0.30659422499343014	0.08449563596435537	0.1088289797053828	0.1175475687103594	0.03044397463002114	0.0	0.0	0.0	1.0	1.0	0.2909090909090909	0.0	0.0	0.11247357293868922	0.03044397463002114	0.0	0.0	0.0	1.0	1.0	0.24693446088794926	0.0	0.0	0.1175475687103594	0.03044397463002114	0.0	0.0	0.0	1.0	1.0	0.2909090909090909	0.0	0.0	0.11247357293868922	0.03044397463002114	0.0	0.0	0.0	1.0	1.0	0.24693446088794926	0.0	0.0
